"","Make","VehicleAge","Passengers","Cause"
"100","Other",1,0,"NotTire"
"101","Other",1,0,"NotTire"
"102","Other",1,2,"NotTire"
"103","Other",1,1,"NotTire"
"104","Other",1,1,"NotTire"
"105","Other",1,0,"NotTire"
"106","Ford",1,3,"NotTire"
"107","Ford",1,3,"NotTire"
"108","Ford",1,4,"NotTire"
"109","Ford",1,0,"NotTire"
"110","Ford",1,0,"NotTire"
"111","Ford",1,3,"NotTire"
"112","Ford",1,0,"NotTire"
"113","Ford",1,0,"NotTire"
"114","Ford",1,6,"NotTire"
"115","Ford",1,0,"NotTire"
"116","Ford",1,1,"NotTire"
"117","Ford",1,0,"NotTire"
"118","Ford",1,0,"NotTire"
"119","Ford",1,5,"NotTire"
"120","Ford",1,3,"NotTire"
"121","Ford",1,0,"NotTire"
"122","Ford",1,0,"NotTire"
"123","Ford",1,1,"NotTire"
"124","Ford",1,1,"NotTire"
"125","Ford",1,0,"NotTire"
"126","Ford",1,0,"NotTire"
"127","Ford",1,0,"NotTire"
"128","Ford",1,0,"NotTire"
"129","Ford",1,2,"NotTire"
"130","Ford",1,1,"NotTire"
"131","Ford",1,2,"NotTire"
"132","Ford",1,1,"NotTire"
"133","Ford",1,2,"NotTire"
"134","Ford",1,1,"NotTire"
"135","Ford",1,0,"NotTire"
"136","Other",2,2,"NotTire"
"137","Other",2,1,"NotTire"
"138","Other",2,0,"NotTire"
"139","Other",2,0,"NotTire"
"140","Other",2,1,"NotTire"
"141","Other",2,0,"NotTire"
"142","Other",2,0,"NotTire"
"143","Other",2,0,"NotTire"
"144","Other",2,0,"NotTire"
"145","Other",2,7,"NotTire"
"146","Other",2,0,"NotTire"
"147","Other",2,3,"NotTire"
"148","Other",2,1,"NotTire"
"149","Other",2,0,"NotTire"
"150","Other",2,2,"NotTire"
"151","Other",2,2,"NotTire"
"152","Other",2,0,"NotTire"
"153","Other",2,0,"NotTire"
"154","Other",2,0,"NotTire"
"155","Other",2,0,"NotTire"
"156","Other",2,3,"NotTire"
"157","Other",2,1,"NotTire"
"158","Other",2,0,"NotTire"
"159","Other",2,0,"NotTire"
"160","Other",2,2,"NotTire"
"161","Other",2,1,"NotTire"
"162","Other",2,0,"NotTire"
"163","Other",2,0,"NotTire"
"164","Other",2,0,"NotTire"
"165","Other",2,4,"NotTire"
"166","Other",2,1,"NotTire"
"167","Other",2,0,"NotTire"
"168","Other",2,4,"NotTire"
"169","Other",2,1,"NotTire"
"170","Other",2,1,"NotTire"
"171","Other",2,1,"NotTire"
"172","Other",2,0,"NotTire"
"173","Other",2,0,"NotTire"
"174","Other",2,0,"NotTire"
"175","Other",2,2,"NotTire"
"176","Other",2,0,"NotTire"
"177","Other",2,0,"NotTire"
"178","Other",2,0,"NotTire"
"179","Other",2,0,"NotTire"
"180","Other",2,0,"NotTire"
"181","Other",2,0,"NotTire"
"182","Other",2,0,"NotTire"
"183","Other",2,0,"NotTire"
"184","Other",2,0,"NotTire"
"185","Other",2,3,"NotTire"
"186","Other",2,0,"NotTire"
"187","Other",2,0,"NotTire"
"188","Other",2,2,"NotTire"
"189","Other",2,1,"NotTire"
"190","Other",2,2,"NotTire"
"191","Other",2,0,"NotTire"
"192","Other",2,0,"NotTire"
"193","Other",2,1,"NotTire"
"194","Other",2,1,"NotTire"
"195","Other",2,0,"NotTire"
"196","Other",2,0,"NotTire"
"197","Other",2,0,"NotTire"
"198","Other",2,2,"NotTire"
"199","Other",2,0,"NotTire"
"200","Other",2,0,"NotTire"
"201","Other",2,1,"NotTire"
"202","Other",2,0,"NotTire"
"203","Other",2,1,"NotTire"
"204","Other",2,0,"NotTire"
"205","Other",2,0,"NotTire"
"206","Other",2,0,"NotTire"
"207","Other",2,2,"NotTire"
"208","Other",2,0,"NotTire"
"209","Other",2,2,"NotTire"
"210","Other",2,0,"NotTire"
"211","Other",2,0,"NotTire"
"212","Other",2,0,"NotTire"
"213","Other",2,0,"NotTire"
"214","Other",2,3,"NotTire"
"215","Other",2,1,"NotTire"
"216","Other",2,2,"NotTire"
"217","Other",2,1,"NotTire"
"218","Other",2,2,"NotTire"
"219","Other",2,1,"NotTire"
"220","Other",2,2,"NotTire"
"221","Other",2,1,"NotTire"
"222","Other",2,1,"NotTire"
"223","Other",2,0,"NotTire"
"224","Other",2,1,"NotTire"
"225","Other",2,1,"NotTire"
"226","Other",2,1,"NotTire"
"227","Other",2,0,"NotTire"
"228","Other",2,0,"NotTire"
"229","Other",2,2,"NotTire"
"230","Other",2,1,"NotTire"
"231","Other",2,1,"NotTire"
"232","Other",2,0,"NotTire"
"233","Other",2,0,"NotTire"
"234","Other",2,0,"NotTire"
"235","Other",2,3,"NotTire"
"236","Other",2,0,"NotTire"
"237","Other",2,1,"NotTire"
"238","Other",2,1,"NotTire"
"239","Other",2,1,"NotTire"
"240","Other",2,3,"NotTire"
"241","Other",2,0,"NotTire"
"242","Other",2,1,"NotTire"
"243","Other",2,6,"NotTire"
"244","Other",2,2,"NotTire"
"245","Other",2,0,"NotTire"
"246","Other",2,1,"NotTire"
"247","Other",2,1,"NotTire"
"248","Other",2,1,"NotTire"
"249","Other",2,1,"NotTire"
"250","Other",2,0,"NotTire"
"251","Other",2,0,"NotTire"
"252","Other",2,0,"NotTire"
"253","Other",2,0,"NotTire"
"254","Other",2,7,"NotTire"
"255","Other",2,1,"NotTire"
"256","Other",2,2,"NotTire"
"257","Other",2,0,"NotTire"
"258","Other",2,1,"NotTire"
"259","Other",2,3,"NotTire"
"260","Other",2,2,"NotTire"
"261","Other",2,2,"NotTire"
"262","Other",2,3,"NotTire"
"263","Other",2,11,"NotTire"
"264","Other",2,0,"NotTire"
"265","Other",2,5,"NotTire"
"266","Ford",2,3,"NotTire"
"267","Ford",2,2,"NotTire"
"268","Ford",2,1,"NotTire"
"269","Ford",2,4,"NotTire"
"270","Ford",2,1,"NotTire"
"271","Ford",2,0,"NotTire"
"272","Ford",2,0,"NotTire"
"273","Ford",2,2,"NotTire"
"274","Ford",2,1,"NotTire"
"275","Ford",2,0,"NotTire"
"276","Ford",2,1,"NotTire"
"277","Ford",2,1,"NotTire"
"278","Ford",2,3,"NotTire"
"279","Ford",2,1,"NotTire"
"280","Ford",2,3,"NotTire"
"281","Ford",2,0,"NotTire"
"282","Ford",2,0,"NotTire"
"283","Ford",2,0,"NotTire"
"284","Ford",2,0,"NotTire"
"285","Ford",2,1,"NotTire"
"286","Ford",2,0,"NotTire"
"287","Ford",2,1,"NotTire"
"288","Ford",2,0,"NotTire"
"289","Ford",2,0,"NotTire"
"290","Ford",2,3,"NotTire"
"291","Ford",2,0,"NotTire"
"292","Ford",2,0,"NotTire"
"293","Ford",2,0,"NotTire"
"294","Ford",2,1,"NotTire"
"295","Ford",2,0,"NotTire"
"296","Other",3,2,"NotTire"
"297","Other",3,0,"NotTire"
"298","Other",3,1,"NotTire"
"299","Other",3,0,"NotTire"
"300","Other",3,0,"NotTire"
"301","Other",3,3,"NotTire"
"302","Other",3,1,"NotTire"
"303","Other",3,0,"NotTire"
"304","Other",3,0,"NotTire"
"305","Other",3,0,"NotTire"
"306","Other",3,0,"NotTire"
"307","Other",3,1,"NotTire"
"308","Other",3,0,"NotTire"
"309","Other",3,1,"NotTire"
"310","Other",3,0,"NotTire"
"311","Other",3,2,"NotTire"
"312","Other",3,0,"NotTire"
"313","Other",3,0,"NotTire"
"314","Other",3,2,"NotTire"
"315","Other",3,1,"NotTire"
"316","Other",3,0,"NotTire"
"317","Other",3,0,"NotTire"
"318","Other",3,4,"NotTire"
"319","Other",3,0,"NotTire"
"320","Other",3,0,"NotTire"
"321","Other",3,0,"NotTire"
"322","Other",3,2,"NotTire"
"323","Other",3,0,"NotTire"
"324","Other",3,0,"NotTire"
"325","Other",3,0,"NotTire"
"326","Other",3,2,"NotTire"
"327","Other",3,0,"NotTire"
"328","Other",3,1,"NotTire"
"329","Other",3,0,"NotTire"
"330","Other",3,0,"NotTire"
"331","Other",3,1,"NotTire"
"332","Other",3,0,"NotTire"
"333","Other",3,0,"NotTire"
"334","Other",3,0,"NotTire"
"335","Other",3,0,"NotTire"
"336","Other",3,2,"NotTire"
"337","Other",3,1,"NotTire"
"338","Other",3,1,"NotTire"
"339","Other",3,2,"Tire"
"340","Other",3,1,"NotTire"
"341","Other",3,3,"NotTire"
"342","Other",3,3,"NotTire"
"343","Other",3,0,"NotTire"
"344","Other",3,0,"NotTire"
"345","Other",3,1,"NotTire"
"346","Other",3,0,"NotTire"
"347","Other",3,0,"NotTire"
"348","Other",3,0,"NotTire"
"349","Other",3,0,"NotTire"
"350","Other",3,0,"NotTire"
"351","Other",3,1,"NotTire"
"352","Other",3,0,"NotTire"
"353","Other",3,0,"NotTire"
"354","Other",3,0,"NotTire"
"355","Other",3,1,"NotTire"
"356","Other",3,0,"NotTire"
"357","Other",3,0,"NotTire"
"358","Other",3,2,"NotTire"
"359","Other",3,0,"NotTire"
"360","Other",3,0,"NotTire"
"361","Other",3,0,"NotTire"
"362","Other",3,1,"NotTire"
"363","Other",3,0,"NotTire"
"364","Other",3,0,"NotTire"
"365","Other",3,1,"NotTire"
"366","Other",3,0,"NotTire"
"367","Other",3,1,"NotTire"
"368","Other",3,0,"NotTire"
"369","Other",3,2,"NotTire"
"370","Other",3,4,"NotTire"
"371","Other",3,0,"NotTire"
"372","Other",3,3,"NotTire"
"373","Other",3,0,"NotTire"
"374","Other",3,0,"NotTire"
"375","Other",3,0,"NotTire"
"376","Other",3,0,"NotTire"
"377","Other",3,1,"NotTire"
"378","Other",3,0,"NotTire"
"379","Other",3,0,"NotTire"
"380","Other",3,2,"NotTire"
"381","Other",3,0,"NotTire"
"382","Other",3,0,"NotTire"
"383","Other",3,1,"NotTire"
"384","Other",3,2,"NotTire"
"385","Other",3,0,"NotTire"
"386","Other",3,1,"NotTire"
"387","Other",3,1,"NotTire"
"388","Other",3,4,"NotTire"
"389","Other",3,0,"NotTire"
"390","Other",3,1,"NotTire"
"391","Other",3,1,"NotTire"
"392","Other",3,6,"NotTire"
"393","Other",3,0,"NotTire"
"394","Other",3,0,"NotTire"
"395","Other",3,0,"NotTire"
"396","Other",3,1,"NotTire"
"397","Other",3,0,"NotTire"
"398","Other",3,0,"NotTire"
"399","Other",3,3,"NotTire"
"400","Other",3,0,"NotTire"
"401","Other",3,0,"NotTire"
"402","Other",3,0,"NotTire"
"403","Other",3,0,"NotTire"
"404","Other",3,2,"NotTire"
"405","Other",3,5,"NotTire"
"406","Other",3,0,"NotTire"
"407","Other",3,5,"NotTire"
"408","Other",3,1,"Tire"
"409","Other",3,0,"NotTire"
"410","Other",3,0,"NotTire"
"411","Other",3,5,"NotTire"
"412","Other",3,2,"NotTire"
"413","Other",3,0,"NotTire"
"414","Other",3,2,"NotTire"
"415","Other",3,0,"NotTire"
"416","Other",3,0,"NotTire"
"417","Other",3,3,"NotTire"
"418","Other",3,2,"NotTire"
"419","Other",3,0,"NotTire"
"420","Ford",3,0,"NotTire"
"421","Ford",3,1,"NotTire"
"422","Ford",3,0,"NotTire"
"423","Ford",3,3,"NotTire"
"424","Ford",3,0,"NotTire"
"425","Ford",3,1,"NotTire"
"426","Ford",3,1,"NotTire"
"427","Ford",3,1,"NotTire"
"428","Ford",3,0,"NotTire"
"429","Ford",3,1,"NotTire"
"430","Ford",3,2,"NotTire"
"431","Ford",3,2,"NotTire"
"432","Ford",3,0,"NotTire"
"433","Ford",3,0,"NotTire"
"434","Ford",3,2,"NotTire"
"435","Ford",3,0,"NotTire"
"436","Ford",3,2,"NotTire"
"437","Other",4,0,"NotTire"
"438","Other",4,1,"NotTire"
"439","Other",4,0,"NotTire"
"440","Other",4,0,"NotTire"
"441","Other",4,0,"NotTire"
"442","Other",4,1,"NotTire"
"443","Other",4,2,"NotTire"
"444","Other",4,0,"NotTire"
"445","Other",4,0,"NotTire"
"446","Other",4,0,"NotTire"
"447","Other",4,0,"NotTire"
"448","Other",4,1,"NotTire"
"449","Other",4,2,"NotTire"
"450","Other",4,0,"NotTire"
"451","Other",4,0,"NotTire"
"452","Other",4,1,"NotTire"
"453","Other",4,0,"NotTire"
"454","Other",4,0,"NotTire"
"455","Other",4,3,"NotTire"
"456","Other",4,0,"NotTire"
"457","Other",4,0,"NotTire"
"458","Other",4,1,"NotTire"
"459","Other",4,0,"NotTire"
"460","Other",4,2,"NotTire"
"461","Other",4,0,"NotTire"
"462","Other",4,0,"NotTire"
"463","Other",4,0,"NotTire"
"464","Other",4,0,"NotTire"
"465","Other",4,0,"NotTire"
"466","Other",4,0,"NotTire"
"467","Other",4,3,"NotTire"
"468","Other",4,0,"NotTire"
"469","Other",4,0,"NotTire"
"470","Other",4,0,"NotTire"
"471","Other",4,1,"NotTire"
"472","Other",4,4,"NotTire"
"473","Other",4,0,"NotTire"
"474","Other",4,1,"NotTire"
"475","Other",4,1,"NotTire"
"476","Other",4,0,"NotTire"
"477","Other",4,0,"NotTire"
"478","Other",4,1,"NotTire"
"479","Other",4,0,"NotTire"
"480","Other",4,1,"NotTire"
"481","Other",4,0,"NotTire"
"482","Other",4,1,"NotTire"
"483","Other",4,0,"NotTire"
"484","Other",4,3,"NotTire"
"485","Other",4,1,"NotTire"
"486","Other",4,0,"NotTire"
"487","Other",4,0,"NotTire"
"488","Other",4,0,"NotTire"
"489","Other",4,2,"NotTire"
"490","Other",4,1,"NotTire"
"491","Other",4,0,"NotTire"
"492","Other",4,0,"NotTire"
"493","Other",4,0,"NotTire"
"494","Other",4,2,"NotTire"
"495","Other",4,0,"NotTire"
"496","Other",4,0,"NotTire"
"497","Other",4,0,"NotTire"
"498","Other",4,0,"NotTire"
"499","Other",4,0,"NotTire"
"500","Other",4,0,"NotTire"
"501","Other",4,0,"NotTire"
"502","Other",4,1,"NotTire"
"503","Other",4,0,"NotTire"
"504","Other",4,0,"NotTire"
"505","Other",4,1,"NotTire"
"506","Other",4,3,"NotTire"
"507","Other",4,0,"NotTire"
"508","Other",4,1,"NotTire"
"509","Other",4,0,"NotTire"
"510","Other",4,0,"NotTire"
"511","Other",4,0,"NotTire"
"512","Other",4,1,"NotTire"
"513","Other",4,1,"NotTire"
"514","Other",4,1,"NotTire"
"515","Other",4,0,"NotTire"
"516","Other",4,4,"NotTire"
"517","Other",4,0,"NotTire"
"518","Other",4,2,"NotTire"
"519","Other",4,1,"NotTire"
"520","Other",4,1,"NotTire"
"521","Other",4,1,"NotTire"
"522","Other",4,2,"NotTire"
"523","Other",4,2,"NotTire"
"524","Other",4,0,"NotTire"
"525","Other",4,0,"NotTire"
"526","Other",4,0,"NotTire"
"527","Other",4,1,"NotTire"
"528","Other",4,1,"NotTire"
"529","Other",4,5,"NotTire"
"530","Other",4,0,"NotTire"
"531","Other",4,0,"NotTire"
"532","Other",4,0,"NotTire"
"533","Other",4,2,"NotTire"
"534","Other",4,0,"NotTire"
"535","Other",4,1,"NotTire"
"536","Other",4,0,"NotTire"
"537","Other",4,3,"NotTire"
"538","Other",4,0,"NotTire"
"539","Other",4,0,"NotTire"
"540","Other",4,0,"NotTire"
"541","Other",4,0,"NotTire"
"542","Other",4,1,"NotTire"
"543","Other",4,3,"NotTire"
"544","Other",4,4,"NotTire"
"545","Other",4,1,"NotTire"
"546","Other",4,0,"NotTire"
"547","Other",4,0,"NotTire"
"548","Other",4,0,"NotTire"
"549","Other",4,1,"NotTire"
"550","Other",4,1,"NotTire"
"551","Other",4,0,"NotTire"
"552","Other",4,1,"NotTire"
"553","Other",4,0,"NotTire"
"554","Other",4,0,"NotTire"
"555","Other",4,0,"NotTire"
"556","Other",4,0,"NotTire"
"557","Other",4,0,"NotTire"
"558","Other",4,0,"NotTire"
"559","Other",4,3,"NotTire"
"560","Other",4,2,"NotTire"
"561","Other",4,0,"NotTire"
"562","Other",4,2,"NotTire"
"563","Other",4,0,"NotTire"
"564","Other",4,0,"NotTire"
"565","Other",4,5,"NotTire"
"566","Other",4,3,"NotTire"
"567","Other",4,3,"NotTire"
"568","Other",4,0,"NotTire"
"569","Other",4,1,"NotTire"
"570","Other",4,0,"NotTire"
"571","Other",4,5,"NotTire"
"572","Other",4,0,"NotTire"
"573","Other",4,6,"NotTire"
"574","Other",4,1,"NotTire"
"575","Other",4,2,"NotTire"
"576","Other",4,2,"NotTire"
"577","Other",4,1,"NotTire"
"578","Other",4,0,"NotTire"
"579","Other",4,3,"NotTire"
"580","Other",4,0,"NotTire"
"581","Other",4,1,"NotTire"
"582","Other",4,0,"NotTire"
"583","Other",4,0,"NotTire"
"584","Other",4,0,"NotTire"
"585","Other",4,0,"NotTire"
"586","Other",4,0,"NotTire"
"587","Other",4,0,"NotTire"
"588","Other",4,0,"NotTire"
"589","Other",4,1,"NotTire"
"590","Other",4,0,"NotTire"
"591","Ford",4,0,"NotTire"
"592","Ford",4,1,"NotTire"
"593","Ford",4,0,"NotTire"
"594","Ford",4,0,"NotTire"
"595","Ford",4,0,"NotTire"
"596","Ford",4,1,"NotTire"
"597","Ford",4,1,"NotTire"
"598","Ford",4,0,"NotTire"
"599","Ford",4,1,"NotTire"
"600","Ford",4,1,"NotTire"
"601","Ford",4,0,"NotTire"
"602","Ford",4,0,"NotTire"
"603","Ford",4,1,"NotTire"
"604","Ford",4,0,"NotTire"
"605","Ford",4,0,"NotTire"
"606","Ford",4,0,"NotTire"
"607","Ford",4,0,"NotTire"
"608","Ford",4,0,"NotTire"
"609","Ford",4,0,"NotTire"
"610","Ford",4,4,"NotTire"
"611","Ford",4,0,"NotTire"
"612","Ford",4,1,"NotTire"
"613","Ford",4,0,"NotTire"
"614","Ford",4,0,"NotTire"
"615","Ford",4,1,"NotTire"
"616","Ford",4,0,"NotTire"
"617","Ford",4,0,"NotTire"
"618","Ford",4,1,"NotTire"
"619","Ford",4,1,"NotTire"
"620","Ford",4,1,"NotTire"
"621","Ford",4,1,"NotTire"
"622","Ford",4,0,"NotTire"
"623","Other",5,0,"NotTire"
"624","Other",5,0,"NotTire"
"625","Other",5,0,"NotTire"
"626","Other",5,1,"NotTire"
"627","Other",5,0,"NotTire"
"628","Other",5,0,"NotTire"
"629","Other",5,0,"NotTire"
"630","Other",5,0,"NotTire"
"631","Other",5,0,"NotTire"
"632","Other",5,0,"NotTire"
"633","Other",5,1,"NotTire"
"634","Other",5,0,"NotTire"
"635","Other",5,3,"NotTire"
"636","Other",5,0,"NotTire"
"637","Other",5,3,"NotTire"
"638","Other",5,3,"NotTire"
"639","Other",5,1,"NotTire"
"640","Other",5,0,"NotTire"
"641","Other",5,0,"NotTire"
"642","Other",5,1,"NotTire"
"643","Other",5,0,"NotTire"
"644","Other",5,0,"NotTire"
"645","Other",5,0,"NotTire"
"646","Other",5,3,"NotTire"
"647","Other",5,2,"NotTire"
"648","Other",5,0,"NotTire"
"649","Other",5,0,"NotTire"
"650","Other",5,0,"NotTire"
"651","Other",5,0,"NotTire"
"652","Other",5,0,"NotTire"
"653","Other",5,0,"NotTire"
"654","Other",5,0,"NotTire"
"655","Other",5,0,"NotTire"
"656","Other",5,0,"NotTire"
"657","Other",5,0,"NotTire"
"658","Other",5,1,"NotTire"
"659","Other",5,0,"NotTire"
"660","Other",5,2,"NotTire"
"661","Other",5,0,"NotTire"
"662","Other",5,0,"NotTire"
"663","Other",5,0,"NotTire"
"664","Other",5,3,"NotTire"
"665","Other",5,0,"NotTire"
"666","Other",5,2,"NotTire"
"667","Other",5,0,"NotTire"
"668","Other",5,2,"NotTire"
"669","Other",5,0,"NotTire"
"670","Other",5,0,"NotTire"
"671","Other",5,0,"NotTire"
"672","Other",5,1,"NotTire"
"673","Other",5,1,"NotTire"
"674","Other",5,1,"NotTire"
"675","Other",5,0,"NotTire"
"676","Other",5,1,"NotTire"
"677","Other",5,1,"NotTire"
"678","Other",5,2,"NotTire"
"679","Other",5,1,"NotTire"
"680","Other",5,1,"NotTire"
"681","Other",5,0,"NotTire"
"682","Other",5,0,"NotTire"
"683","Other",5,0,"NotTire"
"684","Other",5,1,"NotTire"
"685","Other",5,2,"NotTire"
"686","Other",5,0,"NotTire"
"687","Other",5,3,"NotTire"
"688","Other",5,1,"NotTire"
"689","Other",5,0,"NotTire"
"690","Other",5,0,"NotTire"
"691","Other",5,0,"NotTire"
"692","Other",5,0,"NotTire"
"693","Other",5,2,"NotTire"
"694","Other",5,0,"NotTire"
"695","Other",5,0,"NotTire"
"696","Other",5,1,"NotTire"
"697","Other",5,1,"NotTire"
"698","Other",5,0,"NotTire"
"699","Other",5,0,"NotTire"
"700","Other",5,1,"NotTire"
"701","Other",5,1,"NotTire"
"702","Other",5,2,"NotTire"
"703","Other",5,3,"NotTire"
"704","Other",5,1,"NotTire"
"705","Other",5,1,"NotTire"
"706","Other",5,0,"NotTire"
"707","Other",5,2,"NotTire"
"708","Other",5,0,"NotTire"
"709","Other",5,1,"NotTire"
"710","Other",5,4,"NotTire"
"711","Other",5,2,"NotTire"
"712","Other",5,1,"NotTire"
"713","Other",5,1,"NotTire"
"714","Other",5,4,"NotTire"
"715","Other",5,0,"NotTire"
"716","Other",5,0,"NotTire"
"717","Other",5,2,"NotTire"
"718","Other",5,3,"NotTire"
"719","Other",5,1,"NotTire"
"720","Other",5,1,"NotTire"
"721","Other",5,0,"NotTire"
"722","Other",5,0,"NotTire"
"723","Other",5,0,"NotTire"
"724","Other",5,5,"NotTire"
"725","Other",5,0,"NotTire"
"726","Other",5,0,"NotTire"
"727","Other",5,1,"Tire"
"728","Other",5,0,"NotTire"
"729","Other",5,1,"NotTire"
"730","Other",5,1,"NotTire"
"731","Other",5,1,"NotTire"
"732","Other",5,0,"NotTire"
"733","Other",5,0,"NotTire"
"734","Other",5,0,"NotTire"
"735","Other",5,1,"NotTire"
"736","Other",5,1,"NotTire"
"737","Other",5,0,"NotTire"
"738","Other",5,1,"NotTire"
"739","Other",5,3,"NotTire"
"740","Other",5,4,"NotTire"
"741","Other",5,3,"NotTire"
"742","Other",5,1,"NotTire"
"743","Other",5,0,"NotTire"
"744","Other",5,0,"NotTire"
"745","Other",5,1,"NotTire"
"746","Other",5,0,"NotTire"
"747","Other",5,1,"NotTire"
"748","Other",5,3,"NotTire"
"749","Ford",5,0,"NotTire"
"750","Ford",5,0,"NotTire"
"751","Ford",5,0,"NotTire"
"752","Ford",5,0,"NotTire"
"753","Ford",5,0,"NotTire"
"754","Ford",5,4,"NotTire"
"755","Ford",5,0,"NotTire"
"756","Ford",5,0,"NotTire"
"757","Ford",5,0,"NotTire"
"758","Ford",5,2,"NotTire"
"759","Ford",5,0,"NotTire"
"760","Ford",5,0,"NotTire"
"761","Ford",5,2,"NotTire"
"762","Ford",5,0,"NotTire"
"763","Ford",5,0,"NotTire"
"764","Ford",5,4,"NotTire"
"765","Ford",5,4,"NotTire"
"766","Ford",5,0,"NotTire"
"767","Ford",5,3,"Tire"
"768","Ford",5,4,"Tire"
"769","Ford",5,4,"Tire"
"770","Ford",5,1,"Tire"
"771","Ford",5,0,"NotTire"
"772","Other",0,0,"NotTire"
"773","Other",0,4,"NotTire"
"774","Other",0,0,"NotTire"
"775","Other",0,0,"NotTire"
"776","Ford",0,3,"NotTire"
"777","Ford",0,1,"NotTire"
"778","Other",1,2,"NotTire"
"779","Other",1,0,"NotTire"
"780","Other",1,2,"NotTire"
"781","Other",1,4,"NotTire"
"782","Other",1,0,"NotTire"
"783","Other",1,0,"NotTire"
"784","Other",1,0,"NotTire"
"785","Other",1,0,"NotTire"
"786","Other",1,0,"NotTire"
"787","Other",1,0,"NotTire"
"788","Other",1,0,"NotTire"
"789","Other",1,1,"NotTire"
"790","Other",1,1,"NotTire"
"791","Other",1,0,"NotTire"
"792","Other",1,1,"NotTire"
"793","Other",1,0,"NotTire"
"794","Other",1,2,"NotTire"
"795","Other",1,0,"NotTire"
"796","Other",1,4,"NotTire"
"797","Other",1,0,"NotTire"
"798","Other",1,1,"NotTire"
"799","Other",1,0,"NotTire"
"800","Other",1,0,"NotTire"
"801","Other",1,5,"NotTire"
"802","Other",1,0,"NotTire"
"803","Other",1,0,"NotTire"
"804","Other",1,0,"NotTire"
"805","Other",1,3,"NotTire"
"806","Other",1,0,"NotTire"
"807","Other",1,0,"NotTire"
"808","Other",1,2,"NotTire"
"809","Other",1,0,"NotTire"
"810","Other",1,0,"NotTire"
"811","Other",1,2,"NotTire"
"812","Other",1,0,"NotTire"
"813","Other",1,0,"NotTire"
