"","Region","MetropolitanStatus","Age","Sex","MaritalStatus","EdCode","Education","JobClass","WeeklyEarnings"
"239","Midwest","Not Metropolitan",49,"Female","Married",39,"HighSchoolDiploma","FedGov",550
"240","South","Metropolitan",30,"Male","Married",42,"AssocDegAcadem","FedGov",500
"241","South","Metropolitan",54,"Male","Married",41,"AssocDegOccupVocat","FedGov",500
"242","South","Metropolitan",24,"Male","Not Married",43,"BachelorsDegree","FedGov",1365.38
"243","Midwest","Not Metropolitan",51,"Female","Married",41,"AssocDegOccupVocat","FedGov",751.6
"244","West","Metropolitan",21,"Male","Not Married",39,"HighSchoolDiploma","FedGov",720
"245","South","Metropolitan",56,"Female","Married",39,"HighSchoolDiploma","FedGov",640
"246","South","Metropolitan",62,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",892.5
"247","Northeast","Not Metropolitan",49,"Male","Married",39,"HighSchoolDiploma","FedGov",878.8
"248","South","Metropolitan",27,"Male","Not Married",43,"BachelorsDegree","FedGov",1607.14
"249","West","Not Metropolitan",25,"Female","Not Married",43,"BachelorsDegree","FedGov",600
"250","Northeast","Metropolitan",54,"Male","Not Married",39,"HighSchoolDiploma","FedGov",1312
"251","Northeast","Metropolitan",49,"Male","Married",42,"AssocDegAcadem","FedGov",1688
"252","South","Metropolitan",57,"Male","Married",39,"HighSchoolDiploma","FedGov",880
"253","Midwest","Metropolitan",55,"Female","Married",43,"BachelorsDegree","FedGov",1115.38
"254","South","Metropolitan",28,"Male","Not Married",44,"MastersDegree","FedGov",450
"255","South","Not Metropolitan",31,"Female","Not Married",43,"BachelorsDegree","FedGov",769.23
"256","South","Metropolitan",51,"Male","Married",43,"BachelorsDegree","FedGov",2500
"257","South","Metropolitan",60,"Male","Married",44,"MastersDegree","FedGov",2884.61
"258","West","Not Metropolitan",40,"Female","Married",39,"HighSchoolDiploma","FedGov",325
"259","South","Metropolitan",64,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",1057.69
"260","South","Metropolitan",30,"Female","Not Married",43,"BachelorsDegree","FedGov",1250
"261","South","Metropolitan",54,"Female","Not Married",43,"BachelorsDegree","FedGov",2500
"262","South","Metropolitan",39,"Female","Not Married",46,"DoctorateDegree","FedGov",1538.46
"263","Northeast","Metropolitan",25,"Female","Married",39,"HighSchoolDiploma","FedGov",519
"264","South","Metropolitan",56,"Female","Married",39,"HighSchoolDiploma","FedGov",550
"265","South","Metropolitan",44,"Male","Married",43,"BachelorsDegree","FedGov",2019.23
"266","South","Metropolitan",35,"Female","Married",44,"MastersDegree","FedGov",345
"267","South","Metropolitan",46,"Male","Married",43,"BachelorsDegree","FedGov",2115.38
"268","Northeast","Metropolitan",59,"Male","Married",35,"NinthGrade","FedGov",900
"269","South","Metropolitan",39,"Female","Married",39,"HighSchoolDiploma","FedGov",408.4
"270","Midwest","Not Metropolitan",60,"Male","Not Married",40,"SomeCollegeButNoDegree","FedGov",1000
"271","South","Metropolitan",32,"Female","Not Married",43,"BachelorsDegree","FedGov",1615.38
"272","South","Metropolitan",27,"Male","Not Married",39,"HighSchoolDiploma","FedGov",769.23
"273","Midwest","Metropolitan",29,"Female","Not Married",44,"MastersDegree","FedGov",1576.92
"274","South","Metropolitan",55,"Male","Married",40,"SomeCollegeButNoDegree","FedGov",1250
"275","Midwest","Metropolitan",57,"Female","Not Married",39,"HighSchoolDiploma","FedGov",1338.46
"276","Midwest","Metropolitan",36,"Female","Not Married",46,"DoctorateDegree","FedGov",1826.92
"277","South","Metropolitan",38,"Female","Married",44,"MastersDegree","FedGov",1538.46
"278","Northeast","Metropolitan",53,"Female","Married",39,"HighSchoolDiploma","FedGov",1080
"279","Midwest","Metropolitan",58,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",1277.5
"280","Northeast","Metropolitan",40,"Male","Married",37,"EleventhGrade","FedGov",390
"281","Midwest","Not Metropolitan",58,"Male","Not Married",43,"BachelorsDegree","FedGov",800
"282","West","Not Metropolitan",55,"Female","Not Married",44,"MastersDegree","FedGov",923.07
"283","South","Metropolitan",28,"Male","Not Married",45,"ProfSchoolDegree","FedGov",1442.3
"284","Northeast","Metropolitan",52,"Male","Married",43,"BachelorsDegree","FedGov",1057
"285","South","Metropolitan",29,"Female","Married",43,"BachelorsDegree","FedGov",365
"286","West","Metropolitan",43,"Male","Married",42,"AssocDegAcadem","FedGov",560
"287","West","Metropolitan",53,"Female","Married",39,"HighSchoolDiploma","FedGov",1269.23
"288","Northeast","Metropolitan",44,"Male","Not Married",43,"BachelorsDegree","FedGov",2438
"289","South","Metropolitan",52,"Male","Married",44,"MastersDegree","FedGov",2153.84
"290","Midwest","Metropolitan",34,"Female","Married",45,"ProfSchoolDegree","FedGov",1538.46
"291","West","Metropolitan",44,"Female","Not Married",44,"MastersDegree","FedGov",923.07
"292","Midwest","Metropolitan",24,"Female","Not Married",40,"SomeCollegeButNoDegree","FedGov",536
"293","West","Metropolitan",50,"Female","Married",40,"SomeCollegeButNoDegree","FedGov",500
"294","South","Metropolitan",37,"Male","Married",41,"AssocDegOccupVocat","FedGov",1346.15
"295","South","Metropolitan",55,"Female","Not Married",44,"MastersDegree","FedGov",1923.07
"296","South","Metropolitan",40,"Male","Married",44,"MastersDegree","FedGov",2596.15
"297","West","Metropolitan",56,"Female","Not Married",43,"BachelorsDegree","FedGov",900
"298","Northeast","Metropolitan",40,"Male","Married",43,"BachelorsDegree","FedGov",1096
"299","South","Not Metropolitan",56,"Male","Married",43,"BachelorsDegree","FedGov",1884.61
"300","South","Metropolitan",67,"Female","Not Married",42,"AssocDegAcadem","FedGov",900
"301","West","Not Metropolitan",43,"Male","Married",39,"HighSchoolDiploma","FedGov",2000
"302","West","Metropolitan",57,"Female","Not Married",43,"BachelorsDegree","FedGov",1022.03
"303","Midwest","Metropolitan",58,"Female","Not Married",36,"TenthGrade","FedGov",468
"304","Northeast","Metropolitan",53,"Male","Married",43,"BachelorsDegree","FedGov",1057
"305","South","Metropolitan",56,"Male","Not Married",43,"BachelorsDegree","FedGov",1057
"306","South","Metropolitan",31,"Male","Not Married",44,"MastersDegree","FedGov",1250
"307","West","Metropolitan",65,"Male","Not Married",43,"BachelorsDegree","FedGov",884.61
"308","Midwest","Metropolitan",56,"Female","Married",39,"HighSchoolDiploma","FedGov",952
