"","Region","MetropolitanStatus","Exper","Educ","Race","WeeklyEarnings"
"84","Northeast","MetropolitanArea",2,16,"NotBlack",284.9
"85","South","MetropolitanArea",39,13,"NotBlack",590.45
"86","Midwest","MetropolitanArea",41,16,"NotBlack",575.98
"87","Northeast","MetropolitanArea",11,12,"Black",451.09
"88","Midwest","NotMetropolitanArea",17,12,"NotBlack",553.77
"89","South","MetropolitanArea",0,14,"NotBlack",222.22
"90","Northeast","MetropolitanArea",31,18,"NotBlack",674.26
"91","South","MetropolitanArea",21,14,"NotBlack",591.17
"92","Midwest","MetropolitanArea",9,12,"NotBlack",489.34
"93","Northeast","MetropolitanArea",13,14,"NotBlack",890.31
"94","South","MetropolitanArea",25,16,"NotBlack",641.03
"95","Northeast","MetropolitanArea",29,18,"NotBlack",949.67
"96","Northeast","MetropolitanArea",4,12,"NotBlack",354.94
"97","South","NotMetropolitanArea",32,12,"NotBlack",925.93
"98","South","MetropolitanArea",4,14,"NotBlack",403.61
"99","South","MetropolitanArea",34,16,"NotBlack",1733.14
"100","Midwest","MetropolitanArea",34,14,"Black",59.67
"101","West","NotMetropolitanArea",2,12,"NotBlack",263.37
"102","South","MetropolitanArea",39,16,"NotBlack",890.31
"103","South","MetropolitanArea",4,9,"NotBlack",56.98
"104","West","NotMetropolitanArea",16,15,"NotBlack",768.18
"105","West","NotMetropolitanArea",15,18,"NotBlack",854.7
"106","Midwest","MetropolitanArea",38,16,"NotBlack",1353.28
"107","South","MetropolitanArea",23,14,"NotBlack",617.28
"108","West","NotMetropolitanArea",30,16,"NotBlack",830.96
"109","South","MetropolitanArea",6,12,"Black",234.57
"110","Midwest","NotMetropolitanArea",10,11,"NotBlack",166.19
"111","South","MetropolitanArea",3,16,"NotBlack",435.73
"112","South","NotMetropolitanArea",21,17,"NotBlack",937.32
"113","Northeast","MetropolitanArea",21,16,"NotBlack",1424.5
"114","West","MetropolitanArea",9,16,"NotBlack",641.03
"115","Midwest","MetropolitanArea",19,12,"NotBlack",474.83
"116","Northeast","MetropolitanArea",4,17,"NotBlack",712.25
"117","West","MetropolitanArea",11,12,"NotBlack",271.6
"118","West","MetropolitanArea",16,11,"NotBlack",273.03
"119","West","MetropolitanArea",18,16,"NotBlack",1234.57
"120","Midwest","MetropolitanArea",39,13,"NotBlack",985.28
"121","Northeast","MetropolitanArea",18,13,"NotBlack",574.55
"122","West","MetropolitanArea",7,16,"NotBlack",237.42
"123","West","MetropolitanArea",13,13,"NotBlack",474.83
"124","South","MetropolitanArea",46,5,"NotBlack",395.06
"125","South","MetropolitanArea",17,14,"NotBlack",740.74
"126","West","NotMetropolitanArea",8,11,"NotBlack",169.45
"127","Northeast","NotMetropolitanArea",0,14,"NotBlack",720.16
"128","West","MetropolitanArea",32,12,"NotBlack",284.9
"129","West","MetropolitanArea",10,15,"NotBlack",522.32
"130","Midwest","NotMetropolitanArea",25,18,"NotBlack",522.32
"131","South","MetropolitanArea",33,12,"NotBlack",1265.43
"132","South","NotMetropolitanArea",8,10,"Black",142.66
"133","Northeast","MetropolitanArea",5,12,"NotBlack",356.13
"134","South","MetropolitanArea",37,12,"NotBlack",830.96
"135","West","MetropolitanArea",6,15,"NotBlack",313.39
"136","Northeast","MetropolitanArea",9,17,"NotBlack",593.54
"137","Northeast","MetropolitanArea",19,10,"NotBlack",474.83
"138","South","NotMetropolitanArea",26,8,"NotBlack",664.77
"139","South","NotMetropolitanArea",15,12,"NotBlack",748.55
"140","Midwest","NotMetropolitanArea",37,13,"NotBlack",783.48
"141","West","MetropolitanArea",31,14,"NotBlack",1068.38
"142","Northeast","MetropolitanArea",29,16,"NotBlack",1115.86
"143","Northeast","MetropolitanArea",32,8,"NotBlack",593.54
"144","South","NotMetropolitanArea",19,12,"NotBlack",641.03
"145","Midwest","MetropolitanArea",2,12,"NotBlack",212.16
"146","Northeast","MetropolitanArea",40,17,"NotBlack",1187.08
"147","South","MetropolitanArea",20,12,"NotBlack",902.18
"148","South","MetropolitanArea",21,18,"NotBlack",1020.89
"149","South","NotMetropolitanArea",13,10,"NotBlack",403.61
"150","Midwest","MetropolitanArea",3,16,"NotBlack",356.13
"151","Northeast","MetropolitanArea",15,11,"NotBlack",474.83
"152","Midwest","MetropolitanArea",50,9,"NotBlack",1234.57
"153","Midwest","MetropolitanArea",7,12,"NotBlack",352.73
"154","Midwest","MetropolitanArea",3,16,"NotBlack",403.61
"155","Midwest","MetropolitanArea",24,12,"NotBlack",735.99
"156","South","NotMetropolitanArea",13,12,"NotBlack",664.77
"157","Northeast","MetropolitanArea",16,12,"NotBlack",771.6
"158","South","NotMetropolitanArea",29,12,"NotBlack",498.58
"159","Northeast","MetropolitanArea",20,13,"Black",522.32
"160","Midwest","MetropolitanArea",21,10,"NotBlack",370.37
"161","West","MetropolitanArea",4,12,"NotBlack",237.42
"162","Northeast","MetropolitanArea",5,12,"NotBlack",451.09
"163","West","MetropolitanArea",2,12,"NotBlack",320.51
"164","Midwest","NotMetropolitanArea",4,12,"NotBlack",165.88
"165","Midwest","NotMetropolitanArea",23,18,"NotBlack",802.47
"166","Northeast","MetropolitanArea",27,12,"NotBlack",593.54
"167","Midwest","NotMetropolitanArea",3,17,"NotBlack",439.22
"168","Midwest","MetropolitanArea",25,12,"NotBlack",275.4
"169","West","MetropolitanArea",18,4,"NotBlack",189.93
"170","South","MetropolitanArea",29,14,"NotBlack",1115.86
"171","South","MetropolitanArea",23,12,"NotBlack",973.41
"172","Northeast","MetropolitanArea",28,8,"NotBlack",308.64
"173","West","MetropolitanArea",9,14,"NotBlack",332.38
"174","South","MetropolitanArea",5,14,"NotBlack",284.9
"175","Midwest","MetropolitanArea",16,10,"NotBlack",783.48
"176","West","MetropolitanArea",37,14,"NotBlack",925.93
"177","Midwest","MetropolitanArea",17,15,"NotBlack",854.7
"178","Midwest","MetropolitanArea",5,12,"NotBlack",370.37
"179","South","MetropolitanArea",26,13,"NotBlack",1305.79
"180","Midwest","NotMetropolitanArea",11,15,"NotBlack",854.7
"181","West","MetropolitanArea",35,14,"NotBlack",1329.53
"182","South","MetropolitanArea",17,11,"Black",493.83
"183","South","MetropolitanArea",38,12,"NotBlack",660.02
"184","Midwest","MetropolitanArea",0,15,"NotBlack",448.93
"185","West","MetropolitanArea",6,11,"NotBlack",403.61
"186","West","NotMetropolitanArea",19,14,"NotBlack",395.51
"187","South","MetropolitanArea",30,12,"NotBlack",448.72
"188","Midwest","MetropolitanArea",43,18,"NotBlack",382.72
"189","Northeast","NotMetropolitanArea",34,12,"NotBlack",522.32
"190","Midwest","MetropolitanArea",24,16,"NotBlack",1543.21
"191","Northeast","MetropolitanArea",10,18,"NotBlack",1051.33
"192","South","MetropolitanArea",7,13,"NotBlack",356.13
"193","Northeast","NotMetropolitanArea",14,13,"NotBlack",403.61
"194","Northeast","NotMetropolitanArea",8,12,"NotBlack",345.68
"195","West","MetropolitanArea",16,18,"NotBlack",1329.53
"196","Northeast","MetropolitanArea",32,10,"NotBlack",552.26
"197","Midwest","MetropolitanArea",18,12,"NotBlack",925.93
"198","South","MetropolitanArea",14,12,"NotBlack",393.52
"199","Midwest","MetropolitanArea",51,12,"NotBlack",142.45
"200","West","NotMetropolitanArea",14,15,"NotBlack",712.25
"201","South","MetropolitanArea",25,15,"NotBlack",237.42
"202","West","MetropolitanArea",10,16,"NotBlack",783.48
"203","South","MetropolitanArea",17,13,"NotBlack",593.54
"204","West","MetropolitanArea",30,16,"NotBlack",949.67
"205","Northeast","NotMetropolitanArea",15,9,"NotBlack",284.9
"206","West","MetropolitanArea",21,16,"NotBlack",854.7
"207","Northeast","MetropolitanArea",32,18,"NotBlack",949.67
"208","Northeast","MetropolitanArea",5,12,"NotBlack",415.48
"209","Northeast","MetropolitanArea",9,9,"NotBlack",237.42
"210","West","NotMetropolitanArea",11,12,"NotBlack",854.7
"211","Midwest","MetropolitanArea",23,11,"NotBlack",1187.08
"212","South","NotMetropolitanArea",13,11,"NotBlack",434.71
"213","Northeast","MetropolitanArea",5,18,"NotBlack",925.93
"214","South","MetropolitanArea",8,16,"Black",230.29
"215","West","NotMetropolitanArea",7,16,"NotBlack",450.25
"216","South","MetropolitanArea",29,16,"Black",308.64
"217","West","MetropolitanArea",39,16,"NotBlack",883.19
"218","Midwest","NotMetropolitanArea",17,12,"NotBlack",451.09
"219","Midwest","MetropolitanArea",29,12,"NotBlack",622.46
"220","Midwest","MetropolitanArea",7,13,"NotBlack",546.06
"221","Midwest","MetropolitanArea",7,18,"NotBlack",1101.73
"222","South","MetropolitanArea",31,11,"Black",555.56
"223","Midwest","MetropolitanArea",38,8,"NotBlack",308.64
"224","West","NotMetropolitanArea",36,10,"NotBlack",686.78
"225","West","MetropolitanArea",2,12,"NotBlack",237.42
"226","South","NotMetropolitanArea",3,12,"NotBlack",166.19
"227","West","MetropolitanArea",11,12,"NotBlack",415.48
"228","Midwest","MetropolitanArea",6,15,"Black",379.87
"229","Midwest","MetropolitanArea",41,14,"Black",308.64
"230","Northeast","MetropolitanArea",14,12,"NotBlack",410.73
"231","South","MetropolitanArea",6,11,"NotBlack",407.41
"232","Northeast","MetropolitanArea",37,18,"NotBlack",1092.12
"233","Midwest","MetropolitanArea",11,12,"NotBlack",593.54
"234","Northeast","MetropolitanArea",31,13,"NotBlack",332.38
"235","Midwest","MetropolitanArea",12,12,"NotBlack",195.47
"236","Northeast","NotMetropolitanArea",39,14,"NotBlack",403.61
"237","South","MetropolitanArea",45,16,"NotBlack",949.67
"238","Midwest","NotMetropolitanArea",20,10,"NotBlack",213.68
"239","South","MetropolitanArea",31,17,"NotBlack",1725.81
"240","South","MetropolitanArea",23,14,"NotBlack",949.67
"241","South","NotMetropolitanArea",30,17,"NotBlack",783.38
"242","South","MetropolitanArea",32,12,"NotBlack",617.28
"243","South","NotMetropolitanArea",4,15,"NotBlack",451.09
"244","Midwest","MetropolitanArea",36,12,"NotBlack",759.73
"245","South","NotMetropolitanArea",8,15,"NotBlack",484.33
"246","Northeast","MetropolitanArea",8,12,"NotBlack",593.54
"247","Northeast","MetropolitanArea",6,14,"NotBlack",474.83
"248","South","NotMetropolitanArea",2,12,"NotBlack",356.13
"249","Midwest","NotMetropolitanArea",37,12,"NotBlack",593.54
"250","Northeast","MetropolitanArea",33,10,"NotBlack",462.96
"251","Midwest","MetropolitanArea",18,15,"NotBlack",648.31
"252","Northeast","MetropolitanArea",6,15,"NotBlack",534.19
"253","West","MetropolitanArea",31,17,"NotBlack",1068.38
"254","South","NotMetropolitanArea",19,16,"NotBlack",522.32
"255","South","MetropolitanArea",18,12,"NotBlack",308.64
"256","Midwest","MetropolitanArea",2,18,"NotBlack",398.86
"257","Midwest","MetropolitanArea",37,12,"NotBlack",633.76
"258","Midwest","NotMetropolitanArea",7,14,"NotBlack",735.99
"259","South","MetropolitanArea",19,12,"NotBlack",261.16
"260","Northeast","MetropolitanArea",19,18,"NotBlack",2374.15
"261","South","MetropolitanArea",16,14,"NotBlack",522.32
"262","South","MetropolitanArea",36,14,"Black",515.74
"263","South","NotMetropolitanArea",34,12,"NotBlack",919.36
"264","Midwest","NotMetropolitanArea",21,12,"NotBlack",702.75
"265","Northeast","MetropolitanArea",16,10,"NotBlack",379.87
"266","Northeast","MetropolitanArea",30,11,"Black",830.96
"267","West","NotMetropolitanArea",14,16,"NotBlack",522.32
"268","South","MetropolitanArea",3,16,"NotBlack",284.9
"269","West","MetropolitanArea",12,14,"NotBlack",771.6
"270","West","MetropolitanArea",39,9,"NotBlack",664.77
"271","Midwest","MetropolitanArea",32,10,"NotBlack",851.07
"272","Northeast","NotMetropolitanArea",38,12,"NotBlack",522.32
"273","Northeast","MetropolitanArea",27,12,"NotBlack",521.26
"274","Northeast","MetropolitanArea",21,14,"NotBlack",783.48
"275","South","MetropolitanArea",11,14,"Black",406.33
"276","Midwest","MetropolitanArea",37,16,"NotBlack",641.03
"277","Midwest","MetropolitanArea",5,11,"NotBlack",94.97
"278","West","MetropolitanArea",20,12,"NotBlack",403.61
"279","South","MetropolitanArea",10,11,"NotBlack",356.13
"280","West","MetropolitanArea",2,16,"NotBlack",246.91
"281","West","MetropolitanArea",46,13,"NotBlack",339.51
"282","South","NotMetropolitanArea",33,10,"Black",261.16
"283","Midwest","MetropolitanArea",16,16,"NotBlack",712.25
"284","West","MetropolitanArea",17,16,"NotBlack",326.8
"285","Midwest","MetropolitanArea",13,14,"NotBlack",569.8
"286","South","MetropolitanArea",20,16,"NotBlack",890.31
"287","Northeast","MetropolitanArea",31,12,"NotBlack",522.32
"288","South","MetropolitanArea",26,14,"NotBlack",1115.86
"289","Midwest","MetropolitanArea",4,17,"NotBlack",973.41
"290","Midwest","NotMetropolitanArea",28,13,"NotBlack",830.96
"291","South","MetropolitanArea",33,15,"NotBlack",232.67
"292","South","MetropolitanArea",22,9,"NotBlack",239.86
"293","South","NotMetropolitanArea",18,15,"NotBlack",507.05
"294","South","MetropolitanArea",14,14,"NotBlack",643.4
"295","Midwest","MetropolitanArea",14,12,"NotBlack",783.48
"296","South","MetropolitanArea",21,14,"NotBlack",978.16
"297","Midwest","MetropolitanArea",10,18,"NotBlack",356.13
"298","Northeast","MetropolitanArea",12,12,"NotBlack",664.77
"299","Midwest","MetropolitanArea",15,12,"NotBlack",612.54
"300","Northeast","NotMetropolitanArea",6,15,"NotBlack",296.3
"301","South","MetropolitanArea",17,12,"NotBlack",403.61
"302","Midwest","MetropolitanArea",33,17,"NotBlack",854.7
"303","South","NotMetropolitanArea",2,12,"NotBlack",172.84
"304","Midwest","NotMetropolitanArea",41,8,"NotBlack",498.58
"305","Midwest","NotMetropolitanArea",32,12,"NotBlack",403.61
"306","South","MetropolitanArea",8,12,"NotBlack",498.58
"307","West","NotMetropolitanArea",13,14,"NotBlack",997.15
"308","South","NotMetropolitanArea",25,12,"NotBlack",437.24
"309","South","MetropolitanArea",14,18,"NotBlack",712.25
"310","South","MetropolitanArea",25,12,"NotBlack",403.61
"311","Northeast","MetropolitanArea",20,18,"NotBlack",791.64
"312","South","MetropolitanArea",11,12,"Black",427.35
"313","Northeast","MetropolitanArea",25,16,"NotBlack",1068.38
"314","West","MetropolitanArea",3,17,"NotBlack",518.52
"315","Midwest","NotMetropolitanArea",19,12,"NotBlack",731.24
"316","Midwest","MetropolitanArea",25,12,"NotBlack",751.31
"317","South","MetropolitanArea",34,8,"Black",170.94
"318","Northeast","MetropolitanArea",7,14,"NotBlack",532.56
"319","West","NotMetropolitanArea",0,15,"NotBlack",231.48
"320","South","MetropolitanArea",5,15,"Black",546.06
"321","South","MetropolitanArea",23,13,"NotBlack",664.77
"322","Midwest","MetropolitanArea",14,12,"NotBlack",303.89
"323","West","MetropolitanArea",15,13,"NotBlack",474.83
"324","Midwest","MetropolitanArea",12,12,"NotBlack",557.93
"325","South","NotMetropolitanArea",8,11,"NotBlack",379.87
"326","West","MetropolitanArea",26,17,"NotBlack",949.67
"327","Midwest","MetropolitanArea",12,12,"NotBlack",522.32
"328","West","MetropolitanArea",23,15,"NotBlack",854.7
"329","West","MetropolitanArea",15,13,"NotBlack",557.93
"330","Northeast","MetropolitanArea",12,11,"NotBlack",498.58
"331","South","MetropolitanArea",20,12,"NotBlack",493.83
"332","South","NotMetropolitanArea",38,12,"NotBlack",854.7
"333","Northeast","NotMetropolitanArea",35,9,"NotBlack",180.04
"334","Midwest","MetropolitanArea",18,18,"NotBlack",688.51
"335","Northeast","MetropolitanArea",30,16,"NotBlack",1816.24
"336","South","NotMetropolitanArea",36,13,"NotBlack",75.31
"337","Northeast","MetropolitanArea",36,12,"NotBlack",617.28
"338","South","NotMetropolitanArea",28,14,"NotBlack",498.58
"339","Midwest","NotMetropolitanArea",11,16,"NotBlack",1377.02
"340","Midwest","MetropolitanArea",41,16,"NotBlack",1424.5
"341","South","MetropolitanArea",14,8,"NotBlack",398.86
"342","Northeast","MetropolitanArea",3,12,"NotBlack",379.87
"343","South","MetropolitanArea",10,12,"NotBlack",356.13
"344","Northeast","MetropolitanArea",30,12,"NotBlack",522.32
"345","Northeast","MetropolitanArea",16,15,"NotBlack",403.61
"346","Northeast","MetropolitanArea",25,12,"NotBlack",2018.04
"347","South","NotMetropolitanArea",25,13,"Black",427.35
"348","West","MetropolitanArea",28,18,"NotBlack",1661.92
"349","South","MetropolitanArea",4,12,"NotBlack",498.58
"350","Northeast","NotMetropolitanArea",48,11,"NotBlack",415.48
"351","Midwest","MetropolitanArea",5,18,"NotBlack",641.03
"352","South","NotMetropolitanArea",8,14,"NotBlack",386.2
"353","South","MetropolitanArea",18,12,"NotBlack",641.03
"354","Northeast","MetropolitanArea",11,16,"NotBlack",712.25
"355","Midwest","MetropolitanArea",18,12,"NotBlack",522.32
"356","Northeast","MetropolitanArea",3,12,"NotBlack",274.35
"357","Midwest","NotMetropolitanArea",7,11,"NotBlack",332.38
"358","South","MetropolitanArea",34,10,"NotBlack",332.38
"359","Northeast","NotMetropolitanArea",55,8,"NotBlack",207.82
"360","Northeast","MetropolitanArea",22,12,"NotBlack",546.06
"361","South","MetropolitanArea",23,16,"NotBlack",356.13
"362","West","NotMetropolitanArea",20,12,"NotBlack",709.88
"363","South","MetropolitanArea",32,9,"NotBlack",208.93
"364","West","MetropolitanArea",46,10,"NotBlack",687.96
"365","West","MetropolitanArea",6,12,"NotBlack",498.58
"366","West","MetropolitanArea",49,7,"NotBlack",121.08
"367","West","MetropolitanArea",19,14,"NotBlack",688.51
"368","South","MetropolitanArea",9,16,"NotBlack",555.56
"369","West","MetropolitanArea",9,18,"NotBlack",1187.08
"370","Northeast","NotMetropolitanArea",6,12,"NotBlack",284.9
"371","Northeast","MetropolitanArea",13,12,"NotBlack",1305.79
"372","West","MetropolitanArea",35,12,"NotBlack",474.83
"373","Midwest","NotMetropolitanArea",42,12,"NotBlack",997.15
"374","Midwest","MetropolitanArea",32,13,"NotBlack",546.06
"375","South","MetropolitanArea",12,10,"NotBlack",735.99
"376","West","MetropolitanArea",20,13,"NotBlack",759.73
"377","Midwest","NotMetropolitanArea",13,12,"NotBlack",569.8
"378","South","MetropolitanArea",54,6,"Black",206.55
"379","Northeast","MetropolitanArea",8,12,"Black",403.61
"380","Midwest","MetropolitanArea",3,11,"NotBlack",218.11
"381","Northeast","MetropolitanArea",31,16,"NotBlack",593.54
"382","West","NotMetropolitanArea",5,16,"NotBlack",227.92
"383","West","MetropolitanArea",12,18,"NotBlack",949.67
"384","West","MetropolitanArea",34,12,"NotBlack",688.51
"385","West","NotMetropolitanArea",5,12,"NotBlack",427.35
"386","Midwest","MetropolitanArea",13,12,"NotBlack",593.54
"387","West","NotMetropolitanArea",15,13,"NotBlack",823.05
"388","Northeast","MetropolitanArea",4,12,"NotBlack",522.32
"389","West","MetropolitanArea",5,14,"NotBlack",455.84
"390","South","MetropolitanArea",12,14,"NotBlack",633.9
"391","South","MetropolitanArea",38,8,"NotBlack",653.59
"392","West","MetropolitanArea",41,12,"NotBlack",534.19
"393","Midwest","NotMetropolitanArea",10,14,"NotBlack",462.96
"394","Northeast","MetropolitanArea",36,12,"NotBlack",1080.25
"395","Midwest","NotMetropolitanArea",19,18,"NotBlack",807.22
"396","Midwest","MetropolitanArea",17,16,"NotBlack",474.83
"397","Northeast","MetropolitanArea",34,12,"NotBlack",857.08
"398","South","MetropolitanArea",14,18,"NotBlack",997.15
"399","Midwest","MetropolitanArea",37,13,"NotBlack",712.25
"400","West","MetropolitanArea",32,18,"NotBlack",387.8
"401","South","MetropolitanArea",10,10,"NotBlack",92.59
"402","West","MetropolitanArea",23,14,"NotBlack",1068.38
"403","West","MetropolitanArea",18,16,"NotBlack",1187.08
"404","Midwest","MetropolitanArea",9,12,"Black",151.95
"405","South","MetropolitanArea",11,15,"NotBlack",1068.38
"406","Midwest","NotMetropolitanArea",14,12,"NotBlack",498.58
"407","Northeast","NotMetropolitanArea",5,12,"NotBlack",284.9
"408","Midwest","NotMetropolitanArea",12,16,"NotBlack",458.21
"409","Midwest","NotMetropolitanArea",23,13,"NotBlack",490.72
"410","Northeast","MetropolitanArea",12,12,"NotBlack",546.06
"411","Northeast","MetropolitanArea",9,12,"NotBlack",362.14
"412","South","NotMetropolitanArea",7,9,"NotBlack",403.61
"413","South","NotMetropolitanArea",13,12,"NotBlack",356.13
"414","South","NotMetropolitanArea",11,16,"NotBlack",878.44
"415","Northeast","MetropolitanArea",17,18,"NotBlack",1211.18
"416","South","NotMetropolitanArea",15,12,"NotBlack",700.7
"417","West","MetropolitanArea",1,12,"NotBlack",116.19
"418","Northeast","MetropolitanArea",14,16,"NotBlack",711.06
"419","West","MetropolitanArea",13,12,"NotBlack",326.02
"420","West","NotMetropolitanArea",39,12,"NotBlack",427.35
"421","Northeast","MetropolitanArea",44,11,"NotBlack",308.64
"422","South","MetropolitanArea",10,12,"NotBlack",474.83
"423","West","MetropolitanArea",12,14,"NotBlack",747.86
"424","West","MetropolitanArea",16,17,"NotBlack",746.11
"425","South","MetropolitanArea",42,15,"NotBlack",379.87
"426","South","MetropolitanArea",4,11,"NotBlack",360.08
"427","West","MetropolitanArea",35,12,"NotBlack",593.54
"428","Northeast","NotMetropolitanArea",43,9,"NotBlack",569.8
"429","Northeast","NotMetropolitanArea",44,10,"NotBlack",641.03
"430","Northeast","MetropolitanArea",5,18,"NotBlack",878.44
"431","South","MetropolitanArea",5,9,"NotBlack",308.64
"432","South","MetropolitanArea",6,14,"Black",356.13
"433","Northeast","NotMetropolitanArea",16,14,"NotBlack",997.15
"434","West","NotMetropolitanArea",17,6,"NotBlack",158.28
"435","Midwest","NotMetropolitanArea",14,17,"NotBlack",541.38
"436","Northeast","MetropolitanArea",24,12,"NotBlack",854.7
"437","Northeast","MetropolitanArea",31,12,"NotBlack",688.51
"438","Midwest","MetropolitanArea",24,12,"NotBlack",593.54
"439","West","MetropolitanArea",57,2,"NotBlack",142.45
"440","South","NotMetropolitanArea",12,12,"Black",284.9
"441","South","MetropolitanArea",8,12,"NotBlack",415.48
"442","West","MetropolitanArea",21,13,"NotBlack",534.19
"443","Midwest","NotMetropolitanArea",6,12,"NotBlack",290.24
"444","Northeast","MetropolitanArea",42,12,"Black",284.9
"445","Midwest","NotMetropolitanArea",33,12,"NotBlack",854.7
"446","South","MetropolitanArea",33,15,"NotBlack",712.25
"447","South","MetropolitanArea",19,10,"NotBlack",376.95
"448","South","NotMetropolitanArea",8,15,"NotBlack",249.29
"449","Northeast","MetropolitanArea",38,14,"NotBlack",925.93
"450","West","NotMetropolitanArea",6,12,"NotBlack",498.58
"451","West","MetropolitanArea",4,12,"NotBlack",261.16
