"","Region","MetropolitanStatus","Age","EducationCategory","EducationCode","Race","WeeklyEarnings"
"53","Midwest","Metropolitan",46,"EleventhGrade",37,"White",961.53
"54","South","Metropolitan",33,"ProfSchoolDegree",45,"White",1826.92
"55","South","Metropolitan",46,"SomeCollegeButNoDegree",40,"White",1408
"56","Midwest","Metropolitan",33,"HighSchoolDiploma",39,"White",360
"57","West","Metropolitan",50,"HighSchoolDiploma",39,"White",1400
"58","South","Metropolitan",60,"SomeCollegeButNoDegree",40,"White",2354.07
"59","South","Metropolitan",27,"BachelorsDegree",43,"White",850
"60","Midwest","Metropolitan",32,"HighSchoolDiploma",39,"White",686.8
"61","South","Metropolitan",60,"HighSchoolDiploma",39,"Black",807.69
"62","Northeast","Metropolitan",40,"HighSchoolDiploma",39,"White",1200
"63","Midwest","Metropolitan",29,"BachelorsDegree",43,"White",1538.46
"64","Northeast","Metropolitan",58,"BachelorsDegree",43,"White",1200
"65","South","Metropolitan",47,"MastersDegree",44,"White",1923.07
"66","Northeast","Metropolitan",56,"BachelorsDegree",43,"White",2884.61
"67","Midwest","Not Metropolitan",31,"AssocDegAcadem",42,"White",480
"68","West","Metropolitan",28,"SomeCollegeButNoDegree",40,"White",730
"69","Midwest","Not Metropolitan",56,"EleventhGrade",37,"White",962
"70","Northeast","Metropolitan",50,"AssocDegAcadem",42,"White",1923
"71","Northeast","Metropolitan",36,"BachelorsDegree",43,"White",2115
"72","South","Metropolitan",24,"BachelorsDegree",43,"White",865.38
"73","South","Metropolitan",71,"HighSchoolDiploma",39,"White",438.46
"74","South","Not Metropolitan",50,"EleventhGrade",37,"White",730.76
"75","South","Metropolitan",37,"BachelorsDegree",43,"White",2884.61
"76","Northeast","Metropolitan",63,"HighSchoolDiploma",39,"White",340
"77","West","Metropolitan",39,"HighSchoolDiploma",39,"White",700
"78","South","Not Metropolitan",55,"HighSchoolDiploma",39,"White",600
"79","West","Not Metropolitan",34,"BachelorsDegree",43,"White",788.46
"80","South","Not Metropolitan",26,"HighSchoolDiploma",39,"White",1015
"81","Midwest","Metropolitan",28,"DoctorateDegree",46,"White",673.07
"82","Midwest","Not Metropolitan",47,"SomeCollegeButNoDegree",40,"White",1200
"83","Northeast","Metropolitan",52,"HighSchoolDiploma",39,"White",700
"84","South","Metropolitan",55,"HighSchoolDiploma",39,"Black",692.3
"85","South","Metropolitan",36,"HighSchoolDiploma",39,"White",600
"86","Midwest","Metropolitan",37,"BachelorsDegree",43,"White",900
"87","Midwest","Metropolitan",41,"BachelorsDegree",43,"Black",400
"88","South","Metropolitan",57,"HighSchoolDiploma",39,"White",700
"89","South","Not Metropolitan",54,"BachelorsDegree",43,"White",2211.53
"90","Northeast","Not Metropolitan",57,"SomeCollegeButNoDegree",40,"White",1200
"91","Midwest","Not Metropolitan",62,"SomeCollegeButNoDegree",40,"White",1346.15
"92","Midwest","Metropolitan",22,"SomeCollegeButNoDegree",40,"White",432
"93","Northeast","Metropolitan",46,"HighSchoolDiploma",39,"White",1200
"94","South","Metropolitan",27,"BachelorsDegree",43,"White",1634.61
"95","Northeast","Metropolitan",60,"BachelorsDegree",43,"White",1211.53
"96","Northeast","Metropolitan",41,"MastersDegree",44,"White",2500
"97","West","Metropolitan",61,"DoctorateDegree",46,"White",2307.46
"98","South","Metropolitan",43,"MastersDegree",44,"Black",400
"99","South","Metropolitan",54,"HighSchoolDiploma",39,"White",858.8
"100","West","Metropolitan",58,"BachelorsDegree",43,"White",2884.61
"101","Northeast","Metropolitan",56,"SeventhOrEighthGrade",34,"White",584
"102","South","Metropolitan",57,"HighSchoolDiploma",39,"White",721.15
"103","Northeast","Metropolitan",48,"BachelorsDegree",43,"White",2692
"104","Midwest","Not Metropolitan",39,"BachelorsDegree",43,"White",1300
"105","Northeast","Not Metropolitan",53,"HighSchoolDiploma",39,"White",700
"106","South","Metropolitan",33,"BachelorsDegree",43,"White",1634.61
"107","West","Not Identified",63,"EleventhGrade",37,"White",1800
"108","South","Metropolitan",39,"MastersDegree",44,"White",1596
"109","Midwest","Not Metropolitan",27,"HighSchoolDiploma",39,"White",807
"110","South","Metropolitan",57,"DoctorateDegree",46,"White",346.5
"111","South","Metropolitan",39,"HighSchoolDiploma",39,"White",400
"112","South","Metropolitan",42,"HighSchoolDiploma",39,"Black",1211.53
"113","South","Not Metropolitan",33,"SomeCollegeButNoDegree",40,"White",2884.61
"114","Midwest","Metropolitan",51,"HighSchoolDiploma",39,"White",666
"115","West","Metropolitan",40,"HighSchoolDiploma",39,"White",855
"116","Midwest","Not Metropolitan",22,"HighSchoolDiploma",39,"White",600
"117","Midwest","Metropolitan",31,"BachelorsDegree",43,"White",1250
"118","Midwest","Not Metropolitan",38,"SomeCollegeButNoDegree",40,"White",1000
"119","Northeast","Metropolitan",63,"BachelorsDegree",43,"White",550
"120","South","Metropolitan",26,"BachelorsDegree",43,"White",550
"121","West","Metropolitan",61,"HighSchoolDiploma",39,"White",600
"122","South","Not Metropolitan",50,"SomeCollegeButNoDegree",40,"White",2807.69
"123","South","Metropolitan",31,"HighSchoolDiploma",39,"White",480
"124","West","Metropolitan",47,"BachelorsDegree",43,"White",2800
"125","Northeast","Metropolitan",33,"AssocDegOccupVocat",41,"White",840
"126","West","Not Metropolitan",37,"SomeCollegeButNoDegree",40,"White",489.6
"127","Midwest","Not Metropolitan",55,"HighSchoolDiploma",39,"White",800
"128","Northeast","Metropolitan",23,"HighSchoolDiploma",39,"Black",600
"129","South","Metropolitan",31,"AssocDegAcadem",42,"White",1153
"130","West","Metropolitan",47,"BachelorsDegree",43,"White",1288.46
"131","South","Metropolitan",52,"NinthGrade",35,"White",550
"132","Midwest","Metropolitan",37,"AssocDegOccupVocat",41,"White",368
"133","South","Metropolitan",65,"HighSchoolDiploma",39,"Black",336
"134","South","Not Metropolitan",56,"SomeCollegeButNoDegree",40,"White",473.6
"135","South","Metropolitan",56,"BachelorsDegree",43,"White",750
"136","Midwest","Metropolitan",38,"BachelorsDegree",43,"White",961.53
"137","West","Metropolitan",30,"AssocDegAcadem",42,"White",2884.61
"138","Northeast","Metropolitan",28,"SomeCollegeButNoDegree",40,"Black",550
"139","South","Metropolitan",43,"HighSchoolDiploma",39,"White",480
"140","Northeast","Metropolitan",42,"HighSchoolDiploma",39,"White",1335
"141","South","Metropolitan",51,"AssocDegAcadem",42,"White",440
"142","West","Metropolitan",61,"BachelorsDegree",43,"White",1057
"143","South","Metropolitan",56,"BachelorsDegree",43,"White",1000
"144","West","Metropolitan",33,"SomeCollegeButNoDegree",40,"White",365.38
"145","Northeast","Metropolitan",38,"AssocDegAcadem",42,"White",1153.84
"146","West","Metropolitan",22,"SomeCollegeButNoDegree",40,"White",320
"147","Midwest","Metropolitan",64,"BachelorsDegree",43,"White",397.38
"148","Midwest","Not Metropolitan",47,"HighSchoolDiploma",39,"White",888.8
"149","West","Metropolitan",62,"SeventhOrEighthGrade",34,"White",1222
"150","South","Metropolitan",37,"SomeCollegeButNoDegree",40,"Black",610
"151","South","Metropolitan",47,"AssocDegAcadem",42,"White",1711.53
"152","Northeast","Metropolitan",29,"BachelorsDegree",43,"White",2211.53
"153","West","Not Identified",54,"BachelorsDegree",43,"White",2884.61
"154","West","Not Metropolitan",31,"TenthGrade",36,"White",281.75
"155","Midwest","Metropolitan",54,"EleventhGrade",37,"White",700
"156","Northeast","Metropolitan",52,"BachelorsDegree",43,"White",1500
"157","West","Metropolitan",28,"SomeCollegeButNoDegree",40,"White",526.89
"158","Midwest","Metropolitan",25,"BachelorsDegree",43,"White",1153.84
"159","South","Not Metropolitan",58,"HighSchoolDiploma",39,"White",1304
"160","West","Metropolitan",34,"AssocDegOccupVocat",41,"White",692.3
"161","West","Metropolitan",42,"HighSchoolDiploma",39,"White",170
"162","Midwest","Metropolitan",51,"BachelorsDegree",43,"White",900
"163","Northeast","Metropolitan",46,"AssocDegAcadem",42,"White",875
"164","Midwest","Metropolitan",24,"HighSchoolDiploma",39,"White",315.02
"165","Midwest","Metropolitan",40,"SomeCollegeButNoDegree",40,"White",736
"166","South","Metropolitan",41,"BachelorsDegree",43,"White",1000
"167","South","Metropolitan",59,"BachelorsDegree",43,"Black",590
"168","South","Metropolitan",46,"MastersDegree",44,"White",2307
"169","West","Metropolitan",71,"DoctorateDegree",46,"White",769.23
"170","South","Metropolitan",40,"AssocDegOccupVocat",41,"White",1692
"171","South","Metropolitan",36,"SomeCollegeButNoDegree",40,"White",900
"172","South","Metropolitan",62,"DoctorateDegree",46,"White",1153.84
"173","Northeast","Not Metropolitan",47,"BachelorsDegree",43,"White",2307.69
"174","South","Metropolitan",45,"AssocDegOccupVocat",41,"White",1538.46
"175","West","Metropolitan",31,"ProfSchoolDegree",45,"White",961.53
"176","Northeast","Metropolitan",62,"HighSchoolDiploma",39,"White",1368
"177","Northeast","Metropolitan",52,"EleventhGrade",37,"White",1000
"178","South","Not Metropolitan",70,"TwelthButNoDiploma",38,"Black",252
"179","South","Metropolitan",43,"MastersDegree",44,"Black",830.76
"180","Midwest","Not Metropolitan",24,"BachelorsDegree",43,"White",673
"181","West","Not Metropolitan",21,"TenthGrade",36,"White",570
"182","Midwest","Metropolitan",50,"AssocDegOccupVocat",41,"White",900
"183","South","Not Metropolitan",38,"HighSchoolDiploma",39,"White",1340
"184","Northeast","Not Metropolitan",38,"HighSchoolDiploma",39,"White",1575.2
"185","Northeast","Metropolitan",54,"HighSchoolDiploma",39,"White",1139
"186","Midwest","Not Metropolitan",42,"SeventhOrEighthGrade",34,"White",400
"187","West","Metropolitan",43,"SeventhOrEighthGrade",34,"White",800
"188","South","Metropolitan",43,"ProfSchoolDegree",45,"White",769
"189","South","Not Metropolitan",54,"HighSchoolDiploma",39,"White",1375.8
"190","Midwest","Not Metropolitan",53,"SomeCollegeButNoDegree",40,"White",1038.46
"191","Northeast","Metropolitan",33,"HighSchoolDiploma",39,"White",288
"192","Midwest","Metropolitan",53,"HighSchoolDiploma",39,"White",1923.07
"193","West","Metropolitan",39,"BachelorsDegree",43,"White",1153
"194","South","Metropolitan",32,"HighSchoolDiploma",39,"White",1400
"195","West","Metropolitan",26,"HighSchoolDiploma",39,"White",660
"196","Northeast","Metropolitan",40,"BachelorsDegree",43,"White",2884.61
"197","West","Metropolitan",29,"HighSchoolDiploma",39,"White",850
"198","South","Metropolitan",36,"HighSchoolDiploma",39,"White",480
"199","Northeast","Not Metropolitan",42,"SomeCollegeButNoDegree",40,"White",1150
"200","Northeast","Metropolitan",53,"HighSchoolDiploma",39,"White",1346.15
"201","South","Metropolitan",52,"HighSchoolDiploma",39,"Black",769.23
"202","West","Metropolitan",33,"BachelorsDegree",43,"White",961.53
"203","Northeast","Metropolitan",27,"BachelorsDegree",43,"White",750
"204","Northeast","Metropolitan",50,"AssocDegAcadem",42,"White",450
"205","Northeast","Not Metropolitan",35,"AssocDegOccupVocat",41,"White",992.7
"206","South","Metropolitan",28,"TwelthButNoDiploma",38,"White",250
"207","West","Metropolitan",55,"HighSchoolDiploma",39,"White",400
"208","Northeast","Metropolitan",33,"BachelorsDegree",43,"White",1200
"209","Midwest","Not Metropolitan",41,"BachelorsDegree",43,"White",1057
"210","Midwest","Not Metropolitan",67,"HighSchoolDiploma",39,"White",2307
"211","South","Metropolitan",31,"HighSchoolDiploma",39,"White",1480
"212","West","Metropolitan",60,"SomeCollegeButNoDegree",40,"White",760
"213","Midwest","Metropolitan",40,"BachelorsDegree",43,"White",2884.61
"214","Midwest","Not Metropolitan",50,"AssocDegAcadem",42,"White",1057
"215","South","Metropolitan",54,"MastersDegree",44,"White",1538.46
"216","Northeast","Metropolitan",56,"TwelthButNoDiploma",38,"White",933
"217","Midwest","Metropolitan",21,"HighSchoolDiploma",39,"White",400
"218","West","Not Metropolitan",44,"ProfSchoolDegree",45,"White",2096.15
"219","West","Metropolitan",56,"HighSchoolDiploma",39,"White",678
"220","South","Metropolitan",35,"BachelorsDegree",43,"White",961.53
"221","Midwest","Metropolitan",41,"HighSchoolDiploma",39,"White",400
"222","Northeast","Metropolitan",59,"BachelorsDegree",43,"White",1700
"223","South","Metropolitan",35,"SomeCollegeButNoDegree",40,"White",800
"224","West","Not Metropolitan",53,"EleventhGrade",37,"White",440
"225","Midwest","Metropolitan",46,"SomeCollegeButNoDegree",40,"White",1068.75
"226","Midwest","Metropolitan",44,"HighSchoolDiploma",39,"White",700
"227","Midwest","Metropolitan",52,"SomeCollegeButNoDegree",40,"White",1000
"228","Midwest","Metropolitan",53,"AssocDegOccupVocat",41,"White",1500
"229","Northeast","Metropolitan",45,"BachelorsDegree",43,"White",2884.61
"230","Midwest","Not Metropolitan",57,"HighSchoolDiploma",39,"White",420
"231","Midwest","Metropolitan",28,"HighSchoolDiploma",39,"Black",310
"232","West","Metropolitan",53,"HighSchoolDiploma",39,"White",1154
"233","West","Metropolitan",40,"SomeCollegeButNoDegree",40,"White",640
"234","West","Metropolitan",30,"BachelorsDegree",43,"White",1442
"235","Midwest","Not Metropolitan",22,"TwelthButNoDiploma",38,"White",420
"236","Midwest","Metropolitan",68,"HighSchoolDiploma",39,"White",324
"237","Midwest","Metropolitan",53,"MastersDegree",44,"White",2884.61
"238","South","Metropolitan",33,"TenthGrade",36,"Black",600
"239","South","Metropolitan",27,"SomeCollegeButNoDegree",40,"White",500
"240","South","Metropolitan",45,"HighSchoolDiploma",39,"White",1340
"241","South","Metropolitan",54,"AssocDegOccupVocat",41,"Black",500
"242","South","Metropolitan",57,"SomeCollegeButNoDegree",40,"White",884.61
"243","West","Metropolitan",28,"MastersDegree",44,"White",2038.46
"244","Midwest","Not Metropolitan",46,"AssocDegAcadem",42,"White",1360
"245","South","Metropolitan",45,"SomeCollegeButNoDegree",40,"White",750
"246","Midwest","Not Metropolitan",34,"AssocDegAcadem",42,"White",1338.46
"247","West","Metropolitan",34,"TenthGrade",36,"White",360
"248","Midwest","Not Metropolitan",43,"HighSchoolDiploma",39,"White",480
"249","Northeast","Not Metropolitan",41,"NinthGrade",35,"White",807.69
"250","South","Metropolitan",53,"BachelorsDegree",43,"Black",1615.38
"251","Northeast","Metropolitan",31,"HighSchoolDiploma",39,"White",400
"252","Northeast","Metropolitan",56,"BachelorsDegree",43,"White",1640
"253","Northeast","Not Metropolitan",55,"MastersDegree",44,"White",826.92
"254","West","Metropolitan",40,"MastersDegree",44,"White",1538
"255","Midwest","Not Metropolitan",61,"SomeCollegeButNoDegree",40,"White",400
"256","Northeast","Metropolitan",50,"TenthGrade",36,"Black",1346.15
"257","South","Not Metropolitan",34,"HighSchoolDiploma",39,"White",576.92
"258","Northeast","Metropolitan",48,"MastersDegree",44,"White",1846
"259","Northeast","Metropolitan",69,"HighSchoolDiploma",39,"White",487.6
"260","Northeast","Metropolitan",45,"BachelorsDegree",43,"White",820
"261","Northeast","Metropolitan",55,"BachelorsDegree",43,"White",1538
"262","Northeast","Metropolitan",29,"BachelorsDegree",43,"White",461
"263","South","Metropolitan",33,"HighSchoolDiploma",39,"White",440
"264","South","Metropolitan",57,"SeventhOrEighthGrade",34,"Black",940
"265","Midwest","Metropolitan",39,"HighSchoolDiploma",39,"White",1153.84
"266","Midwest","Not Metropolitan",48,"HighSchoolDiploma",39,"White",1153
"267","South","Metropolitan",34,"HighSchoolDiploma",39,"White",555.2
"268","South","Metropolitan",32,"MastersDegree",44,"White",1153.84
"269","South","Metropolitan",24,"BachelorsDegree",43,"White",961.53
"270","West","Metropolitan",30,"BachelorsDegree",43,"White",1250
"271","South","Metropolitan",40,"BachelorsDegree",43,"White",1538
"272","Northeast","Metropolitan",59,"HighSchoolDiploma",39,"White",504
"273","South","Metropolitan",27,"HighSchoolDiploma",39,"Black",313.5
"274","South","Metropolitan",37,"AssocDegOccupVocat",41,"Black",615.38
"275","South","Metropolitan",60,"AssocDegOccupVocat",41,"White",1500
"276","West","Metropolitan",36,"SomeCollegeButNoDegree",40,"White",940
"277","South","Metropolitan",44,"HighSchoolDiploma",39,"White",538.46
"278","West","Not Metropolitan",41,"HighSchoolDiploma",39,"White",780.44
"279","West","Metropolitan",25,"HighSchoolDiploma",39,"White",437
"280","South","Not Metropolitan",50,"SomeCollegeButNoDegree",40,"White",673.07
"281","West","Metropolitan",35,"BachelorsDegree",43,"White",1153.84
"282","Northeast","Metropolitan",45,"SomeCollegeButNoDegree",40,"White",841
"283","Northeast","Metropolitan",56,"ProfSchoolDegree",45,"White",2884.61
"284","Northeast","Metropolitan",51,"BachelorsDegree",43,"White",2884.61
"285","Northeast","Metropolitan",46,"HighSchoolDiploma",39,"White",807.69
"286","Northeast","Metropolitan",41,"HighSchoolDiploma",39,"White",395.2
"287","South","Metropolitan",26,"AssocDegAcadem",42,"Black",560
"288","Midwest","Metropolitan",41,"FifthorSixthGrade",33,"White",740
"289","South","Metropolitan",63,"BachelorsDegree",43,"White",2884.61
"290","West","Metropolitan",51,"HighSchoolDiploma",39,"White",980.76
"291","Midwest","Metropolitan",48,"HighSchoolDiploma",39,"White",1115.38
"292","Midwest","Metropolitan",45,"BachelorsDegree",43,"White",1500
"293","West","Not Metropolitan",56,"SomeCollegeButNoDegree",40,"White",2884.61
"294","Northeast","Metropolitan",27,"HighSchoolDiploma",39,"White",750
"295","West","Metropolitan",45,"HighSchoolDiploma",39,"White",850
"296","Northeast","Metropolitan",39,"HighSchoolDiploma",39,"White",1200
"297","Northeast","Metropolitan",52,"BachelorsDegree",43,"White",1057
"298","Northeast","Metropolitan",55,"AssocDegOccupVocat",41,"White",1000
"299","South","Metropolitan",44,"BachelorsDegree",43,"White",1442.3
"300","Midwest","Metropolitan",28,"HighSchoolDiploma",39,"White",385
"301","Midwest","Metropolitan",46,"ProfSchoolDegree",45,"White",2576.92
"302","West","Metropolitan",52,"AssocDegOccupVocat",41,"White",1173.07
"303","Midwest","Metropolitan",55,"MastersDegree",44,"White",1384.61
"304","Midwest","Metropolitan",46,"BachelorsDegree",43,"White",2500
"305","South","Metropolitan",49,"HighSchoolDiploma",39,"Black",840
"306","Northeast","Metropolitan",49,"HighSchoolDiploma",39,"White",680
"307","Midwest","Metropolitan",64,"MastersDegree",44,"White",556
"308","South","Metropolitan",39,"HighSchoolDiploma",39,"White",480
"309","West","Not Metropolitan",55,"BachelorsDegree",43,"White",700
"310","Midwest","Metropolitan",40,"BachelorsDegree",43,"White",1153.84
"311","South","Metropolitan",30,"HighSchoolDiploma",39,"White",461.53
"312","Midwest","Metropolitan",39,"HighSchoolDiploma",39,"White",340
"313","Midwest","Metropolitan",33,"SomeCollegeButNoDegree",40,"White",828.5
"314","South","Metropolitan",37,"HighSchoolDiploma",39,"White",429.25
"315","West","Metropolitan",27,"AssocDegAcadem",42,"White",360
"316","West","Metropolitan",40,"FifthorSixthGrade",33,"White",780
"317","South","Not Metropolitan",49,"HighSchoolDiploma",39,"White",538.46
"318","Northeast","Metropolitan",54,"MastersDegree",44,"White",1153.84
"319","West","Metropolitan",26,"HighSchoolDiploma",39,"White",814.15
"320","South","Metropolitan",58,"AssocDegAcadem",42,"White",1230
"321","South","Not Metropolitan",33,"HighSchoolDiploma",39,"White",673.07
"322","Midwest","Metropolitan",32,"HighSchoolDiploma",39,"White",735.52
"323","Midwest","Metropolitan",43,"BachelorsDegree",43,"White",1153.84
"324","West","Metropolitan",23,"BachelorsDegree",43,"Black",2884.61
"325","Northeast","Not Metropolitan",50,"DoctorateDegree",46,"White",2884.61
"326","Northeast","Metropolitan",55,"DoctorateDegree",46,"White",2884.61
"327","West","Not Metropolitan",31,"HighSchoolDiploma",39,"White",855
"328","West","Metropolitan",24,"AssocDegAcadem",42,"White",480
"329","South","Metropolitan",32,"HighSchoolDiploma",39,"White",1100
"330","South","Metropolitan",43,"HighSchoolDiploma",39,"White",2403.84
"331","South","Not Metropolitan",34,"HighSchoolDiploma",39,"White",1300
"332","South","Metropolitan",34,"SomeCollegeButNoDegree",40,"Black",865.38
"333","Midwest","Not Metropolitan",55,"BachelorsDegree",43,"White",1442
"334","West","Metropolitan",32,"DoctorateDegree",46,"White",2115.38
"335","Midwest","Not Metropolitan",77,"MastersDegree",44,"White",716
"336","South","Metropolitan",31,"MastersDegree",44,"White",865.38
"337","Northeast","Metropolitan",24,"HighSchoolDiploma",39,"White",800
"338","Midwest","Metropolitan",26,"HighSchoolDiploma",39,"White",420
"339","Midwest","Metropolitan",28,"SomeCollegeButNoDegree",40,"White",1300
"340","South","Metropolitan",49,"BachelorsDegree",43,"Black",865.38
"341","Midwest","Metropolitan",22,"AssocDegAcadem",42,"White",673.07
"342","South","Metropolitan",28,"DoctorateDegree",46,"White",1192.3
"343","Northeast","Metropolitan",52,"BachelorsDegree",43,"Black",1307.69
"344","Northeast","Metropolitan",55,"NinthGrade",35,"Black",576.92
"345","Northeast","Not Metropolitan",29,"AssocDegAcadem",42,"White",990
"346","Northeast","Not Metropolitan",34,"SomeCollegeButNoDegree",40,"White",250
"347","South","Metropolitan",39,"HighSchoolDiploma",39,"Black",519.23
"348","West","Metropolitan",55,"SeventhOrEighthGrade",34,"White",1200
"349","West","Metropolitan",21,"HighSchoolDiploma",39,"White",730.76
"350","Midwest","Metropolitan",38,"BachelorsDegree",43,"White",1500
"351","Midwest","Metropolitan",32,"SeventhOrEighthGrade",34,"White",1007
"352","West","Metropolitan",46,"SomeCollegeButNoDegree",40,"White",950
"353","South","Metropolitan",48,"SomeCollegeButNoDegree",40,"White",2307.69
"354","Midwest","Metropolitan",43,"BachelorsDegree",43,"White",961.53
"355","South","Metropolitan",25,"FifthorSixthGrade",33,"White",360
"356","South","Metropolitan",52,"BachelorsDegree",43,"White",961.53
"357","Midwest","Metropolitan",55,"BachelorsDegree",43,"White",540
"358","Midwest","Metropolitan",50,"BachelorsDegree",43,"White",807
"359","South","Metropolitan",60,"MastersDegree",44,"White",942.3
"360","West","Not Metropolitan",55,"SomeCollegeButNoDegree",40,"White",850
"361","Midwest","Metropolitan",34,"HighSchoolDiploma",39,"White",810
"362","Northeast","Not Metropolitan",57,"MastersDegree",44,"White",1250
"363","West","Metropolitan",26,"BachelorsDegree",43,"White",646.15
"364","West","Metropolitan",62,"SomeCollegeButNoDegree",40,"White",1057.69
"365","Northeast","Metropolitan",41,"HighSchoolDiploma",39,"White",680
"366","Midwest","Not Metropolitan",55,"AssocDegAcadem",42,"White",555
"367","South","Not Metropolitan",35,"AssocDegOccupVocat",41,"White",1427.75
"368","West","Not Metropolitan",23,"TenthGrade",36,"White",325
"369","Northeast","Metropolitan",35,"HighSchoolDiploma",39,"White",340
"370","South","Metropolitan",66,"SomeCollegeButNoDegree",40,"White",480
"371","Midwest","Not Metropolitan",27,"AssocDegAcadem",42,"White",548
"372","Midwest","Not Metropolitan",35,"HighSchoolDiploma",39,"White",1265.6
"373","Midwest","Metropolitan",49,"HighSchoolDiploma",39,"White",575
"374","South","Metropolitan",29,"SeventhOrEighthGrade",34,"White",250
"375","South","Metropolitan",40,"HighSchoolDiploma",39,"White",500
"376","South","Metropolitan",47,"BachelorsDegree",43,"White",675
"377","West","Metropolitan",51,"DoctorateDegree",46,"White",1538
"378","South","Metropolitan",25,"AssocDegOccupVocat",41,"White",800
"379","South","Not Metropolitan",57,"MastersDegree",44,"White",615.38
"380","West","Metropolitan",37,"AssocDegAcadem",42,"White",1538.46
"381","Midwest","Metropolitan",27,"HighSchoolDiploma",39,"White",500
"382","West","Metropolitan",26,"FifthorSixthGrade",33,"White",320
"383","Midwest","Metropolitan",56,"BachelorsDegree",43,"White",1538
"384","West","Not Metropolitan",27,"AssocDegOccupVocat",41,"White",400
"385","Midwest","Metropolitan",26,"HighSchoolDiploma",39,"White",1000
"386","South","Metropolitan",24,"BachelorsDegree",43,"White",1365.38
"387","Midwest","Metropolitan",61,"BachelorsDegree",43,"Black",1224
"388","Midwest","Metropolitan",25,"BachelorsDegree",43,"White",576
"389","Midwest","Metropolitan",49,"HighSchoolDiploma",39,"White",461.53
"390","Midwest","Metropolitan",47,"HighSchoolDiploma",39,"Black",1212.4
