"","Gender","Family","Height","Father","Mother"
"68","female",19,62.7,73.2,63
"69","male",20,73.2,72.7,69
"70","male",20,73,72.7,69
"71","male",20,72.7,72.7,69
"72","female",20,70,72.7,69
"73","female",20,69,72.7,69
"74","female",20,68.5,72.7,69
"75","female",20,68,72.7,69
"76","female",20,66,72.7,69
"77","male",21,73,72,68
"78","female",21,68.5,72,68
"79","female",21,68,72,68
"80","male",22,73,72,67
"81","male",22,71,72,67
"82","female",22,67,72,67
"83","male",23,74.2,72,65
"84","male",23,70.5,72,65
"85","male",23,69.5,72,65
"86","female",23,66,72,65
"87","female",23,65.5,72,65
"88","female",23,65,72,65
"89","female",23,65,72,65
"90","female",24,65.5,72,65.5
"91","female",25,66,72,64
"92","female",25,63,72,64
"93","male",26,70.5,72,63
"94","male",26,70.5,72,63
"95","male",26,69,72,63
"96","female",26,65,72,63
"97","female",26,63,72,63
"98","male",27,69,72,63
"99","male",27,67,72,63
"100","female",27,63,72,63
"101","male",28,73,72,63
"102","male",28,67,72,63
"103","female",28,70.5,72,63
"104","female",28,70,72,63
"105","female",28,66.5,72,63
"106","female",28,63,72,63
"107","female",29,67.5,72.5,63.5
"108","female",29,67.2,72.5,63.5
"109","female",29,66.7,72.5,63.5
"110","female",30,64,72,62
"111","male",31,71,72.5,62
"112","male",31,70,72.5,62
"113","male",31,70,72.5,62
"114","female",31,66,72.5,62
"115","female",31,65,72.5,62
"116","female",31,65,72.5,62
"117","male",32,74,72,62
"118","male",32,72,72,62
"119","male",32,69,72,62
"120","female",32,67.5,72,62
"121","female",32,63.5,72,62
"122","male",33,72,72,62
"123","male",33,71.5,72,62
"124","male",33,71.5,72,62
"125","male",33,70,72,62
"126","female",33,68,72,62
"127","female",34,65.7,72,61
"128","male",35,78,71,69
"129","male",35,74,71,69
"130","male",35,73,71,69
"131","male",35,72,71,69
"132","female",35,67,71,69
"133","male",36,73.2,71,67
"134","male",36,73,71,67
"135","male",36,69,71,67
"136","female",36,67,71,67
"137","male",37,70,71,66
"138","female",37,67,71,66
"139","female",37,67,71,66
"140","female",37,66.5,71,66
"141","male",38,70,71,66
"142","male",38,69,71,66
"143","male",38,68.5,71,66
"144","female",38,66,71,66
"145","female",38,64.5,71,66
"146","female",38,63,71,66
"147","male",39,71,71,66
"148","female",39,67,71,66
"149","male",40,76,71,66
"150","male",40,72,71,66
"151","male",40,71,71,66
"152","male",40,66,71,66
"153","female",40,66,71,66
"154","male",41,70.5,71.7,65.5
"155","male",42,72,71,65.5
"156","male",42,72,71,65.5
"157","male",42,71,71,65.5
"158","male",42,69,71,65.5
"159","female",42,66,71,65.5
"160","female",42,65,71,65.5
"161","male",43,73,71.5,65.5
"162","female",43,65.2,71.5,65.5
"163","male",44,68.5,71.5,65
"164","male",44,67.7,71.5,65
"165","male",45,68,71,65
"166","male",45,68,71,65
"167","female",45,62,71,65
"168","female",46,68,71,64
"169","female",46,68,71,64
"170","female",46,67.5,71,64
"171","female",46,66.5,71,64
"172","female",46,66.5,71,64
"173","female",46,66,71,64
"174","female",46,65.5,71,64
"175","female",46,65,71,64
"176","male",47,72,71.7,64.5
"177","male",47,71,71.7,64.5
"178","male",47,70.5,71.7,64.5
"179","female",47,67,71.7,64.5
"180","male",48,68,71,64
"181","male",48,68,71,64
"182","male",48,68,71,64
"183","male",49,72,71.5,64.5
"184","male",49,71,71.5,64.5
"185","male",49,70,71.5,64.5
"186","female",49,66,71.5,64.5
"187","female",49,64.5,71.5,64.5
"188","female",49,64.5,71.5,64.5
"189","female",49,62,71.5,64.5
"190","male",50,73,71,64.5
"191","female",50,62,71,64.5
"192","female",51,67.5,71.2,63
"193","female",51,64.5,71.2,63
"194","male",52,71,71,63.5
"195","male",52,67,71,63.5
"196","female",52,66,71,63.5
"197","female",52,65,71,63.5
"198","female",52,63.5,71,63.5
"199","male",53,71,71,63
"200","male",53,70,71,63
"201","male",53,70,71,63
"202","male",53,64,71,63
"203","female",53,65,71,63
"204","female",53,65,71,63
"205","female",53,64,71,63
"206","female",53,63,71,63
"207","female",53,63,71,63
"208","male",54,71,71,63
"209","male",54,71,71,63
"210","male",54,70,71,63
"211","female",54,63.5,71,63
"212","male",55,71,71,62
"213","male",55,70,71,62
"214","female",55,64.5,71,62
"215","female",55,62.5,71,62
"216","female",55,61.5,71,62
"217","male",56,72,71,62
"218","male",56,70.5,71,62
"219","male",56,70.5,71,62
"220","female",56,64.5,71,62
"221","female",56,60,71,62
"222","male",57,70,71,62.5
"223","female",57,64,71,62.5
"224","female",57,64,71,62.5
"225","female",57,64,71,62.5
"226","female",57,62.5,71,62.5
"227","male",58,70.5,71,62
"228","male",58,70,71,62
"229","male",58,69,71,62
"230","male",58,69,71,62
"231","male",58,66,71,62
"232","female",58,64.5,71,62
"233","female",58,64,71,62
"234","female",59,62,71,61
"235","male",60,71.5,71,58
"236","male",60,69,71,58
"237","male",61,71,70,69
"238","male",61,70,70,69
"239","male",61,69,70,69
"240","female",61,69,70,69
"241","male",62,70,70,69
"242","male",62,68.7,70,69
"243","female",62,68,70,69
"244","female",62,66,70,69
"245","female",62,64,70,69
"246","female",62,62,70,69
"247","male",63,75,70,68
"248","male",64,70,70,67
"249","male",64,69,70,67
"250","female",64,66,70,67
"251","female",64,64,70,67
"252","female",64,60,70,67
"253","female",65,67.5,70,67
"254","male",66,73,70,66.5
"255","male",66,72,70,66.5
"256","male",66,72,70,66.5
"257","male",66,66.5,70,66.5
"258","female",66,69.2,70,66.5
"259","female",66,67.2,70,66.5
"260","female",66,66.5,70,66.5
"261","female",66,66,70,66.5
"262","female",66,66,70,66.5
"263","female",66,64.2,70,66.5
"264","female",66,63.7,70,66.5
"265","male",67,72,70.5,65
"266","male",67,70.2,70.5,65
"267","male",67,69,70.5,65
"268","male",67,68.5,70.5,65
"269","female",68,68,70.5,65
"270","female",68,65,70.5,65
"271","female",68,61.5,70.5,65
"272","female",68,61,70.5,65
"273","female",68,61,70.5,65
"274","male",69,73,70,65
"275","male",69,72,70,65
"276","male",69,70.5,70,65
"277","male",69,65,70,65
"278","male",69,65,70,65
"279","female",69,64.5,70,65
"280","female",69,63,70,65
"281","female",69,62,70,65
"282","male",70,67,70,65
"283","male",70,65,70,65
"284","female",70,64.5,70,65
"285","female",70,62.5,70,65
"286","female",70,62.5,70,65
"287","male",71,70,70,65
"288","male",71,70,70,65
"289","female",71,67,70,65
"290","female",71,65,70,65
"291","female",71,65,70,65
"292","female",71,63,70,65
"293","male",72,79,70,65
"294","male",72,75,70,65
"295","male",72,71,70,65
"296","female",72,69,70,65
"297","female",72,67,70,65
"298","female",72,65.7,70,65
"299","female",72,62,70,65
"300","male",73,73,70,65
"301","male",73,72.5,70,65
"302","female",73,65,70,65
"303","male",74,69,70,65
"304","male",74,69,70,65
"305","male",75,72,70,64.7
"306","male",75,70,70,64.7
"307","male",75,68.7,70,64.7
"308","female",75,66.5,70,64.7
"309","female",75,65.5,70,64.7
"310","female",75,64.7,70,64.7
"311","female",75,64.5,70,64.7
"312","male",76,70.7,70,64
"313","male",76,70,70,64
"314","male",76,68,70,64
"315","male",76,67,70,64
"316","male",76,66,70,64
"317","male",76,65,70,64
"318","female",76,67,70,64
"319","male",77,70,70,64
"320","male",77,68,70,64
"321","male",77,66.7,70,64
"322","female",77,65.5,70,64
"323","male",78,72,70,64.2
"324","male",78,70,70,64.2
"325","female",78,62.5,70,64.2
"326","female",78,61.2,70,64.2
"327","female",78,60.1,70,64.2
"328","male",79,74,70.5,64
"329","male",79,69.5,70.5,64
"330","male",79,69,70.5,64
"331","male",79,68,70.5,64
"332","male",79,68,70.5,64
"333","male",79,68,70.5,64
"334","female",79,65.5,70.5,64
"335","female",79,65,70.5,64
"336","female",80,60,70.5,64.5
"337","male",81,68,70,64
"338","female",81,65,70,64
"339","female",81,64,70,64
"340","female",81,62,70,64
"341","male",82,71,70,64
"342","male",82,70,70,64
"343","male",82,70,70,64
"344","male",82,70,70,64
"345","male",82,69.5,70,64
"346","male",82,68.5,70,64
"347","female",82,69,70,64
"348","female",82,65,70,64
"349","female",82,64,70,64
"350","male",83,70,70,63.7
"351","male",83,67,70,63.7
"352","male",83,65.5,70,63.7
"353","female",83,63.7,70,63.7
"354","female",83,63.2,70,63.7
"355","female",83,62.5,70,63.7
"356","female",83,62.2,70,63.7
"357","female",83,61,70,63.7
"358","male",84,70,70.5,63
"359","male",84,68.5,70.5,63
"360","female",84,65.5,70.5,63
"361","female",84,63.5,70.5,63
"362","male",85,72.5,70.5,63
"363","male",85,69,70.5,63
"364","male",85,67,70.5,63
"365","female",85,64.5,70.5,63
"366","female",85,64,70.5,63
"367","male",86,71,70,63.5
"368","male",86,67.5,70,63.5
"369","female",86,67.5,70,63.5
"370","female",86,63.5,70,63.5
"371","male",87,68,70,63
"372","male",87,67,70,63
"373","female",87,63.7,70,63
"374","female",87,62,70,63
"375","male",88,70,70,63
"376","male",88,66.5,70,63
"377","female",88,62,70,63
"378","female",88,61,70,63
"379","male",89,72,70.5,62
"380","male",89,70,70.5,62
"381","male",89,69.5,70.5,62
"382","male",89,69.5,70.5,62
"383","male",89,68,70.5,62
"384","female",89,65,70.5,62
"385","female",89,64,70.5,62
"386","female",89,63,70.5,62
"387","male",90,70.7,70.3,62.7
"388","male",90,69.7,70.3,62.7
"389","male",90,69.2,70.3,62.7
"390","male",90,65.2,70.3,62.7
"391","female",90,64,70.3,62.7
"392","female",90,63.5,70.3,62.7
"393","female",90,63.2,70.3,62.7
"394","male",91,72,70.5,62
"395","male",91,72,70.5,62
"396","female",91,60,70.5,62
"397","male",92,71.2,70,61
"398","male",92,67,70,61
"399","male",93,67,70,60
"400","male",93,64.5,70,60
"401","female",93,65,70,60
"402","female",93,63,70,60
"403","female",94,65,70,60
"404","female",94,65,70,60
"405","male",95,71.5,70,58.5
"406","male",95,64.5,70,58.5
"407","female",95,63,70,58.5
"408","male",96,72,70,58
"409","male",96,66,70,58
"410","female",96,66,70,58
"411","female",96,65,70,58
"412","female",96,63,70,58
"413","male",97,75,69,68.5
"414","male",97,71,69,68.5
"415","male",97,70,69,68.5
"416","female",97,66,69,68.5
"417","female",97,66,69,68.5
"418","female",97,65.5,69,68.5
"419","female",97,65,69,68.5
"420","female",97,65,69,68.5
"421","female",97,64,69,68.5
"422","female",97,64,69,68.5
"423","female",98,64,69,67
"424","male",99,73,69,66
"425","male",99,72,69,66
"426","male",99,71.7,69,66
"427","male",99,71.5,69,66
"428","female",99,65.5,69,66
"429","female",99,65,69,66
"430","female",99,62.7,69,66
"431","female",99,62.5,69,66
"432","male",100,71.2,69,66
"433","male",100,71,69,66
"434","male",100,70,69,66
"435","male",101,75,69,66.7
"436","male",101,74,69,66.7
"437","male",101,72,69,66.7
"438","male",102,70,69,66
"439","male",102,68.5,69,66
"440","male",102,68,69,66
"441","female",102,65,69,66
"442","female",102,63,69,66
"443","female",102,62.5,69,66
"444","male",103,73,69,66.5
"445","male",103,71,69,66.5
"446","male",103,70.5,69,66.5
"447","male",103,70.5,69,66.5
"448","male",103,67,69,66.5
"449","male",103,66,69,66.5
"450","female",103,61,69,66.5
"451","male",104,70.5,69.5,66.5
"452","male",104,67.5,69.5,66.5
"453","female",104,64.5,69.5,66.5
"454","female",104,64,69.5,66.5
"455","male",105,71,69,66.5
"456","female",105,68.5,69,66.5
"457","female",105,67.5,69,66.5
"458","female",105,66,69,66.5
"459","female",105,63,69,66.5
"460","female",105,63,69,66.5
"461","male",106,71,69.5,66
"462","male",106,71,69.5,66
"463","male",106,70.5,69.5,66
"464","male",106,70.5,69.5,66
"465","female",106,66.5,69.5,66
"466","female",106,65.5,69.5,66
"467","female",106,64.5,69.5,66
"468","male",107,73,69,66
"469","male",107,72,69,66
"470","male",107,69,69,66
"471","male",107,69,69,66
"472","female",107,66.5,69,66
"473","female",107,65.5,69,66
"474","female",107,65.5,69,66
"475","female",107,65,69,66
"476","female",107,64,69,66
"477","male",108,70,69,65
"478","male",108,68.5,69,65
"479","male",108,67,69,65
"480","female",108,65,69,65
"481","female",108,64,69,65
"482","female",108,63.5,69,65
"483","female",108,61,69,65
"484","male",109,69.7,69.5,64.5
"485","male",109,68,69.5,64.5
"486","male",109,60,69.5,64.5
"487","female",109,65.2,69.5,64.5
"488","female",109,64.5,69.5,64.5
"489","female",109,63.7,69.5,64.5
"490","female",109,60,69.5,64.5
"491","male",110,71.7,69.2,64
"492","male",110,66.5,69.2,64
"493","female",110,65,69.2,64
"494","female",110,63.5,69.2,64
"495","female",111,65.5,69,63.5
"496","male",112,69,69,63
"497","female",112,67.5,69,63
"498","female",112,63.5,69,63
"499","male",113,72,69,63
"500","male",114,73,69,63
"501","male",114,70,69,63
"502","male",114,70,69,63
"503","male",114,64,69,63
"504","female",114,66,69,63
"505","female",114,62,69,63
"506","male",115,70.5,69,63.5
"507","male",115,67,69,63.5
"508","male",115,66,69,63.5
"509","female",115,65,69,63.5
"510","female",115,63,69,63.5
"511","female",115,62,69,63.5
"512","female",115,61,69,63.5
"513","male",116,70.5,69,63.5
"514","female",116,63.7,69,63.5
"515","female",116,63,69,63.5
"516","female",117,62.5,69.7,62
"517","male",118,73,69.5,62
"518","male",118,72,69.5,62
"519","male",118,69,69.5,62
"520","male",119,73,69,62
"521","male",119,71,69,62
"522","male",119,71,69,62
"523","male",119,69,69,62
"524","female",119,63,69,62
"525","male",120,72,69.5,62
"526","male",120,70,69.5,62
"527","male",120,67.8,69.5,62
"528","female",120,65.2,69.5,62
"529","female",120,64.7,69.5,62
"530","female",120,64.5,69.5,62
"531","female",120,63.5,69.5,62
"532","female",120,63.5,69.5,62
"533","female",120,62.5,69.5,62
"534","female",120,62,69.5,62
"535","female",120,61.5,69.5,62
"536","male",121,71,69,62.5
"537","male",121,70,69,62.5
"538","male",121,70,69,62.5
"539","male",121,69,69,62.5
"540","female",121,63.5,69,62.5
"541","female",121,62.5,69,62.5
"542","female",121,62.5,69,62.5
"543","female",121,62,69,62.5
"544","male",122,72,69,62
"545","male",122,68,69,62
"546","female",122,66,69,62
"547","female",122,66,69,62
"548","male",123,70,69.5,61
"549","male",123,69.5,69.5,61
"550","male",123,69,69.5,61
"551","female",123,63,69.5,61
"552","female",123,62,69.5,61
"553","male",124,68,69,61
"554","male",124,68,69,61
"555","male",124,67.5,69,61
"556","male",124,64,69,61
"557","male",124,63,69,61
"558","male",124,63,69,61
"559","female",124,63.5,69,61
"560","female",124,62,69,61
"561","female",124,62,69,61
"562","male",125,70.5,69,60
"563","female",125,68,69,60
"564","female",125,62.5,69,60
"565","male",126,69,69,60
"566","male",126,66,69,60
"567","female",126,61.7,69,60
"568","female",126,60.5,69,60
"569","male",127,69.5,69,60.5
"570","male",128,71,68.7,70.5
"571","female",128,61.7,68.7,70.5
"572","male",129,73,68.5,67
"573","male",129,71,68.5,67
"574","female",129,67,68.5,67
"575","male",130,70,68.5,66.5
"576","male",130,69,68.5,66.5
"577","male",130,69,68.5,66.5
"578","male",130,68.7,68.5,66.5
"579","male",130,68.5,68.5,66.5
"580","male",130,68.5,68.5,66.5
"581","male",130,68,68.5,66.5
"582","male",130,68,68.5,66.5
"583","male",130,68,68.5,66.5
"584","male",130,66.2,68.5,66.5
"585","female",130,63.2,68.5,66.5
"586","male",131,67.5,68,65
"587","male",131,66,68,65
"588","male",132,66,68,65.5
"589","female",132,64,68,65.5
"590","male",133,71.7,68,65.5
"591","male",133,71.5,68,65.5
"592","male",133,70.7,68,65.5
"593","male",133,65.5,68,65.5
"594","female",133,66.5,68,65.5
"595","female",133,65.2,68,65.5
"596","female",133,61.5,68,65.5
"597","male",134,72,68,65
"598","male",134,72,68,65
"599","female",134,68,68,65
"600","female",134,66,68,65
"601","male",135,69.2,68.5,65
"602","male",135,68,68.5,65
"603","male",135,66,68.5,65
"604","male",135,66,68.5,65
"605","female",135,62,68.5,65
"606","female",135,61.5,68.5,65
"607","female",135,61,68.5,65
"608","female",135,60,68.5,65
"609","male",136,71,68,64
"610","male",136,68,68,64
"611","male",136,68,68,64
"612","male",136,67,68,64
"613","female",136,65,68,64
"614","female",136,64,68,64
"615","female",136,63,68,64
"616","female",136,63,68,64
"617","female",136,62,68,64
"618","female",136,61,68,64
"619","male",137,66,68,64
"620","male",137,63,68,64
"621","female",137,65.5,68,64
"622","female",137,62,68,64
"623","male",138,71.2,68,64
"624","male",138,71.2,68,64
"625","male",138,69,68,64
"626","male",138,68.5,68,64
"627","female",138,62.5,68,64
"628","female",139,62,68,64.5
"629","male",140,69,68,64
"630","male",140,67,68,64
"631","male",140,66,68,64
"632","female",140,66,68,64
"633","female",140,66,68,64
"634","female",140,65,68,64
"635","female",140,65,68,64
"636","female",140,65,68,64
"637","female",140,64,68,64
"638","female",140,63,68,64
"639","male",141,70.5,68,63
"640","male",141,70,68,63
"641","male",141,68,68,63
"642","male",141,66,68,63
"643","male",141,66,68,63
"644","female",141,66,68,63
"645","female",141,62,68,63
"646","female",141,61.5,68,63
"647","male",142,73.5,68.5,63.5
"648","male",142,70,68.5,63.5
"649","male",142,69.5,68.5,63.5
"650","female",142,65.5,68.5,63.5
"651","male",143,67,68,63
"652","male",144,70,68,63
"653","male",144,68,68,63
"654","female",144,64.5,68,63
"655","female",144,64,68,63
"656","male",145,71,68,63
"657","male",145,68,68,63
"658","male",145,66,68,63
"659","male",145,65.5,68,63
"660","male",145,65,68,63
"661","female",145,63,68,63
"662","female",145,62,68,63
"663","female",145,62,68,63
"664","male",146,67,68,63
"665","male",146,67,68,63
"666","male",146,66,68,63
"667","female",146,64,68,63
"668","female",146,63.5,68,63
"669","female",146,61,68,63
"670","male",147,68.2,68.5,63.5
"671","male",148,70,68,63
"672","male",149,70,68.2,63.5
"673","male",149,69,68.2,63.5
"674","male",149,67,68.2,63.5
"675","male",149,65.5,68.2,63.5
"676","female",149,64.5,68.2,63.5
"677","male",150,68.5,68,62.5
"678","male",151,67.7,68.7,62
"679","female",151,61.7,68.7,62
"680","male",152,66.5,68,62.5
"681","male",153,68.5,68,61
"682","male",153,68,68,61
"683","male",153,64,68,61
"684","female",153,63.5,68,61
"685","female",153,63,68,61
"686","male",154,66.7,68,60.2
"687","male",155,64,68,60
"688","female",155,61,68,60
"689","female",155,61,68,60
"690","female",155,60,68,60
"691","female",155,60,68,60
"692","female",155,60,68,60
"693","female",155,56,68,60
"694","male",156,67.5,68,60
"695","male",156,67,68,60
"696","male",156,66.5,68,60
"697","female",156,60,68,60
"698","male",157,69,68.5,59
"699","male",158,68,68,59
"700","male",158,65,68,59
"701","male",158,64.7,68,59
"702","male",158,64,68,59
"703","male",158,64,68,59
"704","male",158,63,68,59
"705","female",158,65,68,59
"706","female",158,65,68,59
"707","female",158,62,68,59
"708","female",158,61,68,59
"709","male",159,72.7,67,66.2
"710","male",159,72.7,67,66.2
"711","male",159,71.5,67,66.2
"712","female",159,65.5,67,66.2
"713","female",159,63.5,67,66.2
"714","male",160,71,67,66.5
"715","male",161,73,67,66
"716","male",161,71,67,66
"717","male",161,70.5,67,66
"718","male",161,70,67,66
"719","male",161,69,67,66
"720","female",161,68,67,66
"721","female",161,65.5,67,66
"722","female",161,62,67,66
"723","male",162,69.7,67,65
"724","male",162,67.5,67,65
"725","female",162,65.5,67,65
"726","female",162,65,67,65
"727","female",162,64.5,67,65
"728","female",162,63.5,67,65
"729","male",163,70,67,65.5
"730","male",163,69,67,65.5
"731","female",163,65.5,67,65.5
"732","female",163,65.5,67,65.5
"733","female",163,63,67,65.5
"734","male",164,70,67,65.5
"735","male",164,67.7,67,65.5
"736","female",164,63,67,65.5
"737","female",164,60,67,65.5
"738","male",165,65,67,65
"739","female",165,62,67,65
"740","female",165,62,67,65
"741","male",166,71,67.5,65
"742","male",166,69,67.5,65
"743","female",166,64,67.5,65
"744","female",166,64,67.5,65
"745","female",166,63,67.5,65
"746","female",166,63,67.5,65
"747","female",166,63,67.5,65
"748","female",166,63,67.5,65
"749","female",166,63,67.5,65
"750","female",166,62.5,67.5,65
"751","female",166,62,67.5,65
"752","male",167,71.5,67,64
"753","male",167,70,67,64
"754","male",167,67,67,64
"755","male",167,67,67,64
"756","male",168,71,67,63.5
"757","male",168,70.2,67,63.5
"758","male",168,69.2,67,63.5
"759","male",168,68.5,67,63.5
"760","male",168,68,67,63.5
"761","male",168,67,67,63.5
"762","male",168,65.5,67,63.5
"763","female",168,63.5,67,63.5
"764","male",169,69,67,63
"765","male",169,68,67,63
"766","female",169,63,67,63
"767","male",170,70,67.5,62
"768","male",170,69.5,67.5,62
"769","male",170,69,67.5,62
"770","male",170,68.5,67.5,62
"771","female",170,66,67.5,62
"772","male",171,67,67,61
"773","male",172,70.5,66,67
"774","male",172,70.5,66,67
"775","male",172,67,66,67
"776","male",172,66,66,67
"777","male",172,66,66,67
"778","female",172,62,66,67
"779","female",172,62,66,67
"780","female",172,61.5,66,67
"781","male",173,72,66,67
"782","male",173,65,66,67
"783","male",173,65,66,67
"784","female",173,67,66,67
"785","female",173,64,66,67
"786","female",173,64,66,67
"787","female",173,62,66,67
"788","female",173,60,66,67
"789","female",173,60,66,67
"790","male",174,66,66,66
"791","male",174,65,66,66
"792","female",174,67,66,66
"793","female",174,66.5,66,66
"794","female",174,65.5,66,66
"795","male",175,72,66,66
"796","male",175,68,66,66
"797","female",175,66,66,66
"798","female",175,65,66,66
"799","female",175,62,66,66
"800","female",175,61,66,66
"801","male",176,68.7,66.5,65
"802","male",176,68.5,66.5,65
"803","male",176,66.5,66.5,65
"804","male",176,64.5,66.5,65
"805","female",176,62.5,66.5,65
"806","female",176,60.5,66.5,65
"807","female",176,60.5,66.5,65
"808","female",176,57.5,66.5,65
"809","male",177,72,66,65.5
"810","male",177,71,66,65.5
"811","male",177,67,66,65.5
"812","female",177,66,66,65.5
"813","female",177,65,66,65.5
"814","male",178,70,66,63
"815","female",179,64.5,66,63.5
"816","female",179,62,66,63.5
"817","male",180,67.2,66.5,63
"818","male",180,67,66.5,63
"819","male",180,65,66.5,63
"820","female",180,65,66.5,63
"821","female",180,65,66.5,63
"822","female",180,63,66.5,63
"823","male",181,70,66.5,62.5
"824","male",181,68,66.5,62.5
"825","female",181,63.5,66.5,62.5
"826","female",181,62.5,66.5,62.5
"827","female",181,62.5,66.5,62.5
"828","female",181,62.5,66.5,62.5
"829","female",181,62.5,66.5,62.5
"830","male",182,70,66,61.5
"831","male",183,68,66,60
"832","male",183,67,66,60
"833","male",183,65,66,60
"834","female",183,60,66,60
"835","male",184,65,66,60
"836","male",185,68,66,59
"837","male",185,67,66,59
"838","male",185,66.5,66,59
"839","male",185,66,66,59
"840","male",185,65.7,66,59
"841","male",185,65.5,66,59
"842","male",185,65,66,59
"843","female",185,65,66,59
"844","female",185,64,66,59
"845","female",185,63,66,59
"846","female",185,62,66,59
"847","female",185,61,66,59
"848","female",185,60,66,59
"849","female",185,58,66,59
"850","female",185,57,66,59
"851","male",186,66.5,65,67
"852","male",186,66,65,67
"853","male",186,66,65,67
"854","female",186,65,65,67
"855","female",187,63,65,67
"856","male",188,63,65,66
"857","female",188,63,65,66
"858","female",188,63,65,66
"859","female",188,60,65,66
"860","male",189,67,65,66
"861","male",189,66,65,66
"862","male",189,65,65,66
"863","female",189,65,65,66
"864","female",189,61,65,66
"865","male",190,69,65,65
"866","male",190,68,65,65
"867","male",190,68,65,65
"868","female",190,65,65,65
"869","female",190,65,65,65
"870","female",190,62,65,65
"871","female",190,62,65,65
"872","female",190,61,65,65
"873","female",190,59,65,65
"874","male",191,70.7,65,65.5
"875","female",191,65.5,65,65.5
"876","male",192,69.2,65,65
"877","male",192,69,65,65
"878","male",192,68,65,65
"879","male",192,67.7,65,65
"880","female",192,64.5,65,65
"881","female",192,60.5,65,65
"882","male",193,67,65,64
"883","male",193,67,65,64
"884","female",193,64,65,64
"885","female",193,64,65,64
"886","female",193,62.5,65,64
"887","female",193,60.5,65,64
"888","male",194,70,65,63
"889","female",194,63,65,63
"890","male",195,66,65,63
"891","male",195,66,65,63
"892","female",195,63,65,63
"893","male",196,71,65.5,63
"894","male",196,71,65.5,63
"895","male",196,69,65.5,63
"896","female",196,63.5,65.5,63
"897","male",197,68,65.5,60
"898","male",197,68,65.5,60
"899","male",197,67,65.5,60
"900","male",197,67,65.5,60
"901","female",197,62,65.5,60
"902","male",198,71.5,64,64
"903","male",198,68,64,64
"904","female",198,65.5,64,64
"905","female",198,64,64,64
"906","female",198,62,64,64
"907","female",198,62,64,64
"908","female",198,61,64,64
"909","male",199,70.5,64,64
"910","male",199,68,64,64
"911","female",199,67,64,64
"912","female",199,65,64,64
"913","female",199,64,64,64
"914","female",199,64,64,64
"915","female",199,60,64,64
"916","male",200,64.5,64,63
"917","male",201,66,64,60
"918","female",201,60,64,60
"919","female",202,68.5,63,63.5
"920","female",202,63,63,63.5
"921","male",203,64,62,66
"922","female",203,62,62,66
"923","female",203,61,62,66
"924","male",204,66.5,62.5,63
"925","female",204,57,62.5,63
"926","male",205,72,68.5,65
"927","male",205,70.5,68.5,65
"928","male",205,68.7,68.5,65
"929","male",205,68.5,68.5,65
"930","male",205,67.7,68.5,65
"931","female",205,64,68.5,65
"932","female",205,63.5,68.5,65
"933","female",205,63,68.5,65
