"","Year","Month","SOI","SST"
"247",1970,7,0.1,19.7
"248",1970,8,2.2,19.3
"249",1970,9,4.5,19.49
"250",1970,10,4.6,20.29
"251",1970,11,5.9,20.32
"252",1970,12,7,21.79
"253",1971,1,5,23.32
"254",1971,2,7.9,24.66
"255",1971,3,7.5,24.91
"256",1971,4,5.1,25.1
"257",1971,5,2.8,22.93
"258",1971,6,1.5,21.86
"259",1971,7,1.2,21.26
"260",1971,8,4,19.86
"261",1971,9,5,19.79
"262",1971,10,5.8,20.07
"263",1971,11,4,21.13
"264",1971,12,3.9,21.96
"265",1972,1,5.2,24.62
"266",1972,2,6.2,26.81
"267",1972,3,4.4,27.31
"268",1972,4,1.7,26.35
"269",1972,5,-1.7,25.51
"270",1972,6,-0.3,24.86
"271",1972,7,-1.9,24.07
"272",1972,8,0.3,23.27
"273",1972,9,-0.1,22.12
"274",1972,10,1.1,22.56
"275",1972,11,2.4,23.4
"276",1972,12,1.1,24.69
"277",1973,1,3.8,26.33
"278",1973,2,1.7,26.5
"279",1973,3,4.5,26.15
"280",1973,4,2.1,24.52
"281",1973,5,2,23.47
"282",1973,6,2.7,21.51
"283",1973,7,1.9,20.75
"284",1973,8,3.6,19.47
"285",1973,9,4.6,19.24
"286",1973,10,4.1,19.68
"287",1973,11,7.8,20.71
"288",1973,12,6.8,21.61
"289",1974,1,8.8,23.32
"290",1974,2,8,24.92
"291",1974,3,7.7,26.04
"292",1974,4,3.7,25.29
"293",1974,5,3,24.42
"294",1974,6,1.5,22.68
"295",1974,7,2.9,21.6
"296",1974,8,2.7,20.47
"297",1974,9,4.4,19.91
"298",1974,10,4.4,20.02
"299",1974,11,2.8,20.95
"300",1974,12,3.8,21.41
"301",1975,1,3.4,23.67
"302",1975,2,5.7,24.9
"303",1975,3,6.1,26.17
"304",1975,4,4.1,25.44
"305",1975,5,2.4,23.36
"306",1975,6,3.1,21.71
"307",1975,7,4.3,20.98
"308",1975,8,4.9,20.05
"309",1975,9,6.2,18.8
"310",1975,10,5.8,19.13
"311",1975,11,5.2,19.61
"312",1975,12,7.3,20.94
"313",1976,1,6.9,23.73
"314",1976,2,7.3,25.63
"315",1976,3,6.4,26.21
"316",1976,4,2.5,25.78
"317",1976,5,1.9,25.33
"318",1976,6,1.2,24.4
"319",1976,7,-0.8,23.46
"320",1976,8,-0.2,22.19
"321",1976,9,0.3,21.67
"322",1976,10,3.5,21.52
"323",1976,11,4.3,22
"324",1976,12,2.8,23.69
"325",1977,1,3.6,25.31
"326",1977,2,6.5,25.97
"327",1977,3,2.2,26.35
"328",1977,4,1.2,25.25
"329",1977,5,0.3,23.95
"330",1977,6,-1,22.82
"331",1977,7,-1.3,21.75
"332",1977,8,-0.2,20.28
"333",1977,9,0.9,19.85
"334",1977,10,0.8,20.98
"335",1977,11,0.7,21.65
"336",1977,12,1.5,22.49
"337",1978,1,3.8,24.33
"338",1978,2,-0.7,25.99
"339",1978,3,2.9,25.54
"340",1978,4,1.4,25.03
"341",1978,5,3.7,23.47
"342",1978,6,1.9,22.09
"343",1978,7,1.8,21.11
"344",1978,8,2,20.03
"345",1978,9,2.5,19.86
"346",1978,10,2,20.35
"347",1978,11,3,21.99
"348",1978,12,3.3,23.3
"349",1979,1,3.6,24.77
"350",1979,2,6,25.7
"351",1979,3,3.4,26.26
"352",1979,4,1.7,25.39
"353",1979,5,2.1,24.13
"354",1979,6,1.9,23.29
"355",1979,7,3.2,22.18
"356",1979,8,0.9,21.2
"357",1979,9,2.6,21.3
"358",1979,10,2.5,21.61
"359",1979,11,2.2,22.2
"360",1979,12,2.1,23.25
"361",1980,1,5.1,24.77
"362",1980,2,4.8,25.77
"363",1980,3,2.4,26.61
"364",1980,4,0.8,25.8
"365",1980,5,1.2,24.54
"366",1980,6,0.7,23.27
"367",1980,7,0.7,21.52
"368",1980,8,1.9,20.77
"369",1980,9,1.5,20.66
"370",1980,10,2.7,20.36
"371",1980,11,2.4,21.56
"372",1980,12,3.3,22.54
"373",1981,1,5,23.48
"374",1981,2,3.9,25.21
"375",1981,3,0.9,26.31
"376",1981,4,1.7,25.03
"377",1981,5,2.7,24.06
"378",1981,6,3,22.75
"379",1981,7,2.3,21.38
"380",1981,8,2.5,20.52
"381",1981,9,3,19.93
"382",1981,10,2,20.55
"383",1981,11,3.3,21.41
"384",1981,12,4.4,23
"385",1982,1,6.6,24.29
"386",1982,2,4.7,25.49
"387",1982,3,4.3,25.21
"388",1982,4,2.1,24.5
"389",1982,5,0.6,23.97
"390",1982,6,-1.2,22.89
"391",1982,7,-2,22.47
"392",1982,8,-2,21.75
"393",1982,9,-0.8,21.8
"394",1982,10,-0.4,22.94
"395",1982,11,-1.8,24.59
"396",1982,12,-0.7,26.13
"397",1983,1,-2.1,27.42
"398",1983,2,-2.5,28.09
"399",1983,3,-1.2,28.68
"400",1983,4,0.3,28.56
"401",1983,5,2.3,28.19
"402",1983,6,0.8,27.44
"403",1983,7,-0.3,25.95
"404",1983,8,1.5,23.78
"405",1983,9,4,22.24
"406",1983,10,3.5,21.86
"407",1983,11,2.8,21.9
"408",1983,12,3.5,23.01
"409",1984,1,4.7,24.18
"410",1984,2,5.8,25.18
"411",1984,3,2.8,26
"412",1984,4,2.6,25.16
"413",1984,5,1.6,23.23
"414",1984,6,0.1,21.96
"415",1984,7,1.1,21.24
"416",1984,8,2,20.17
"417",1984,9,2.6,20.37
"418",1984,10,2.1,20.52
"419",1984,11,3.5,21.5
"420",1984,12,3.2,22.58
"421",1985,1,3.8,23.59
"422",1985,2,6.5,24.87
"423",1985,3,4.6,25.74
"424",1985,4,4.1,24.25
"425",1985,5,2,22.29
"426",1985,6,0,21.75
"427",1985,7,0.6,20.44
"428",1985,8,3,19.29
"429",1985,9,2.4,19.44
"430",1985,10,2,19.9
"431",1985,11,2.7,20.69
"432",1985,12,3.9,22.4
"433",1986,1,6.1,24.61
"434",1986,2,2.3,26.06
"435",1986,3,4.1,25.91
"436",1986,4,2.5,24.58
"437",1986,5,0.8,23.38
"438",1986,6,2.5,21.98
"439",1986,7,1.3,21.12
"440",1986,8,0.5,20.97
"441",1986,9,1.5,20.44
"442",1986,10,3.9,21.07
"443",1986,11,0.8,22.03
"444",1986,12,0.8,23
"445",1987,1,3.1,25.3
"446",1987,2,1.9,27.14
"447",1987,3,0.9,28.01
"448",1987,4,-0.6,27.17
"449",1987,5,-1.1,25.58
"450",1987,6,-1.3,24.06
"451",1987,7,-1.7,22.78
"452",1987,8,-0.5,21.73
"453",1987,9,0.5,21.45
"454",1987,10,2,22.39
"455",1987,11,3,22.63
"456",1987,12,2.6,23.47
"457",1988,1,4.2,24.64
"458",1988,2,3.5,25.74
"459",1988,3,4.4,25.78
"460",1988,4,2.2,24.54
"461",1988,5,2.9,23.6
"462",1988,6,0.9,21.27
"463",1988,7,2.7,20.26
"464",1988,8,4,19.12
"465",1988,9,5.7,19.19
"466",1988,10,5.3,19.5
"467",1988,11,6.1,20.55
"468",1988,12,5.7,21.8
"469",1989,1,7.2,24.09
"470",1989,2,6.5,26.26
"471",1989,3,5.2,26.66
"472",1989,4,4.9,25.63
"473",1989,5,3.5,23.18
"474",1989,6,2.1,22
"475",1989,7,2.4,21.12
"476",1989,8,0.7,20.32
"477",1989,9,3.3,19.87
"478",1989,10,4.1,20.33
"479",1989,11,2.6,21.31
"480",1989,12,2.5,22.19
"481",1990,1,4.2,24.02
"482",1990,2,0.9,25.88
"483",1990,3,2.4,26.16
"484",1990,4,2.3,25.22
"485",1990,5,3.4,24.05
"486",1990,6,1.3,22.68
"487",1990,7,1.8,21
"488",1990,8,0.9,20.25
"489",1990,9,1.1,20.13
"490",1990,10,3.2,20.28
"491",1990,11,2.1,20.84
"492",1990,12,3,22.45
"493",1991,1,5.5,23.86
"494",1991,2,4.7,25.97
"495",1991,3,2,26.51
"496",1991,4,0.8,24.99
"497",1991,5,-0.7,24.37
"498",1991,6,0.5,23.05
"499",1991,7,0.8,22.05
"500",1991,8,0.5,21.08
"501",1991,9,-0.4,20.75
"502",1991,10,0.8,21.13
"503",1991,11,1.8,22.18
"504",1991,12,0.2,23.43
"505",1992,1,-0.9,24.83
"506",1992,2,2.6,26.68
"507",1992,3,-0.5,27.76
"508",1992,4,0.1,27.68
"509",1992,5,1.7,26.31
"510",1992,6,-0.4,23.82
"511",1992,7,-0.3,21.95
"512",1992,8,1.9,20.55
"513",1992,9,2.5,20.06
"514",1992,10,0.1,20.82
"515",1992,11,1.8,21.49
"516",1992,12,2.4,22.48
"517",1993,1,2.7,24.43
"518",1993,2,2.9,26.49
"519",1993,3,2.4,27.17
"520",1993,4,-0.2,26.44
"521",1993,5,0.6,25.15
"522",1993,6,-0.8,23.76
"523",1993,7,-0.7,22.06
"524",1993,8,-0.5,21.05
"525",1993,9,1.1,20.93
"526",1993,10,0.7,20.99
"527",1993,11,2.9,21.64
"528",1993,12,3.8,22.75
"529",1994,1,4.1,24.32
"530",1994,2,4.7,25.79
"531",1994,3,2,25.43
"532",1994,4,-0.4,24.32
"533",1994,5,0,23.22
"534",1994,6,-0.1,22.43
"535",1994,7,-1.7,21.21
"536",1994,8,-1,19.7
"537",1994,9,-0.5,20.16
"538",1994,10,0.6,21.53
"539",1994,11,2,22.41
"540",1994,12,1.2,23.61
"541",1995,1,3.6,25.33
"542",1995,2,4,26.43
"543",1995,3,4.6,26.12
"544",1995,4,0.7,24.47
"545",1995,5,0.5,23.1
"546",1995,6,1,22.45
"547",1995,7,1.6,21.23
"548",1995,8,1.8,20.01
"549",1995,9,2.9,20.17
"550",1995,10,2.7,20.15
"551",1995,11,3.1,21.2
"552",1995,12,2.5,22.02
"553",1996,1,6.2,23.84
"554",1996,2,4.7,25.71
"555",1996,3,5.3,26.09
"556",1996,4,3.4,23.85
"557",1996,5,1.8,22.89
"558",1996,6,2.9,21.56
"559",1996,7,2,20.02
"560",1996,8,2.6,19.53
"561",1996,9,3.5,19.24
"562",1996,10,3.8,19.95
"563",1996,11,2.9,20.26
"564",1996,12,5.1,21.61
"565",1997,1,5.3,23.67
"566",1997,2,7.4,25.74
"567",1997,3,2.4,26.95
"568",1997,4,0.9,26.64
"569",1997,5,-1.2,26.71
"570",1997,6,-1.8,26.27
"571",1997,7,-0.6,25.59
"572",1997,8,-1.4,24.8
"573",1997,9,-0.2,24.4
"574",1997,10,0,24.58
"575",1997,11,0.8,25.63
"576",1997,12,1.7,26.92
"577",1998,1,-0.6,28.22
"578",1998,2,0.5,28.98
"579",1998,3,-1.3,29.15
"580",1998,4,-0.7,28.61
"581",1998,5,1.7,27.69
"582",1998,6,2.5,25.18
"583",1998,7,3,23.43
"584",1998,8,3.4,21.77
"585",1998,9,4.3,20.87
"586",1998,10,4.7,21.16
"587",1998,11,4.9,21.43
"588",1998,12,6,22.56
"589",1999,1,7.7,23.73
"590",1999,2,6,25.64
"591",1999,3,5.6,26.62
"592",1999,4,4.5,24.3
"593",1999,5,1.7,23.46
"594",1999,6,1.2,21.83
"595",1999,7,1.8,20.44
"596",1999,8,1.9,19.75
"597",1999,9,2.3,19.23
"598",1999,10,4.5,20.05
"599",1999,11,4.9,20.51
"600",1999,12,6.1,21.72
"601",2000,1,5.6,23.86
"602",2000,2,7.3,25.71
"603",2000,3,5.7,26.19
"604",2000,4,4.2,25.84
"605",2000,5,1.9,24.1
"606",2000,6,0.4,22.25
"607",2000,7,0.4,20.59
"608",2000,8,2.5,20.1
"609",2000,9,4,19.94
"610",2000,10,4.7,20.37
"611",2000,11,6.4,20.6
"612",2000,12,4.9,22.22
"613",2001,1,6.2,23.88
"614",2001,2,7.3,25.91
"615",2001,3,4.9,27.44
"616",2001,4,2.3,26.69
"617",2001,5,0.3,23.77
"618",2001,6,1.3,21.74
"619",2001,7,0.4,20.88
"620",2001,8,0.4,19.9
"621",2001,9,2.7,19.39
"622",2001,10,2.6,19.52
"623",2001,11,4.3,20.49
"624",2001,12,1.9,21.96
"625",2002,1,5.2,23.64
"626",2002,2,6.2,26.06
"627",2002,3,2.8,27.53
"628",2002,4,1.8,26.53
"629",2002,5,-0.3,24.8
"630",2002,6,0.3,22.67
"631",2002,7,-0.1,21.01
"632",2002,8,-0.6,19.94
"633",2002,9,1.3,19.89
"634",2002,10,2,21.16
"635",2002,11,2.2,22.25
"636",2002,12,1.4,23.44
"637",2003,1,4,24.38
"638",2003,2,3,25.81
"639",2003,3,2.7,25.97
"640",2003,4,1.7,24.44
"641",2003,5,0.7,22.49
"642",2003,6,-0.4,21.58
"643",2003,7,1.4,20.75
"644",2003,8,1.4,20.14
"645",2003,9,2.2,20
"646",2003,10,2.7,20.99
"647",2003,11,2.5,21.92
"648",2003,12,5.5,22.99
"649",2004,1,1.9,24.6
"650",2004,2,6.5,25.81
"651",2004,3,4,25.94
"652",2004,4,0.3,25.32
"653",2004,5,3.1,23.05
"654",2004,6,-0.8,21.6
"655",2004,7,-0.1,20.71
"656",2004,8,0.7,19.62
"657",2004,9,1.8,20.07
"658",2004,10,2.6,20.92
"659",2004,11,1.8,21.96
"660",2004,12,2,22.94
"661",2005,1,5,24.47
"662",2005,2,-1.6,25.49
"663",2005,3,3.8,25.6
"664",2005,4,0.8,24.9
"665",2005,5,-0.2,24.4
"666",2005,6,1.5,22.47
"667",2005,7,1.1,21.18
"668",2005,8,0.6,20.61
"669",2005,9,3.1,19.71
"670",2005,10,4.9,19.72
"671",2005,11,2.7,20.62
"672",2005,12,3.4,22.29
"673",2006,1,7.4,24.33
"674",2006,2,4.5,26.46
"675",2006,3,6.5,26.77
"676",2006,4,3.9,24.15
"677",2006,5,0.3,23.86
"678",2006,6,0.3,22.77
"679",2006,7,-0.3,22.19
"680",2006,8,-0.7,21.59
"681",2006,9,1.3,21.43
"682",2006,10,0.4,22.22
"683",2006,11,3.2,22.69
"684",2006,12,2.9,23.45
"685",2007,1,2.9,24.99
"686",2007,2,4.1,26.24
"687",2007,3,3.6,25.74
"688",2007,4,1.7,24.3
"689",2007,5,1,22.73
"690",2007,6,1.7,21.59
"691",2007,7,0.2,20.27
"692",2007,8,2,19.16
"693",2007,9,2.7,18.57
"694",2007,10,4,18.8
"695",2007,11,4.6,19.49
"696",2007,12,6.5,21.02
"697",2008,1,7.6,23.86
"698",2008,2,9.1,26.32
"699",2008,3,5.9,27.3
"700",2008,4,3.2,25.89
"701",2008,5,1.1,24.41
"702",2008,6,1.8,23.55
"703",2008,7,1.3,22.63
"704",2008,8,3.1,21.79
"705",2008,9,4.7,21.19
"706",2008,10,5.1,20.75
"707",2008,11,5.5,21.44
"708",2008,12,6.1,22.43
"709",2009,1,6.4,24.42
"710",2009,2,7.7,26.03
"711",2009,3,4,26.38
"712",2009,4,3.4,25.96
"713",2009,5,1,24.83
"714",2009,6,0.9,23.73
"715",2009,7,1.2,22.63
"716",2009,8,0.9,21.64
"717",2009,9,3,20.82
"718",2009,10,0.5,20.96
"719",2009,11,1.9,22.11
"720",2009,12,2.1,23.16
"721",2010,1,2.3,24.82
"722",2010,2,1.5,26.08
"723",2010,3,2,26.24
"724",2010,4,4.2,26.05
"725",2010,5,2.9,24.28
"726",2010,6,1.4,22.6
"727",2010,7,4.1,20.08
"728",2010,8,4.6,19.27
"729",2010,9,6.5,18.9
"730",2010,10,5.9,19.06
"731",2010,11,5.4,20.03
"732",2010,12,8.8,21.37
