"","State","Representative","Party","Pro05","Anti05","Pro06","Anti06","Pro07","Anti07","PctPro"
"58","California","Roybal-Allard","D",16,1,12,0,17,3,91.84
"59","California","Waters","D",17,1,12,0,20,0,98
"60","California","Harman","D",14,1,12,0,18,2,93.62
"61","California","Millender-McDonald","D",17,0,11,1,1,2,90.63
"62","California","Richardson","D",NA,NA,NA,NA,3,0,100
"63","California","Napolitano","D",16,2,12,0,18,2,92
"64","California","Sanchez, Linda","D",17,1,12,0,19,1,96
"65","California","Royce","R",4,13,2,10,3,17,18.37
"66","California","Lewis, Jerry","R",1,17,0,12,3,17,8
"67","California","Miller, Gary","R",0,17,0,12,1,19,2.04
"68","California","Baca","D",10,7,9,3,17,3,73.47
"69","California","Calvert","R",2,16,1,11,0,20,6
"70","California","Bono","R",2,16,3,8,6,14,22.45
"71","California","Rohrabacher","R",3,15,2,10,2,18,14
"72","California","Sanchez, Loretta","D",17,0,12,0,18,2,95.92
"73","California","Cox","R",1,13,NA,NA,NA,NA,7.14
"74","California","Campbell","R",0,1,3,9,4,16,21.21
"75","California","Issa","R",1,17,0,12,0,20,2
"76","California","Bilbray","R",NA,NA,0,1,5,15,23.81
"77","California","Cunningham","R",1,14,NA,NA,NA,NA,6.67
"78","California","Filner","D",16,1,11,0,18,2,93.75
"79","California","Hunter","R",1,17,0,12,1,19,4
"80","California","Davis","D",18,0,11,0,19,1,97.96
"81","Colorado","DeGette","D",18,0,12,0,19,1,98
"82","Colorado","Udall, M.","D",18,0,12,0,19,1,98
"83","Colorado","Salazar, J.","D",14,4,7,4,14,6,71.43
"84","Colorado","Musgrave","R",0,18,1,6,1,19,4.44
"85","Colorado","Hefley","R",1,16,0,12,NA,NA,3.45
"86","Colorado","Lamborn","R",NA,NA,NA,NA,1,19,5
"87","Colorado","Tancredo","R",2,15,1,10,2,18,10.42
"88","Colorado","Beauprez","R",0,17,1,11,NA,NA,3.45
"89","Colorado","Perlmutter","D",NA,NA,NA,NA,18,2,90
"90","Colorado","Larson, J.","D",16,1,4,0,18,2,92.68
"91","Colorado","Simmons","R",11,7,10,2,NA,NA,70
"92","Colorado","Courtney","D",NA,NA,NA,NA,19,1,95
"93","Colorado","DeLauro","D",18,0,12,0,17,3,94
"94","Colorado","Shays","R",14,2,11,1,20,0,93.75
"95","Colorado","Johnson, N.","R",10,8,10,2,NA,NA,66.67
"96","Colorado","Murphy, Chris","D",NA,NA,NA,NA,20,0,100
"97","Delaware","Castle","R",12,5,10,2,19,1,83.67
"98","Florida","Miller, J.","R",3,15,1,11,2,18,12
"99","Florida","Boyd","D",14,4,4,8,13,7,62
"100","Florida","Brown, C.","D",17,1,11,1,17,3,90
"101","Florida","Crenshaw","R",2,16,1,11,1,19,8
"102","Florida","Brown-Waite","R",2,16,2,10,4,16,16
"103","Florida","Stearns","R",2,16,1,11,3,17,12
"104","Florida","Mica","R",0,18,0,12,1,19,2
"105","Florida","Keller","R",3,14,2,10,3,17,16.33
"106","Florida","Bilirakis","R",2,16,3,9,3,17,16
"107","Florida","Young, B.","R",4,12,6,6,7,13,35.42
"108","Florida","Davis, Jim","D",16,1,12,0,NA,NA,96.55
"109","Florida","Castor","D",NA,NA,NA,NA,19,1,95
"110","Florida","Putnam","R",2,16,1,11,1,19,8
"111","Florida","Harris","R",3,15,3,8,NA,NA,20.69
"112","Florida","Buchanan","R",NA,NA,NA,NA,5,15,25
"113","Florida","Mack","R",4,14,2,10,1,19,14
"114","Florida","Weldon, D.","R",2,16,0,12,1,19,6
"115","Florida","Foley","R",4,14,7,5,NA,NA,36.67
"116","Florida","Mahoney","D",NA,NA,NA,NA,15,5,75
"117","Florida","Meek, K.","D",16,2,11,1,17,3,88
"118","Florida","Ros-Lehtinen","R",2,16,4,8,6,14,24
"119","Florida","Wexler","D",18,0,12,0,17,3,94
"120","Florida","Wasserman Schultz","D",17,1,12,0,18,2,94
"121","Florida","Diaz-Balart, L.","R",2,16,2,9,4,16,16.33
"122","Florida","Shaw","R",5,13,6,6,NA,NA,36.67
"123","Florida","Klein","D",NA,NA,NA,NA,15,5,75
"124","Florida","Hastings, A.","D",16,1,11,0,18,2,93.75
"125","Florida","Feeney","R",3,14,1,11,1,19,10.2
"126","Florida","Diaz-Balart, M.","R",2,16,2,10,13,7,34
"127","Georgia","Kingston","R",1,17,2,10,0,20,6
"128","Georgia","Bishop, S.","D",8,10,3,7,15,5,54.17
"129","Georgia","Marshall","D",11,7,5,7,11,9,54
"130","Georgia","Johnson, H.","D",NA,NA,NA,NA,19,1,95
"131","Georgia","McKinney","D",18,0,12,0,NA,NA,100
"132","Georgia","Lewis, John","D",17,0,12,0,19,1,97.96
"133","Georgia","Price, T.","R",0,17,1,11,2,18,6.12
"134","Georgia","Linder","R",2,16,0,12,0,20,4
"135","Georgia","Westmoreland","R",0,18,0,12,0,20,0
"136","Georgia","Norwood","R",1,16,1,11,NA,NA,6.9
"137","Georgia","Broun","R",NA,NA,NA,NA,0,7,0
"138","Georgia","Deal","R",0,17,0,12,1,19,2.04
"139","Georgia","Gingrey","R",1,17,0,12,0,20,2
"140","Georgia","Barrow","D",14,4,6,6,13,7,66
"141","Georgia","Scott, D.","D",10,8,9,3,16,4,70
"142","Hawaii","Abercrombie","D",12,6,9,3,14,6,70
"143","Hawaii","Case","D",16,2,12,0,NA,NA,93.33
"144","Hawaii","Hirono","D",NA,NA,NA,NA,18,2,90
"145","Idaho","Otter","R",2,16,1,11,NA,NA,10
"146","Idaho","Sali","R",NA,NA,NA,NA,0,20,0
"147","Idaho","Simpson","R",1,17,0,12,1,19,4
"148","Illinois","Rush","D",13,5,7,3,17,3,77.08
"149","Illinois","Jackson, J.","D",17,1,11,1,19,1,94
"150","Illinois","Lipinski","D",15,3,11,1,18,2,88
"151","Illinois","Gutierrez","D",14,1,12,0,16,4,89.36
"152","Illinois","Emanuel","D",13,1,11,1,18,2,91.3
"153","Illinois","Hyde","R",0,17,1,11,NA,NA,3.45
"154","Illinois","Roskam","R",NA,NA,NA,NA,3,17,15
"155","Illinois","Davis, D.","D",15,3,10,1,19,1,89.8
"156","Illinois","Bean","D",14,4,10,2,17,3,82
"157","Illinois","Schakowsky","D",16,1,12,0,20,0,97.96
"158","Illinois","Kirk","R",7,11,9,2,18,2,69.39
"159","Illinois","Weller","R",0,18,3,9,5,15,16
"160","Illinois","Costello","D",13,5,9,3,15,5,74
"161","Illinois","Biggert","R",0,18,4,8,11,9,30
"162","Illinois","Hastert","R",0,0,0,0,2,17,10.53
"163","Illinois","Johnson, Timothy","R",13,5,10,2,15,5,76
"164","Illinois","Manzullo","R",0,18,0,11,0,20,0
"165","Illinois","Evans","D",16,2,1,0,NA,NA,89.47
"166","Illinois","Hare","D",NA,NA,NA,NA,17,3,85
"167","Illinois","LaHood","R",4,14,3,9,7,13,28
"168","Illinois","Shimkus","R",0,18,0,11,2,18,4.08
"169","Indiana","Visclosky","D",13,5,11,1,17,3,82
"170","Indiana","Chocola","R",1,17,0,12,NA,NA,3.33
"171","Indiana","Donnelly","D",NA,NA,NA,NA,17,3,85
"172","Indiana","Souder","R",0,17,0,12,1,19,2.04
"173","Indiana","Buyer","R",0,18,0,12,1,19,2
"174","Indiana","Burton","R",0,18,0,11,1,19,2.04
"175","Indiana","Pence","R",1,17,0,12,1,19,4
"176","Indiana","Carson, J.","D",16,1,12,0,14,6,85.71
"177","Indiana","Hostettler","R",2,15,0,12,NA,NA,6.9
"178","Indiana","Ellsworth","D",NA,NA,NA,NA,15,5,75
"179","Indiana","Sodrel","R",0,18,1,11,NA,NA,3.33
"180","Indiana","Hill, B.","D",NA,NA,NA,NA,17,3,85
"181","Iowa","Nussle","R",1,17,1,10,NA,NA,6.9
"182","Iowa","Braley","D",NA,NA,NA,NA,17,3,85
"183","Iowa","Leach","R",10,7,5,2,NA,NA,62.5
"184","Iowa","Loebsack","D",NA,NA,NA,NA,18,2,90
"185","Iowa","Boswell","D",9,6,6,6,15,5,63.83
"186","Iowa","Latham","R",1,17,0,12,1,19,4
"187","Iowa","King, S.","R",0,18,0,12,0,20,0
"188","Kansas","Moran, Jerry","R",0,18,1,11,2,18,6
"189","Kansas","Ryun, J.","R",0,18,0,12,NA,NA,0
"190","Kansas","Boyda","D",NA,NA,NA,NA,14,6,70
"191","Kansas","Moore, D.","D",14,4,11,1,17,3,84
"192","Kansas","Tiahrt","R",0,18,0,12,1,19,2
"193","Kentucky","Whitfield","R",1,17,3,9,3,17,14
"194","Kentucky","Lewis, R.","R",0,18,2,10,0,20,4
"195","Kentucky","Northrup","R",0,18,0,12,NA,NA,0
"196","Kentucky","Yarmuth","D",NA,NA,NA,NA,20,0,100
"197","Kentucky","Davis, G.","R",1,17,1,11,0,20,4
"198","Kentucky","Rogers, H.","R",0,18,2,10,1,19,6
"199","Kentucky","Chandler","D",15,3,11,1,20,0,92
"200","Louisiana","Jindal","R",1,17,1,11,1,19,6
"201","Louisiana","Jefferson","D",9,8,6,6,15,5,61.22
"202","Louisiana","Melancon","D",6,12,1,11,11,9,36
"203","Louisiana","McCrery","R",0,18,0,12,0,20,0
"204","Louisiana","Alexander, R.","R",0,18,0,12,2,18,4
"205","Louisiana","Baker","R",0,18,0,12,1,19,2
"206","Louisiana","Boustany","R",1,17,0,12,0,20,2
"207","Maine","Allen, T.,","D",17,1,12,0,20,0,98
"208","Maine","Michaud","D",18,0,9,3,20,0,94
"209","Maryland","Gilchrest","R",9,9,8,4,12,8,58
"210","Maryland","Ruppersberger","D",14,4,11,1,16,4,82
"211","Maryland","Cardin","D",17,0,12,0,NA,NA,100
"212","Maryland","Sarbanes","D",NA,NA,NA,NA,17,3,85
"213","Maryland","Wynn","D",12,6,11,1,20,0,86
"214","Maryland","Hoyer","D",15,3,12,0,18,2,90
"215","Maryland","Bartlett","R",7,11,7,5,9,11,46
"216","Maryland","Cummings","D",15,3,12,0,19,1,92
"217","Maryland","VanHollen","D",18,0,12,0,19,1,98
"218","Massachusetts","Olver","D",17,0,12,0,20,0,100
"219","Massachusetts","Neal","D",16,1,12,0,19,1,95.92
"220","Massachusetts","McGovern","D",18,0,12,0,20,0,100
"221","Massachusetts","Frank, B.","D",17,1,12,0,16,4,90
"222","Massachusetts","Meehan","D",17,1,12,0,12,1,95.35
"223","Massachusetts","Tsongas","D",NA,NA,NA,NA,3,0,100
"224","Massachusetts","Tierney","D",18,0,12,0,20,0,100
"225","Massachusetts","Markey","D",18,0,12,0,19,1,98
"226","Massachusetts","Capuano","D",17,1,12,0,19,1,96
"227","Massachusetts","Lynch","D",17,1,12,0,18,2,94
"228","Massachusetts","Delahunt","D",14,1,11,1,18,2,91.49
"229","Michigan","Stupak","D",14,3,5,0,14,6,78.57
"230","Michigan","Hoekstra","R",1,17,0,12,1,19,4
"231","Michigan","Ehlers","R",9,9,9,3,14,6,64
"232","Michigan","Camp","R",1,17,1,11,0,20,4
"233","Michigan","Kildee","D",16,2,12,0,16,4,88
"234","Michigan","Upton","R",1,17,6,6,7,13,28
"235","Michigan","Schwarz, J.","R",5,12,7,5,NA,NA,41.38
"236","Michigan","Walberg","R",NA,NA,NA,NA,1,19,5
"237","Michigan","Rogers, Michael J.","R",1,17,1,11,1,19,6
"238","Michigan","Knollenberg","R",1,17,0,12,4,16,10
"239","Michigan","Miller, C.","R",2,16,2,10,5,15,18
"240","Michigan","McCotter","R",3,15,2,10,3,17,16
"241","Michigan","Levin, S.","D",16,2,12,0,18,2,92
"242","Michigan","Kilpatrick","D",15,2,12,0,16,4,87.76
"243","Michigan","Conyers","D",16,2,12,0,17,3,90
"244","Michigan","Dingell","D",16,2,12,0,18,2,92
"245","Minnesota","Gutknecht","R",13,5,0,11,NA,NA,44.83
"246","Minnesota","Walz","D",NA,NA,NA,NA,17,3,85
"247","Minnesota","Kline","R",0,18,1,11,0,20,2
"248","Minnesota","Ramstad","R",11,7,10,2,19,1,80
"249","Minnesota","McCollum","D",18,0,12,0,19,1,98
"250","Minnesota","Sabo","D",16,2,11,1,20,0,94
"251","Minnesota","Kennedy, M.","R",2,16,4,8,NA,NA,20
"252","Minnesota","Bachmann","R",NA,NA,NA,NA,0,20,0
"253","Minnesota","Peterson, C.","D",9,9,2,10,12,8,46
"254","Minnesota","Obserstar","D",15,2,8,3,15,5,79.17
"255","Mississippi","Wicker","R",0,18,0,12,1,19,2
"256","Mississippi","Thompson, B.","D",14,4,6,6,17,3,74
"257","Mississippi","Pickering","R",0,18,2,10,1,19,6
"258","Mississippi","Taylor, G.","D",10,8,5,7,16,4,62
"259","Missouri","Clay","D",15,2,11,1,15,5,83.67
"260","Missouri","Akin","R",0,18,1,11,1,19,4
"261","Missouri","Carnahan","D",16,2,12,0,18,2,92
"262","Missouri","Skelton","D",10,8,6,6,14,6,60
"263","Missouri","Cleaver","D",16,2,9,1,17,3,87.5
"264","Missouri","Graves","R",0,18,1,11,1,19,4
"265","Missouri","Blunt","R",1,17,0,10,0,20,2.08
"266","Missouri","Emerson","R",2,16,1,11,3,17,12
"267","Missouri","Hulshof","R",0,18,1,11,1,19,4
"268","Montana","Rehberg","R",2,16,0,12,2,18,8
"269","Nebraska","Fortenberry","R",0,18,3,9,9,11,24
"270","Nebraska","Terry","R",0,18,1,11,3,17,8
"271","Nebraska","Osborne","R",1,17,1,11,NA,NA,6.67
"272","Nebraska","Smith, Adrian","R",NA,NA,NA,NA,1,19,5
"273","Nevada","Berkley","D",18,0,12,0,15,5,90
"274","Nevada","Gibbons","R",0,18,0,11,NA,NA,0
"275","Nevada","Heller","R",NA,NA,NA,NA,3,17,15
"276","Nevada","Porter","R",0,18,1,11,6,14,14
"277","New Hampshire","Bradley","R",8,10,10,2,NA,NA,60
"278","New Hampshire","Shea-Porter","D",NA,NA,NA,NA,18,2,90
"279","New Hampshire","Bass","R",6,12,8,4,NA,NA,46.67
"280","New Hampshire","Hodes","D",NA,NA,NA,NA,20,0,100
"281","New Jersey","Andrews","D",15,0,12,0,20,0,100
"282","New Jersey","LoBiondo","R",14,4,10,2,18,2,84
"283","New Jersey","Saxton","R",13,5,10,2,15,5,76
"284","New Jersey","Smith, C.","R",14,4,11,1,17,3,84
"285","New Jersey","Garrett","R",2,16,3,9,4,16,18
"286","New Jersey","Pallone","D",18,0,12,0,20,0,100
"287","New Jersey","Ferguson","R",3,15,10,2,17,3,60
"288","New Jersey","Pascrell","D",16,2,12,0,20,0,96
"289","New Jersey","Rothman","D",17,0,12,0,18,2,95.92
"290","New Jersey","Payne","D",15,0,11,0,15,5,89.13
"291","New Jersey","Frelinghuysen","R",6,12,8,4,14,6,56
"292","New Jersey","Holt","D",18,0,12,0,20,0,100
"293","New Jersey","Menendez","D",18,0,NA,NA,NA,NA,100
"294","New Jersey","Sires",NA,NA,NA,NA,NA,19,1,95
"295","New Mexico","Wilson, H.","R",4,14,2,10,3,17,18
"296","New Mexico","Pearce","R",0,18,0,12,0,20,0
"297","New Mexico","Udall, T.","D",18,0,12,0,20,0,100
"298","New York","Bishop, T.","D",17,1,11,0,20,0,97.96
"299","New York","Israel","D",17,1,11,1,20,0,96
"300","New York","King, P.","R",2,16,1,10,6,14,18.37
"301","New York","McCarthy","D",17,1,12,0,20,0,98
"302","New York","Ackerman","D",17,1,11,0,17,3,91.84
"303","New York","Meeks, G.","D",13,5,10,2,18,2,82
"304","New York","Crowley","D",18,0,11,1,19,1,96
"305","New York","Nadler","D",17,1,12,0,19,1,96
"306","New York","Weiner","D",16,1,12,0,18,2,93.88
"307","New York","Towns","D",8,7,10,2,18,2,76.6
"308","New York","Owens","D",16,2,12,0,NA,NA,93.33
"309","New York","Clarke","D",NA,NA,NA,NA,16,4,80
"310","New York","Velazquez","D",13,1,11,1,17,3,89.13
"311","New York","Fossella","R",2,16,2,10,6,14,20
"312","New York","Maloney","D",18,0,11,1,20,0,98
"313","New York","Rangel","D",17,1,12,0,18,2,94
"314","New York","Serrano","D",17,1,12,0,17,3,92
"315","New York","Engel","D",17,1,12,0,17,3,92
"316","New York","Lowey","D",17,1,12,0,19,1,96
"317","New York","Kelly","R",3,8,11,1,NA,NA,60.87
"318","New York","Hall, J.","D",NA,NA,NA,NA,19,1,95
"319","New York","Sweeney","R",3,15,5,5,NA,NA,28.57
"320","New York","Gillibrand","D",NA,NA,NA,NA,19,1,95
"321","New York","McNulty","D",17,1,12,0,19,1,96
"322","New York","Hinchey","D",16,1,12,0,19,1,95.92
"323","New York","McHugh","R",3,1,3,9,9,11,41.67
"324","New York","Boehlert","R",14,4,10,2,NA,NA,80
"325","New York","Arcuri","D",NA,NA,NA,NA,18,2,90
"326","New York","Walsh","R",4,14,7,5,9,11,40
"327","New York","Reynolds","R",2,16,1,6,1,19,8.89
"328","New York","Higgins","D",17,1,11,1,19,1,94
"329","New York","Slaughter","D",16,2,11,0,19,1,93.88
"330","New York","Kuhl","R",1,17,4,8,6,14,22
"331","North Carolina","Butterfield","D",16,2,9,3,14,6,78
"332","North Carolina","Etheridge","D",16,2,9,3,17,3,84
"333","North Carolina","Jones, W.","R",9,8,6,6,8,12,46.94
"334","North Carolina","Price, D.","D",17,1,11,1,19,1,94
"335","North Carolina","Foxx","R",2,16,1,10,2,18,10.2
"336","North Carolina","Coble","R",1,16,1,10,1,19,6.25
"337","North Carolina","McIntyre","D",12,5,8,4,15,5,71.43
"338","North Carolina","Hayes","R",0,18,2,10,3,17,10
"339","North Carolina","Myrick","R",1,16,0,11,2,18,6.25
"340","North Carolina","McHenry","R",2,16,0,11,0,20,4.08
"341","North Carolina","Taylor, C.","R",1,16,1,11,NA,NA,6.9
"342","North Carolina","Shuler","D",NA,NA,NA,NA,15,5,75
"343","North Carolina","Watt","D",17,1,11,1,19,1,94
"344","North Carolina","Miller, B.","D",17,1,11,1,18,2,92
"345","North Dakota","Pomeroy","D",10,8,8,4,17,3,70
"346","Ohio","Chabot","R",2,16,1,11,4,16,14
"347","Ohio","Zportman","R",0,10,NA,NA,NA,NA,0
"348","Ohio","Schmidt","R",0,4,1,11,2,18,8.33
"349","Ohio","Turner","R",1,17,1,11,2,18,8
"350","Ohio","Oxley","R",0,17,0,12,NA,NA,0
"351","Ohio","Jordon","R",NA,NA,NA,NA,1,19,5
"352","Ohio","Gillmor","R",1,17,2,10,7,10,21.28
"353","Ohio","Strickland","D",14,3,9,1,NA,NA,85.19
"354","Ohio","Wilson, C.","D",NA,NA,NA,NA,12,NA,100
"355","Ohio","Hobson","R",1,16,0,12,4,16,10.2
"356","Ohio","Boehner","R",0,18,0,12,0,20,0
"357","Ohio","Kaptur","D",16,2,12,0,16,4,88
"358","Ohio","Kucinich","D",18,0,12,0,16,4,92
"359","Ohio","Tubbs Jones, S.","D",15,3,11,1,15,5,82
"360","Ohio","Tiberi","R",1,17,1,11,3,17,10
"361","Ohio","Brown, S.","D",18,0,12,0,NA,NA,100
"362","Ohio","Sutton","D",NA,NA,NA,NA,17,NA,100
"363","Ohio","LaTourette","R",2,15,4,8,8,12,28.57
"364","Ohio","Pryce, D.","R",1,17,3,9,5,15,18
"365","Ohio","Regula","R",0,18,1,11,4,16,10
"366","Ohio","Ryan, T.","D",16,2,11,1,16,4,86
"367","Ohio","Ney","R",2,16,2,10,NA,NA,13.33
"368","Ohio","Space","D",NA,NA,NA,NA,12,NA,100
"369","Oklahoma","Sullivan","R",0,18,2,9,1,19,6.12
"370","Oklahoma","Boren","D",5,13,0,11,3,17,16.33
"371","Oklahoma","Lucas","R",0,17,0,12,0,20,0
"372","Oklahoma","Cole","R",0,18,1,11,0,20,2
"373","Oklahoma","Istook","R",0,17,0,11,NA,NA,0
"374","Oregon","Wu","D",18,0,12,0,20,0,100
"375","Oregon","Walden","R",2,16,2,10,4,16,16
"376","Oregon","Blumenauer","D",18,0,11,1,20,0,98
"377","Oregon","DeFazio","D",18,0,10,2,19,1,94
"378","Oregon","Hooley","D",18,0,11,1,17,3,92
"379","Pennsylvania","Brady, R.","D",13,4,9,3,17,3,79.59
"380","Pennsylvania","Fattah","D",16,1,12,0,18,2,93.88
"381","Pennsylvania","English","R",1,16,3,9,7,13,22.45
"382","Pennsylvania","Hart","R",0,18,3,9,NA,NA,10
"383","Pennsylvania","Altmire","D",NA,NA,NA,NA,16,4,80
"384","Pennsylvania","Peterson, J.","R",0,18,0,12,2,18,4
"385","Pennsylvania","Gerlach","R",10,8,8,3,14,6,65.31
"386","Pennsylvania","Weldon, C.","R",5,12,8,3,NA,NA,46.43
"387","Pennsylvania","Sestak","D",NA,NA,NA,NA,20,0,100
"388","Pennsylvania","Fitzpatrick","R",11,7,11,0,NA,NA,75.86
"389","Pennsylvania","Murphy, P.","D",NA,NA,NA,NA,18,2,90
"390","Pennsylvania","Shuster","R",0,18,1,11,1,19,4
"391","Pennsylvania","Sherwood","R",0,18,1,10,16,4,34.69
"392","Pennsylvania","Kanjorski","D",12,6,8,3,14,6,69.39
"393","Pennsylvania","Murtha","D",10,8,7,5,15,5,64
"394","Pennsylvania","Schwartz, A.","D",17,1,12,0,19,1,96
"395","Pennsylvania","Doyle","D",11,7,9,3,16,4,72
"396","Pennsylvania","Dent","R",0,18,2,10,11,9,26
"397","Pennsylvania","Pitts","R",0,18,1,11,2,18,6
"398","Pennsylvania","Holden","D",10,8,6,6,14,6,60
"399","Pennsylvania","Murphy","R",0,18,2,10,4,16,12
"400","Pennsylvania","Platts","R",6,12,5,7,11,9,44
"401","Rhode Island","Kennedy, P.","D",18,0,4,0,18,2,95.24
"402","Rhode Island","Langevin","D",18,0,12,0,19,1,98
"403","South Carolina","Brown, H.","R",1,17,1,11,1,19,6
"404","South Carolina","Wilson, J.","R",0,18,0,11,0,20,0
"405","South Carolina","Barrett","R",1,17,1,11,1,19,6
"406","South Carolina","Inglis","R",5,13,5,7,5,15,30
"407","South Carolina","Spratt","D",16,2,11,1,17,3,88
"408","South Carolina","Clyburn","D",14,3,12,0,16,4,85.71
"409","South Dakota","Herseth","D",10,8,6,6,14,6,60
"410","Tennessee","Jenkins","R",1,17,2,10,NA,NA,10
"411","Tennessee","Davis, David","R",NA,NA,NA,NA,2,NA,100
"412","Tennessee","Duncan","R",0,18,1,10,2,18,6.12
"413","Tennessee","Wamp","R",2,16,0,12,2,18,8
"414","Tennessee","Davis, L.","D",6,12,5,7,15,5,52
"415","Tennessee","Cooper","D",12,6,12,0,16,4,80
"416","Tennessee","Gordon","D",11,7,9,3,16,4,72
"417","Tennessee","Blackburn","R",1,17,0,11,1,19,4.08
"418","Tennessee","Tanner","D",9,9,5,7,14,6,56
"419","Tennessee","Ford","D",12,5,8,2,NA,NA,74.07
"420","Tennessee","Cohen","D",NA,NA,NA,NA,19,NA,100
"421","Texas","Gohmert","R",1,17,0,11,0,20,2.04
"422","Texas","Poe","R",1,17,2,10,1,19,8
"423","Texas","Johnson, S.","R",0,17,0,11,1,19,2.08
"424","Texas","Hall, R.","R",0,17,0,12,0,20,0
"425","Texas","Hensarling","R",1,17,1,11,3,17,10
"426","Texas","Barton","R",0,18,1,9,0,20,2.08
"427","Texas","Culbertson","R",0,17,1,11,0,20,2.04
"428","Texas","Brady, K.","R",0,18,1,11,0,20,2
"429","Texas","Green, A.","D",10,8,8,4,17,3,70
"430","Texas","McCaul","R",0,18,2,10,2,18,8
"431","Texas","Conaway","R",0,17,0,12,0,20,0
"432","Texas","Granger","R",0,18,0,12,0,20,0
"433","Texas","Thornberry","R",0,18,0,12,0,20,0
"434","Texas","Paul","R",8,7,3,9,3,17,29.79
"435","Texas","Hinojusa","D",6,12,5,7,11,9,44
"436","Texas","Reyes","D",7,10,4,7,14,6,52.08
"437","Texas","Edwards","D",7,11,2,10,12,8,42
"438","Texas","Jackson-Lee, S.","D",11,6,9,3,18,2,77.55
"439","Texas","Neugebauer","R",0,18,0,12,0,20,0
"440","Texas","Gonzalez","D",11,7,8,3,17,3,73.47
"441","Texas","Smith, L.","R",0,18,2,10,0,20,4
"442","Texas","DeLay","R",1,17,1,8,NA,NA,7.41
"443","Texas","Lampson","D",NA,NA,NA,NA,10,10,50
"444","Texas","Bonilla","R",0,18,0,12,NA,NA,0
"445","Texas","Rodriguez","D",NA,NA,NA,NA,16,4,80
"446","Texas","Marchant","R",0,18,1,12,1,19,3.92
"447","Texas","Doggett","D",17,0,12,0,18,2,95.92
"448","Texas","Burgess","R",0,18,1,12,0,20,1.96
"449","Texas","Ortiz","D",6,12,4,8,7,13,34
"450","Texas","Cuellar","D",6,12,1,11,13,7,40
