"","Subject","Arith","Word","Parag","Math","AFQT","Income2005"
"164",414,18,32,11,19,73.351,21000
"165",418,20,26,12,10,60.767,28000
"166",422,30,35,14,25,99.379,55000
"167",426,16,30,8,7,27.838,82000
"168",433,4,11,7,3,1.622,21528
"169",434,16,29,14,11,65.734,59000
"170",437,19,29,15,17,71.472,22000
"171",438,28,29,12,22,79.95,36000
"172",439,24,31,14,20,75.485,77000
"173",442,13,32,14,15,64.195,15000
"174",443,30,34,14,23,97.365,47000
"175",444,17,33,15,18,80.238,1500
"176",445,20,32,14,21,93.639,40000
"177",446,11,25,11,8,25.328,32000
"178",449,19,30,13,9,47.638,14000
"179",453,27,29,13,16,72.199,40300
"180",456,19,32,11,18,48.986,50000
"181",457,24,31,14,21,78.555,53000
"182",458,28,33,13,18,86.548,65000
"183",459,30,29,12,25,85.905,10000
"184",460,9,28,10,12,31.254,21400
"185",461,29,32,14,22,90.491,85000
"186",464,25,30,15,22,79.33,78000
"187",465,29,30,12,25,85.844,12000
"188",467,28,33,15,24,95.508,20000
"189",470,11,8,7,6,11.35,46000
"190",479,19,30,15,11,76.189,86000
"191",480,20,29,13,14,51.896,60000
"192",481,30,35,13,25,93.653,388725
"193",482,28,34,11,23,77.991,122000
"194",484,12,18,7,6,13.303,30000
"195",485,9,18,7,7,8.229,12000
"196",486,15,22,13,11,50.498,196424
"197",489,29,29,9,18,59.586,85000
"198",491,14,13,4,7,13.761,20000
"199",495,21,33,14,11,69.07,29821
"200",496,28,34,14,19,92.866,25000
"201",499,12,27,10,14,39.163,36000
"202",500,18,29,12,16,64.295,53000
"203",501,20,35,15,10,78.966,25000
"204",502,26,29,13,17,71.792,90000
"205",503,14,23,15,15,56.773,23000
"206",505,14,25,7,9,26.498,28000
"207",506,14,28,12,10,43.741,43000
"208",520,11,23,8,15,26.381,73000
"209",521,14,23,12,18,37.473,80000
"210",527,21,34,14,10,61.184,50000
"211",533,16,30,15,7,55.185,5000
"212",535,11,23,10,6,33.208,20000
"213",540,12,15,8,5,16.138,60000
"214",543,9,28,7,7,21.108,98000
"215",547,18,25,13,12,45.744,69000
"216",548,22,31,12,15,72.071,15000
"217",550,25,35,13,19,81.039,22000
"218",553,30,35,14,24,99.154,10000
"219",554,25,29,14,23,91.427,1100
"220",556,27,34,13,25,86.423,147000
"221",557,30,35,14,25,99.324,1200
"222",558,23,31,13,23,83.317,36000
"223",560,17,31,13,14,62.344,78500
"224",561,19,35,13,19,76.633,42000
"225",562,21,29,12,16,64.432,55000
"226",564,14,32,10,11,33.668,5000
"227",565,11,27,14,8,35.041,55000
"228",583,27,32,13,21,73.326,36000
"229",585,10,21,9,11,25.699,25000
"230",594,17,24,13,9,53.342,80000
"231",597,3,11,5,6,2.826,500
"232",604,16,29,13,13,62.762,40000
"233",606,15,31,13,13,72.782,35000
"234",608,23,33,15,24,88.693,27000
"235",609,10,31,13,8,45.803,32000
"236",612,15,32,13,15,48.877,46136
"237",613,18,21,8,10,35.747,95000
"238",616,9,8,5,8,9.141,25000
"239",622,16,21,13,14,52.674,36500
"240",631,12,20,10,11,22.379,18000
"241",632,7,13,5,2,1.31,4000
"242",636,8,27,13,8,34.526,40000
"243",639,13,28,13,15,60.396,35000
"244",640,19,29,14,20,77.715,42000
"245",645,28,31,13,25,86.137,163172
"246",646,5,11,2,6,1.79,12500
"247",647,17,32,9,15,43.472,61000
"248",649,28,35,12,21,85.54,110000
"249",650,22,34,13,21,77.736,58000
"250",653,30,33,14,22,90.095,96000
"251",659,25,19,10,15,39.786,75000
"252",662,20,28,12,20,70.5,22000
"253",663,18,33,12,19,76.234,85000
"254",664,17,29,12,12,47.912,43000
"255",665,15,28,11,19,59.991,30000
"256",667,21,29,10,23,70.912,58000
"257",669,26,30,14,17,79.232,29000
"258",671,24,29,13,21,79.303,10000
"259",674,6,11,5,5,2.926,50000
"260",675,10,6,3,3,3.663,8400
"261",679,13,12,5,5,8.563,20000
"262",681,8,9,6,7,6.381,5000
"263",683,6,26,14,14,45.808,52000
"264",684,16,18,9,11,29.001,72000
"265",686,20,34,12,19,79.313,57000
"266",688,13,27,12,7,41.58,23000
"267",692,14,23,8,9,36.055,45000
"268",697,12,26,7,7,14.729,50000
"269",701,4,21,8,4,10.566,9800
"270",703,18,26,10,9,40.97,3000
"271",704,19,27,12,14,46.092,56000
"272",707,11,30,8,7,31.469,48000
"273",709,10,25,10,8,26.594,41167
"274",711,22,16,7,18,38.582,40000
"275",712,30,30,14,19,80.637,41000
"276",713,11,17,6,8,14.274,11000
"277",714,14,19,5,9,26.688,20000
"278",717,10,26,8,9,30.429,40000
"279",719,8,15,5,7,6.818,48000
"280",720,18,20,12,9,36.158,35000
"281",721,13,21,5,9,24.725,22000
"282",722,20,27,13,9,38.013,57500
"283",723,12,24,11,6,26.792,25000
"284",724,16,34,15,21,78.513,20000
"285",725,29,33,14,25,97.319,74000
"286",728,6,19,7,4,20.133,30000
"287",730,22,28,15,12,70.604,100000
"288",731,24,28,11,12,46.018,40000
"289",732,19,29,13,9,51.017,35000
"290",733,15,18,10,3,27.489,28820
"291",745,16,22,11,12,31.508,41000
"292",746,24,27,13,19,65.278,35500
"293",747,24,25,12,21,70.368,50300
"294",748,12,24,12,8,23.929,34000
"295",751,7,21,10,11,28.746,55000
"296",752,28,31,14,20,80.463,120000
"297",755,20,26,14,8,54.906,37000
"298",756,11,17,9,6,20.084,26000
"299",757,15,21,9,10,31.118,35000
"300",758,10,12,7,7,11.905,20000
"301",761,15,34,13,8,55.614,25000
"302",762,15,22,14,12,48.786,12000
"303",763,19,21,13,7,34.18,23000
"304",764,12,18,11,8,31.809,21000
"305",769,12,33,8,12,34.236,3000
"306",772,20,29,12,12,52.482,74000
"307",774,11,33,14,10,53.534,35000
"308",776,28,34,14,25,97.088,115000
"309",777,24,28,13,22,79.85,85000
"310",778,22,33,14,18,89.794,30000
"311",779,14,26,11,17,60.353,26000
"312",784,20,24,7,12,49.537,30000
"313",789,14,23,14,9,42.361,15000
"314",792,13,20,10,11,28.537,30000
"315",793,23,34,11,19,61.347,30000
"316",796,28,35,15,19,94.119,58000
"317",797,19,32,13,12,68.375,72000
"318",799,12,26,11,6,34.051,53000
"319",800,11,28,11,7,32.078,54000
"320",801,13,29,8,6,25.324,19327
"321",802,11,23,9,6,17.362,30000
"322",804,14,21,11,9,40.982,16000
"323",806,11,16,7,6,13.465,35000
"324",807,24,25,13,23,76.332,70000
"325",810,25,34,15,22,91.719,115000
"326",811,22,30,14,16,63.642,16000
"327",812,29,25,15,24,86.99,10500
"328",813,29,33,13,24,85.915,33000
"329",814,9,28,11,6,19.541,16000
"330",815,27,25,13,20,66.54,23400
"331",816,9,30,15,7,39.343,29000
"332",817,20,31,13,17,81.325,117000
"333",818,22,16,11,10,35.569,85000
"334",820,18,23,13,14,49.039,85000
"335",821,30,35,14,24,99.18,34000
"336",825,25,35,14,22,89.264,73000
"337",827,28,34,14,20,92.042,169541
"338",829,16,29,12,13,38.888,66000
"339",832,12,22,10,11,38.997,20000
"340",835,10,19,10,8,25.338,25000
"341",839,4,15,7,4,4.208,30000
"342",843,14,25,11,7,34.453,3000
"343",847,15,24,11,7,22.976,67500
"344",849,15,24,9,13,36.881,20000
"345",850,27,31,13,23,82.62,85000
"346",851,21,28,12,17,55.782,48000
"347",854,12,32,11,11,50.954,22000
"348",856,26,32,13,19,83.737,25000
"349",859,6,29,10,6,23.25,46000
"350",860,23,29,13,18,69.283,37500
"351",861,15,31,11,9,49.173,29000
"352",862,22,30,11,9,41.383,25000
"353",863,23,19,10,11,38.088,125000
"354",866,11,22,9,7,27.315,36000
"355",872,24,35,10,21,71.872,176354
"356",874,27,33,15,22,94.976,90000
"357",875,12,30,11,4,25.657,40000
"358",878,20,30,10,16,68.575,50000
"359",879,18,28,14,18,79.765,52900
"360",881,25,33,14,18,80.898,8000
"361",882,18,28,12,17,64.498,42000
"362",883,21,28,12,14,75.516,30000
"363",884,29,35,15,22,98.089,52000
"364",885,27,35,11,21,81.33,37000
"365",888,9,26,10,10,21.826,50000
"366",889,18,29,13,12,45.056,24000
"367",890,29,31,13,25,82.756,183306
"368",891,26,25,9,15,42.935,36000
"369",896,30,34,14,25,98.804,15000
"370",898,24,27,12,24,79.576,40000
"371",899,29,35,12,19,83.208,31000
"372",902,25,29,14,19,82.49,64320
"373",906,26,34,14,22,93.511,90000
"374",907,27,35,13,25,93.432,7000
"375",908,22,31,14,19,82.465,37000
"376",909,13,27,12,17,61.363,31330
"377",912,29,34,13,24,91.404,34000
"378",914,21,35,12,17,75.363,71500
"379",915,28,33,13,22,92.122,57000
"380",916,27,33,13,23,82.189,20000
"381",920,27,33,12,24,86.877,120000
"382",921,9,15,2,6,7.983,65000
"383",922,17,28,14,15,55.885,90000
"384",929,21,28,14,13,75.258,42000
"385",932,6,23,13,7,26.769,30000
"386",935,14,25,13,11,34.62,9800
"387",936,15,26,14,18,58.404,15000
"388",937,22,29,14,21,84.974,75000
"389",938,11,23,9,7,21.712,38500
"390",941,16,28,11,18,44.224,80000
"391",942,20,24,13,15,55.978,43000
"392",944,30,35,14,24,97.299,54000
"393",945,17,28,14,13,51.523,37300
"394",947,27,33,13,22,77.263,64000
"395",949,16,26,12,19,64.067,70000
"396",950,24,33,14,22,91.63,30000
"397",951,11,24,12,16,52.109,72000
"398",952,24,19,12,20,63.71,23600
"399",955,18,31,10,14,45.546,40000
"400",956,14,25,13,10,55.543,15000
"401",958,24,29,7,9,41.439,35000
"402",959,30,32,15,24,96.442,170247
"403",960,28,32,15,20,88.979,150000
"404",961,25,32,15,21,88.914,140000
"405",962,18,34,13,12,67.25,45500
"406",963,14,30,11,13,51.978,65000
"407",964,14,19,8,7,28.308,48000
"408",966,10,18,7,9,18.824,44000
"409",967,12,13,4,11,17.834,56000
"410",968,23,23,11,11,43.365,65000
"411",969,19,31,13,9,44.379,31000
"412",970,21,32,12,10,57.553,110000
"413",971,14,31,10,14,53.275,3000
"414",972,15,30,12,11,57.315,38000
"415",973,23,26,11,19,65.073,42000
"416",974,19,32,11,21,66.668,55000
"417",976,27,33,11,21,62.466,51000
"418",990,25,30,10,17,60.136,39000
"419",996,12,24,8,11,30.891,60000
"420",997,18,31,14,13,78.723,46000
"421",999,20,25,13,17,67.602,27000
"422",1003,16,30,11,15,61.145,70000
"423",1004,11,19,8,12,27.973,56000
"424",1007,23,32,12,11,47.45,125000
"425",1011,23,19,5,11,34.339,45000
"426",1013,25,29,15,24,91.199,25000
"427",1019,29,33,15,25,100,29000
"428",1020,30,34,14,25,98.236,84000
"429",1029,12,14,9,9,26.365,17000
"430",1034,12,10,6,7,12.727,23000
"431",1038,19,25,11,21,64.065,24000
"432",1039,21,29,13,22,71.23,44000
"433",1042,15,25,8,11,28.954,26000
"434",1043,7,9,5,5,3.732,16000
"435",1044,7,9,4,7,4.871,25000
"436",1046,19,27,14,14,70.337,63
"437",1048,4,17,5,5,3.156,13000
"438",1049,28,30,15,17,84.635,51000
"439",1051,29,34,11,25,87.785,67000
"440",1052,27,31,14,24,89.341,183467
"441",1053,22,26,13,17,73.413,394058
"442",1056,6,17,11,8,15.555,24000
"443",1058,11,25,10,7,34.012,47000
"444",1060,15,30,10,8,33.045,12000
"445",1062,29,26,14,15,58.977,115000
"446",1063,19,29,12,6,45.58,20518
"447",1065,21,31,14,22,70.03,20160
"448",1068,7,7,2,6,0.958,12000
"449",1071,9,8,10,5,8.758,12649
"450",1072,14,19,9,15,35.78,65000
"451",1076,8,21,7,11,43.456,40000
"452",1078,20,35,15,22,88.023,61000
"453",1080,19,23,13,19,68.497,7500
"454",1081,19,30,14,21,76.163,38262
"455",1082,25,31,9,22,71.597,70000
"456",1085,16,34,13,10,65.317,36000
"457",1086,15,35,14,16,77.119,67500
"458",1089,4,12,5,4,1.672,35000
"459",1090,3,20,7,7,12.621,1300
"460",1091,13,33,13,9,51.083,24000
"461",1092,13,33,12,15,59.139,15000
"462",1093,16,32,12,10,50.614,35000
"463",1096,19,14,1,9,15.428,48000
"464",1097,28,34,14,24,97.926,59000
"465",1098,30,34,15,24,98.356,108000
"466",1101,28,32,15,20,89.998,50000
"467",1102,12,33,13,11,44.711,429
"468",1104,23,30,13,16,55.829,90000
"469",1105,21,31,12,16,65.903,61000
"470",1106,20,35,13,19,87.203,35000
"471",1111,20,26,13,12,44.401,44000
"472",1114,16,24,9,8,31.751,50000
"473",1116,12,23,10,11,31.89,30000
"474",1118,10,22,10,7,22.955,80000
"475",1122,29,35,15,25,99.147,37000
"476",1130,13,34,13,6,50.405,5000
"477",1134,19,33,10,16,65.998,53000
"478",1138,26,31,12,13,58.192,58000
"479",1139,17,34,13,17,72.569,60000
"480",1141,6,27,11,4,17.614,30000
"481",1143,25,28,15,23,83.528,180124
"482",1144,26,27,14,22,79.836,248713
"483",1147,21,27,13,15,58.247,6500
"484",1148,3,16,5,5,2.509,31000
"485",1153,7,17,3,4,4.843,2300
"486",1155,10,17,9,11,25.334,52000
"487",1156,20,27,13,12,39.245,25000
"488",1157,22,30,13,16,70.82,63000
"489",1158,12,20,6,13,27.018,31000
"490",1159,16,19,12,15,45.679,30000
"491",1160,8,22,9,14,34.867,20000
"492",1163,11,20,10,11,20.274,25000
"493",1166,10,29,12,15,42.776,20609
"494",1169,23,32,11,14,53.364,130000
"495",1176,14,24,13,14,62.064,77000
"496",1179,22,29,13,16,74.366,35000
"497",1181,21,32,13,13,64.846,150000
"498",1182,27,33,15,21,91.545,48000
"499",1184,29,35,13,20,90.731,95000
"500",1185,30,34,15,25,100,268384
"501",1186,25,27,6,21,58.93,140000
"502",1187,25,33,14,23,86.394,39000
"503",1188,27,28,13,19,79.064,130000
"504",1200,13,31,11,15,49.449,9000
"505",1208,26,34,14,22,82.941,120000
"506",1221,3,4,4,4,0.899,16200
"507",1222,7,11,3,8,7.51,38000
"508",1223,8,8,2,5,1.552,15000
"509",1224,12,19,10,6,15.04,12000
"510",1233,12,29,12,9,36.925,42000
"511",1237,14,24,9,9,29.091,24000
"512",1238,20,34,11,13,54.782,62000
"513",1240,26,32,11,16,70.563,52000
"514",1247,10,18,6,2,12.838,8000
"515",1249,23,35,14,7,64.562,80000
"516",1250,15,27,12,14,31.365,17000
"517",1251,11,23,12,9,36.464,31000
"518",1252,20,26,14,18,54.28,16000
"519",1253,19,16,13,12,52.948,21600
"520",1255,28,32,15,19,93.903,87000
"521",1256,11,19,7,7,17.735,50000
"522",1257,16,20,7,10,34.121,23000
"523",1258,26,30,11,19,62.762,3000
"524",1260,9,15,5,8,10.889,35000
"525",1261,21,30,14,21,66.079,50000
"526",1268,28,35,15,24,98.102,90000
"527",1272,22,18,9,11,37.465,39000
"528",1273,26,30,11,14,68.375,24000
"529",1276,21,32,15,18,92.033,46000
"530",1279,24,35,13,22,81.419,24000
"531",1286,7,22,5,1,6.841,32000
"532",1287,9,16,4,8,7.088,50000
"533",1288,10,11,9,7,10.393,21000
"534",1290,13,26,13,13,38.983,36000
"535",1291,9,20,4,2,8.107,16000
"536",1293,13,21,11,17,35.191,36000
"537",1294,22,25,9,11,51.781,209138
"538",1301,14,27,9,8,27.851,25000
"539",1311,22,27,11,12,46.54,130000
"540",1312,14,31,13,6,41.138,18000
"541",1315,16,29,13,12,70.51,257286
"542",1318,21,12,8,6,22.661,37000
"543",1319,5,11,5,8,6.629,43000
"544",1320,30,35,15,24,100,78000
"545",1321,23,21,14,9,51.798,56000
"546",1323,26,30,13,22,85.328,42000
"547",1325,24,33,14,19,82.181,80000
"548",1327,16,32,12,13,59.279,53000
"549",1338,19,30,14,12,66.383,42000
"550",1344,19,28,14,18,67.442,72000
"551",1347,17,27,12,12,50.056,157280
"552",1351,12,25,6,15,54.619,13000
"553",1353,13,29,11,12,50.963,20000
"554",1357,9,10,5,6,5.401,38000
"555",1359,20,25,15,13,61.346,40000
"556",1360,14,25,13,6,28.956,27000
"557",1362,29,34,14,25,96.033,70000
"558",1366,14,31,10,14,36.305,29800
"559",1367,26,35,13,21,85.66,16000
"560",1368,30,34,14,25,96.899,39000
"561",1374,15,29,13,18,69.216,15700
"562",1383,4,9,4,7,2.991,80000
"563",1384,9,17,8,7,13.4,26000
"564",1385,16,22,10,10,44.576,34000
"565",1386,10,21,9,9,24.991,52000
"566",1393,20,33,13,19,66.493,79000
"567",1394,21,29,15,10,67.269,62000
"568",1395,12,31,8,10,45.317,63000
"569",1397,15,29,10,11,26.78,45000
"570",1399,20,30,14,15,74.636,45000
"571",1411,15,32,10,12,45.789,16000
"572",1413,7,11,6,5,1.65,19000
"573",1416,10,13,11,8,20.731,12000
"574",1417,11,18,9,6,24.893,31000
"575",1418,17,23,10,13,61.57,41000
"576",1419,9,7,5,6,4.111,22000
"577",1425,25,27,13,18,77.186,38000
"578",1426,15,29,12,12,54.506,38685
"579",1429,21,34,14,21,82.219,30000
"580",1432,8,20,10,7,18.811,42000
"581",1433,15,21,8,16,36.667,50000
"582",1434,10,6,2,4,1.985,31980
"583",1436,9,10,5,8,8.681,10000
"584",1438,9,9,5,5,4.199,27000
"585",1440,8,15,7,7,10.283,22000
"586",1455,8,15,10,9,14.511,25000
"587",1459,23,28,14,20,85.258,40000
"588",1462,17,32,11,11,33.171,28600
"589",1468,15,28,13,7,36.634,29000
"590",1470,16,32,13,13,64.514,35000
"591",1471,16,20,6,6,15.586,50000
"592",1477,23,27,12,16,48.936,70000
"593",1479,29,33,15,22,97.372,100000
"594",1481,25,27,9,19,49.641,71000
"595",1484,8,9,4,5,2.513,40000
"596",1487,16,23,12,9,42.852,45000
"597",1490,7,17,7,9,19.642,25000
"598",1491,9,18,8,8,14.083,39000
"599",1492,27,29,15,19,82.535,45000
"600",1493,14,26,15,13,65.038,245549
"601",1495,11,24,11,6,19.342,15000
"602",1499,16,27,15,13,47.406,16000
"603",1500,12,28,7,7,24.715,50000
"604",1501,30,33,15,22,97.458,60000
"605",1502,29,32,14,24,98.242,12000
"606",1503,28,32,11,23,84.661,58000
"607",1506,27,34,15,15,88.937,42000
"608",1507,13,31,14,11,60.833,22000
"609",1508,30,34,13,22,96.289,35000
"610",1509,28,35,15,15,90.493,25000
"611",1510,23,24,13,15,66.956,26000
"612",1512,29,33,12,19,80.758,15000
"613",1514,11,26,12,20,45.16,51000
"614",1515,16,27,9,14,44.773,67000
"615",1516,7,21,7,6,8.674,23300
"616",1521,14,18,7,8,21.457,41000
"617",1522,29,25,13,23,67.176,51300
"618",1527,7,9,4,5,2.099,28000
"619",1529,12,27,12,7,35.947,23000
"620",1530,13,21,7,9,30.909,28000
"621",1531,21,18,11,17,44.428,26000
"622",1532,15,14,15,18,57.544,17407
"623",1534,11,20,12,8,27.174,52000
"624",1538,13,18,12,9,30.59,45000
"625",1539,15,34,15,17,77.51,30000
"626",1541,7,24,11,7,22.337,41400
"627",1547,24,23,11,11,43.214,85000
"628",1548,15,26,11,11,40.716,4000
"629",1551,9,29,11,9,25.797,19000
"630",1552,9,25,13,5,24.669,9200
"631",1553,28,31,14,19,79.584,40000
"632",1554,21,26,12,18,52.176,59000
"633",1555,20,31,12,24,69.185,28352
"634",1556,26,23,13,20,69.556,32176
"635",1558,27,21,12,10,60.233,12000
"636",1560,18,19,9,4,21.06,19000
"637",1564,24,34,15,13,84.972,3400
"638",1566,19,33,13,16,65.249,39100
"639",1568,17,35,15,16,79.707,6000
"640",1569,22,34,13,13,72.895,63000
"641",1571,15,35,14,14,77.537,45000
"642",1574,25,33,14,24,90.317,47000
"643",1575,16,26,11,13,33.184,171551
"644",1577,19,32,11,15,60.11,59000
"645",1580,8,22,6,9,21.756,56000
"646",1585,18,25,13,11,54.802,60000
"647",1586,17,26,14,20,69.894,54000
"648",1587,27,34,15,21,92.892,27300
"649",1590,10,21,10,7,22.782,16000
"650",1591,16,24,9,7,33.418,7000
"651",1592,14,17,9,7,27.228,10000
"652",1593,10,24,9,7,14.232,17000
"653",1595,12,30,13,6,44.794,120000
"654",1597,19,27,13,20,67.922,52000
"655",1598,21,27,10,21,70.988,35000
"656",1599,20,31,12,14,43.417,24000
"657",1601,14,26,13,12,53.921,368302
"658",1602,15,25,11,17,54.571,90000
"659",1603,18,28,14,10,45.157,20000
"660",1605,14,30,13,8,40.773,40000
"661",1607,23,31,11,10,48.83,19200
"662",1608,16,33,13,11,58.11,11040
"663",1610,10,25,10,13,29.107,18000
"664",1617,13,27,9,5,21.965,20000
"665",1619,27,21,11,20,58.937,65000
"666",1621,30,32,12,24,87.899,35942
"667",1622,23,30,13,18,55.357,60000
"668",1626,29,34,14,24,96.046,73000
"669",1627,15,22,10,7,36.485,20000
"670",1629,17,30,13,17,65.439,100000
"671",1631,29,35,14,24,96.226,85000
"672",1632,30,33,15,25,98.63,100035
"673",1633,25,28,14,19,86.213,100000
"674",1635,15,22,13,15,53.399,40000
"675",1636,14,21,12,17,49.697,56000
"676",1637,24,25,12,13,60.861,15000
"677",1640,18,30,12,18,51.871,48000
"678",1641,26,31,13,19,62.029,110000
"679",1642,8,13,2,3,1.532,75000
"680",1644,12,26,13,8,43.409,9400
"681",1651,24,28,11,22,71.136,153334
"682",1656,21,26,14,10,51.885,33000
"683",1659,22,26,10,16,61.986,26000
"684",1670,29,34,13,24,96.168,105000
