"","Year","Depth"
"375",1976,9.7
"376",1976,9.7
"377",1976,9.6
"378",1976,9.7
"379",1976,9.7
"380",1976,9.6
"381",1976,9.8
"382",1976,9.8
"383",1976,9.8
"384",1976,9.8
"385",1976,9.7
"386",1976,9.6
"387",1976,9.6
"388",1976,9.7
"389",1976,9.6
"390",1976,9.8
"391",1976,9.7
"392",1976,9.8
"393",1976,9.8
"394",1976,9.8
"395",1976,9.7
"396",1976,9.8
"397",1976,9.7
"398",1976,9.8
"399",1976,9.6
"400",1976,9.8
"401",1976,9.8
"402",1976,9.8
"403",1976,9.8
"404",1976,9.7
"405",1976,9.7
"406",1976,9.7
"407",1976,9.7
"408",1976,9.8
"409",1976,9.8
"410",1976,9.8
"411",1976,9.6
"412",1976,9.7
"413",1976,9.7
"414",1976,9.7
"415",1976,9.6
"416",1976,9.6
"417",1976,9.7
"418",1976,9.7
"419",1976,9.8
"420",1976,9.7
"421",1976,9.8
"422",1976,9.6
"423",1976,9.7
"424",1976,9.9
"425",1976,9.9
"426",1976,9.9
"427",1976,9.8
"428",1976,9.9
"429",1976,9.8
"430",1976,10
"431",1976,10
"432",1976,9.8
"433",1976,9.9
"434",1976,9.8
"435",1976,10
"436",1976,9.9
"437",1976,10
"438",1976,9.9
"439",1976,9.9
"440",1976,9.9
"441",1976,9.9
"442",1976,9.9
"443",1976,10
"444",1976,9.9
"445",1976,9.9
"446",1976,9.9
"447",1976,9.9
"448",1976,9.9
"449",1976,10
"450",1976,10
"451",1976,9.9
"452",1976,10
"453",1976,9.9
"454",1976,10
"455",1976,9.8
"456",1976,9.9
"457",1976,10
"458",1976,9.9
"459",1976,9.9
"460",1976,9.9
"461",1976,9.9
"462",1976,9.9
"463",1976,10
"464",1976,9.9
"465",1976,9.9
"466",1976,10
"467",1976,10
"468",1976,9.8
"469",1976,9.9
"470",1976,9.9
"471",1976,10
"472",1976,10
"473",1976,9.8
"474",1976,9.9
"475",1976,9.8
"476",1976,9.8
"477",1976,9.9
"478",1976,10
"479",1976,10
"480",1976,10
"481",1976,9.9
"482",1976,9.8
"483",1976,10
"484",1976,9.8
"485",1976,9.8
"486",1976,9.8
"487",1976,9.9
"488",1976,9.9
"489",1976,9.9
"490",1976,9.8
"491",1976,9.9
"492",1976,9.9
"493",1976,10
"494",1976,10.1
"495",1976,10.2
"496",1976,10.2
"497",1976,10
"498",1976,10
"499",1976,10.1
"500",1976,10
"501",1976,10.2
"502",1976,10
"503",1976,10.2
"504",1976,10
"505",1976,10.1
"506",1976,10.1
"507",1976,10.1
"508",1976,10
"509",1976,10.1
"510",1976,10
"511",1976,10.1
"512",1976,10
"513",1976,10.1
"514",1976,10.2
"515",1976,10.1
"516",1976,10
"517",1976,10.1
"518",1976,10.2
"519",1976,10.2
"520",1976,10.2
"521",1976,10.1
"522",1976,10.1
"523",1976,10.2
"524",1976,10.1
"525",1976,10.1
"526",1976,10.2
"527",1976,10.1
"528",1976,10.1
"529",1976,10.1
"530",1976,10.1
"531",1976,10
"532",1976,10
"533",1976,10.2
"534",1976,10.1
"535",1976,10.2
"536",1976,10.4
"537",1976,10.2
"538",1976,10.2
"539",1976,10.3
"540",1976,10.4
"541",1976,10.3
"542",1976,10.3
"543",1976,10.3
"544",1976,10.4
"545",1976,10.4
"546",1976,10.3
"547",1976,10.3
"548",1976,10.4
"549",1976,10.4
"550",1976,10.2
"551",1976,10.4
"552",1976,10.3
"553",1976,10.3
"554",1976,10.4
"555",1976,10.4
"556",1976,10.4
"557",1976,10.3
"558",1976,10.2
"559",1976,10.2
"560",1976,10.3
"561",1976,10.3
"562",1976,10.2
"563",1976,10.2
"564",1976,10.3
"565",1976,10.3
"566",1976,10.3
"567",1976,10.3
"568",1976,10.4
"569",1976,10.2
"570",1976,10.3
"571",1976,10.4
"572",1976,10.2
"573",1976,10.3
"574",1976,10.2
"575",1976,10.4
"576",1976,10.4
"577",1976,10.3
"578",1976,10.4
"579",1976,10.2
"580",1976,10.2
"581",1976,10.2
"582",1976,10.3
"583",1976,10.4
"584",1976,10.3
"585",1976,10.4
"586",1976,10.3
"587",1976,10.3
"588",1976,10.4
"589",1976,10.2
"590",1976,10.4
"591",1976,10.2
"592",1976,10.4
"593",1976,10.3
"594",1976,10.3
"595",1976,10.2
"596",1976,10.3
"597",1976,10.3
"598",1976,10.2
"599",1976,10.6
"600",1976,10.5
"601",1976,10.4
"602",1976,10.5
"603",1976,10.5
"604",1976,10.5
"605",1976,10.6
"606",1976,10.5
"607",1976,10.5
"608",1976,10.5
"609",1976,10.5
"610",1976,10.6
"611",1976,10.5
"612",1976,10.5
"613",1976,10.4
"614",1976,10.6
"615",1976,10.5
"616",1976,10.4
"617",1976,10.5
"618",1976,10.6
"619",1976,10.4
"620",1976,10.5
"621",1976,10.4
"622",1976,10.4
"623",1976,10.4
"624",1976,10.6
"625",1976,10.4
"626",1976,10.5
"627",1976,10.5
"628",1976,10.6
"629",1976,10.4
"630",1976,10.4
"631",1976,10.4
"632",1976,10.5
"633",1976,10.6
"634",1976,10.5
"635",1976,10.4
"636",1976,10.5
"637",1976,10.6
"638",1976,10.4
"639",1976,10.6
"640",1976,10.6
"641",1976,10.5
"642",1976,10.5
"643",1976,10.4
"644",1976,10.5
"645",1976,10.5
"646",1976,10.6
"647",1976,10.6
"648",1976,10.6
"649",1976,10.6
"650",1976,10.8
"651",1976,10.6
"652",1976,10.6
"653",1976,10.7
"654",1976,10.6
"655",1976,10.7
"656",1976,10.7
"657",1976,10.8
"658",1976,10.6
"659",1976,10.7
"660",1976,10.7
"661",1976,10.8
"662",1976,10.8
"663",1976,10.6
"664",1976,10.7
"665",1976,10.6
"666",1976,10.6
"667",1976,10.7
"668",1976,10.6
"669",1976,10.7
"670",1976,10.8
"671",1976,10.8
"672",1976,10.7
"673",1976,10.8
"674",1976,10.7
"675",1976,10.7
"676",1976,10.6
"677",1976,10.8
"678",1976,10.7
"679",1976,10.8
"680",1976,10.7
"681",1976,10.8
"682",1976,10.8
"683",1976,10.9
"684",1976,10.9
"685",1976,10.9
"686",1976,10.9
"687",1976,10.8
"688",1976,11
"689",1976,11
"690",1976,10.8
"691",1976,10.9
"692",1976,10.9
"693",1976,10.8
"694",1976,10.9
"695",1976,10.9
"696",1976,10.9
"697",1976,11
"698",1976,11
"699",1976,10.8
"700",1976,10.8
"701",1976,10.8
"702",1976,10.9
"703",1976,11
"704",1976,10.8
"705",1976,10.8
"706",1976,11
"707",1976,10.9
"708",1976,10.9
"709",1976,11.1
"710",1976,11
"711",1976,11
"712",1976,11
"713",1976,11.1
"714",1976,11
"715",1976,11.2
"716",1976,11.1
"717",1976,11
"718",1976,11.2
"719",1976,11
"720",1976,11
"721",1976,11.1
"722",1976,11.3
"723",1976,11.2
"724",1976,11.4
"725",1976,11.4
"726",1976,11.3
"727",1976,11.3
"728",1976,11.2
"729",1976,11.3
"730",1976,11.4
"731",1976,11.5
"732",1976,11.6
"733",1976,11.4
"734",1976,11.4
"735",1976,11.5
"736",1976,11.5
"737",1976,11.6
"738",1976,11.6
"739",1976,11.8
"740",1976,11.7
"741",1976,11.7
"742",1976,11.7
"743",1976,11.6
"744",1976,11.7
"745",1976,11.7
"746",1976,12.3
"747",1976,12.3
"748",1976,12.5
"749",1976,12.4
"750",1976,14.1
"751",1976,14.1
"752",1978,7.1
"753",1978,8
"754",1978,7.9
"755",1978,8.4
"756",1978,8.4
"757",1978,8.8
"758",1978,8.7
"759",1978,8.7
"760",1978,9
"761",1978,9.1
"762",1978,9.1
"763",1978,9.1
"764",1978,9
"765",1978,9.2
"766",1978,9.3
"767",1978,9.4
"768",1978,9.3
"769",1978,9.4
"770",1978,9.6
"771",1978,9.6
"772",1978,9.6
"773",1978,9.5
"774",1978,9.6
"775",1978,9.7
"776",1978,9.8
"777",1978,9.7
"778",1978,9.7
"779",1978,9.7
"780",1978,9.6
"781",1978,9.6
"782",1978,9.9
"783",1978,10
"784",1978,9.9
"785",1978,9.9
"786",1978,9.9
"787",1978,10
"788",1978,10
"789",1978,10.2
"790",1978,10.2
"791",1978,10.3
"792",1978,10.3
"793",1978,10.3
"794",1978,10.3
"795",1978,10.4
"796",1978,10.2
"797",1978,10.2
"798",1978,10.2
"799",1978,10.3
"800",1978,10.4
"801",1978,10.3
"802",1978,10.4
"803",1978,10.5
"804",1978,10.5
"805",1978,10.5
"806",1978,10.5
"807",1978,10.6
"808",1978,10.5
"809",1978,10.5
"810",1978,10.6
"811",1978,10.4
"812",1978,10.8
"813",1978,10.7
"814",1978,10.7
"815",1978,10.6
"816",1978,10.6
"817",1978,10.7
"818",1978,10.6
"819",1978,10.7
"820",1978,10.7
"821",1978,10.9
"822",1978,10.9
"823",1978,10.9
"824",1978,11
"825",1978,11
"826",1978,11.1
"827",1978,11
"828",1978,11
"829",1978,11.1
"830",1978,11.1
"831",1978,11.1
"832",1978,11.3
"833",1978,11.4
"834",1978,11.5
"835",1978,11.4
"836",1978,11.4
"837",1978,11.4
"838",1978,11.6
"839",1978,11.6
"840",1978,11.7
