"","Gene","GeneName","pValue"
"62",62,"AT1G38430",0.377724156
"63",63,"AT1G41740",1
"64",64,"AT1G42690",0.003926161
"65",65,"AT1G43200",0.003926161
"66",66,"AT1G43444",0.022988249
"67",67,"AT1G43630",0.377724156
"68",68,"AT1G43723",0.377724156
"69",69,"AT1G43980",1
"70",70,"AT1G44020",0.003926161
"71",71,"AT1G44414",0.377724156
"72",72,"AT1G47816",0.003926161
"73",73,"AT1G48400",1
"74",74,"AT1G48510",0.67585379
"75",75,"AT1G48820",0.67585379
"76",76,"AT1G48910",0.049785075
"77",77,"AT1G49100",0.377724156
"78",78,"AT1G49550",0.003926161
"79",79,"AT1G50790",0.563340379
"80",80,"AT1G50810",0.003926161
"81",81,"AT1G52430",0.049785075
"82",82,"AT1G52940",0.003926161
"83",83,"AT1G53163",0.67585379
"84",84,"AT1G53690",0.030356687
"85",85,"AT1G54660",0.67585379
"86",86,"AT1G54840",0.003926161
"87",87,"AT1G55525",0.377724156
"88",88,"AT1G55740",0.377724156
"89",89,"AT1G56360",0.003926161
"90",90,"AT1G56620",0.003926161
"91",91,"AT1G58170",0.087984059
"92",92,"AT1G58808",0.190163803
"93",93,"AT1G59780",0.003926161
"94",94,"AT1G61200",0.003926161
"95",95,"AT1G61275",0.67585379
"96",96,"AT1G61410",0.409724654
"97",97,"AT1G61450",0.409744225
"98",98,"AT1G61470",0.003926208
"99",99,"AT1G61760",0.114275753
"100",100,"AT1G61830",0.377724156
"101",101,"AT1G62421",1
"102",102,"AT1G63560",0.114275753
"103",103,"AT1G66420",0.67585379
"104",104,"AT1G66620",0.190163803
"105",105,"AT1G66860",0.377724156
"106",106,"AT1G67365",0.087982859
"107",107,"AT1G67650",0.087982859
"108",108,"AT1G68230",0.40973865
"109",109,"AT1G68700",0.377724156
"110",110,"AT1G69940",0.67585379
"111",111,"AT1G70010",1
"112",112,"AT1G72080",0.377724156
"113",113,"AT1G72110",0.67585379
"114",114,"AT1G72200",0.67585379
"115",115,"AT1G72260",0.003926161
"116",116,"AT1G73610",0.67585379
"117",117,"AT1G73640",0.190163803
"118",118,"AT1G74660",0.377724156
"119",119,"AT1G75060",0.377724156
"120",120,"AT1G76540",1
"121",121,"AT1G77131",0.190163803
"122",122,"AT1G77200",0.190163803
"123",123,"AT1G77700",0.999997364
"124",124,"AT1G78270",0.004941422
"125",125,"AT1G78710",0.377724156
"126",126,"AT1G80340",0.114275753
"127",127,"AT2G01810",0.563340379
"128",128,"AT2G01840",0.049785075
"129",129,"AT2G02000",0.003926161
"130",130,"AT2G02520",0.003926161
"131",131,"AT2G02840",0.67585379
"132",132,"AT2G03380",0.409748158
"133",133,"AT2G03540",0.190163803
"134",134,"AT2G04580",1
"135",135,"AT2G04760",0.003926161
"136",136,"AT2G06020",0.67585379
"137",137,"AT2G06170",0.67585379
"138",138,"AT2G06830",0.003926161
"139",139,"AT2G06930",0.003926161
"140",140,"AT2G07669",1
"141",141,"AT2G07714",0.377724156
"142",142,"AT2G07770",0.377724156
"143",143,"AT2G09820",0.67585379
"144",144,"AT2G09850",0.003926161
"145",145,"AT2G10130",0.003926161
"146",146,"AT2G10430",0.377724156
"147",147,"AT2G10640",0.003926161
"148",148,"AT2G11120",0.67585379
"149",149,"AT2G11165",0.003926161
"150",150,"AT2G11380",0.003926161
"151",151,"AT2G11405",0.377724156
"152",152,"AT2G11502",0.377724156
"153",153,"AT2G11700",1
"154",154,"AT2G12390",0.409744225
"155",155,"AT2G12610",0.67585379
"156",156,"AT2G12640",0.003926161
"157",157,"AT2G12780",0.67585379
"158",158,"AT2G13118",0.003926161
"159",159,"AT2G14040",0.003926161
"160",160,"AT2G14210",0.67585379
"161",161,"AT2G15017",0.003926161
"162",162,"AT2G15030",0.049785075
"163",163,"AT2G15045",0.377724156
"164",164,"AT2G15420",0.003926161
"165",165,"AT2G15520",0.003926161
"166",166,"AT2G15800",0.003926161
"167",167,"AT2G16015",0.049785075
"168",168,"AT2G16060",0.377724156
"169",169,"AT2G16550",0.049785075
"170",170,"AT2G17723",0.003926161
"171",171,"AT2G18180",0.003926161
"172",172,"AT2G18380",0.087982859
"173",173,"AT2G18450",0.003926161
"174",174,"AT2G18721",0.003926161
"175",175,"AT2G19550",0.409744225
"176",176,"AT2G19610",0.049785075
"177",177,"AT2G19960",1
"178",178,"AT2G21020",0.67585379
"179",179,"AT2G21200",0.67585379
"180",180,"AT2G21420",0.67585379
"181",181,"AT2G21727",0.003926161
"182",182,"AT2G22180",0.67585379
"183",183,"AT2G23260",0.67585379
"184",184,"AT2G24300",0.409748158
"185",185,"AT2G24450",0.049785075
"186",186,"AT2G25410",1
"187",187,"AT2G25820",0.67585379
"188",188,"AT2G26215",0.087984059
"189",189,"AT2G27300",0.409748158
"190",190,"AT2G27970",0.67585379
"191",191,"AT2G29330",0.003926161
"192",192,"AT2G29452",1
"193",193,"AT2G31250",0.004941422
"194",194,"AT2G31425",0.049785075
"195",195,"AT2G31862",0.67585379
"196",196,"AT2G31985",1
"197",197,"AT2G32315",0.377724156
"198",198,"AT2G32670",0.409744225
"199",199,"AT2G34825",0.003926161
"200",200,"AT2G35460",0.496794953
"201",201,"AT2G35570",0.67585379
"202",202,"AT2G37010",0.67585379
"203",203,"AT2G37100",1
"204",204,"AT2G38060",0.003926161
"205",205,"AT2G38160",1
"206",206,"AT2G39490",0.496794953
"207",207,"AT2G39640",1
"208",208,"AT2G40470",1
"209",209,"AT2G41342",0.496794953
"210",210,"AT2G42180",1
"211",211,"AT2G43255",0.377724156
"212",212,"AT2G43700",0.114275753
"213",213,"AT2G44190",1
"214",214,"AT2G44745",1
"215",215,"AT2G45040",0.190163803
"216",216,"AT2G45230",0.003926161
"217",217,"AT2G45280",1
"218",218,"AT2G46850",0.190163803
"219",219,"AT2G47540",0.377724156
"220",220,"AT2G47670",0.409724655
"221",221,"AT3G02370",0.67585379
"222",222,"AT3G03620",0.67585379
"223",223,"AT3G03800",0.377724156
"224",224,"AT3G04050",0.190163803
"225",225,"AT3G04950",0.087984059
"226",226,"AT3G05190",0.190163803
"227",227,"AT3G05720",0.377724156
"228",228,"AT3G05950",0.003926161
"229",229,"AT3G06868",0.409744225
"230",230,"AT3G07820",0.003926161
"231",231,"AT3G10570",0.377724156
"232",232,"AT3G11640",0.049785075
"233",233,"AT3G11773",0.049785075
"234",234,"AT3G11870",0.003926161
"235",235,"AT3G12230",0.496794953
"236",236,"AT3G12720",0.003926161
"237",237,"AT3G13175",0.377724156
"238",238,"AT3G13420",0.563340379
"239",239,"AT3G13890",0.003926161
"240",240,"AT3G14170",0.563340379
"241",241,"AT3G14480",0.409744225
"242",242,"AT3G14760",0.40973865
"243",243,"AT3G14780",0.190163803
"244",244,"AT3G16070",0.049785075
"245",245,"AT3G16610",0.049785075
"246",246,"AT3G17060",0.022988249
"247",247,"AT3G18300",0.409744225
"248",248,"AT3G18450",0.010276772
"249",249,"AT3G18530",0.67585379
"250",250,"AT3G18955",0.003926161
"251",251,"AT3G19090",0.496794953
"252",252,"AT3G19500",0.40973865
"253",253,"AT3G20087",0.190163803
"254",254,"AT3G20110",0.114275753
"255",255,"AT3G21530",0.496794953
"256",256,"AT3G21910",0.67585379
"257",257,"AT3G22640",0.190163803
"258",258,"AT3G22830",0.003926161
"259",259,"AT3G22955",1
"260",260,"AT3G23167",0.003926161
"261",261,"AT3G24780",0.496794953
"262",262,"AT3G25450",0.003926161
"263",263,"AT3G27840",0.003926161
"264",264,"AT3G28945",1
"265",265,"AT3G29040",0.003926161
"266",266,"AT3G29190",0.003926161
"267",267,"AT3G29787",0.67585379
"268",268,"AT3G29791",1
"269",269,"AT3G30838",0.003926161
"270",270,"AT3G31406",0.030356687
"271",271,"AT3G32135",0.67585379
"272",272,"AT3G32360",0.003926161
"273",273,"AT3G32383",0.563340379
"274",274,"AT3G32980",0.409744225
"275",275,"AT3G42258",0.003926161
"276",276,"AT3G42305",0.377724156
"277",277,"AT3G42340",0.003926161
"278",278,"AT3G42356",0.003926161
"279",279,"AT3G42645",0.377724156
"280",280,"AT3G42850",0.377724156
"281",281,"AT3G43442",0.003926161
"282",282,"AT3G43450",0.003926161
"283",283,"AT3G43650",0.030356687
"284",284,"AT3G44005",0.377724156
"285",285,"AT3G44290",0.496794953
"286",286,"AT3G44770",0.377724156
"287",287,"AT3G45095",0.003926161
"288",288,"AT3G45390",0.114275753
"289",289,"AT3G45530",0.003926161
"290",290,"AT3G45638",0.67585379
"291",291,"AT3G45810",0.67585379
"292",292,"AT3G47030",0.377724156
"293",293,"AT3G47150",0.190163803
"294",294,"AT3G47180",0.190163803
"295",295,"AT3G47347",0.114275753
"296",296,"AT3G47350",0.003926161
"297",297,"AT3G47660",0.67585379
"298",298,"AT3G47950",0.010276772
"299",299,"AT3G48230",0.003926161
"300",300,"AT3G48480",0.67585379
"301",301,"AT3G49410",0.377724156
"302",302,"AT3G53200",0.003926161
"303",303,"AT3G53330",0.67585379
"304",304,"AT3G53980",0.40973865
"305",305,"AT3G57590",1
"306",306,"AT3G59340",0.377724156
"307",307,"AT3G59480",0.377724156
"308",308,"AT3G60565",0.003926161
"309",309,"AT3G60790",0.022988249
"310",310,"AT3G61198",0.496794953
"311",311,"AT3G61826",0.003926161
"312",312,"AT3G62680",0.003926161
"313",313,"AT3G62710",0.377724156
"314",314,"AT4G00610",0.003926161
"315",315,"AT4G00905",0.114275753
"316",316,"AT4G01060",0.67585379
"317",317,"AT4G01535",0.003926161
"318",318,"AT4G01740",0.409744225
"319",319,"AT4G02700",0.409744225
"320",320,"AT4G02733",0.003926161
"321",321,"AT4G04260",0.377724156
"322",322,"AT4G04296",1
"323",323,"AT4G04380",0.67585379
"324",324,"AT4G04930",0.003926161
"325",325,"AT4G05136",0.67585379
"326",326,"AT4G05586",0.049785075
"327",327,"AT4G06488",0.377724156
"328",328,"AT4G06568",0.003926161
"329",329,"AT4G06574",0.377724156
"330",330,"AT4G06580",0.190163803
"331",331,"AT4G06590",0.67585379
"332",332,"AT4G06644",0.377724156
"333",333,"AT4G06648",0.003926161
"334",334,"AT4G06752",0.67585379
"335",335,"AT4G07720",0.377724156
"336",336,"AT4G07750",1
"337",337,"AT4G07755",0.003926161
"338",338,"AT4G07790",0.003926161
"339",339,"AT4G07936",0.67585379
"340",340,"AT4G08091",0.190163803
"341",341,"AT4G08105",0.003926161
"342",342,"AT4G08115",0.004941422
"343",343,"AT4G08210",0.377724156
"344",344,"AT4G08250",0.67585379
"345",345,"AT4G08949",0.409744225
"346",346,"AT4G08970",1
"347",347,"AT4G08995",0.377724156
"348",348,"AT4G09390",0.030356687
"349",349,"AT4G10510",1
"350",350,"AT4G10720",0.114275753
"351",351,"AT4G10860",0.030356687
"352",352,"AT4G10990",0.114275753
"353",353,"AT4G11655",0.049785075
"354",354,"AT4G11950",0.087984059
"355",355,"AT4G12275",0.67585379
"356",356,"AT4G12350",0.496794953
"357",357,"AT4G12840",0.114275753
"358",358,"AT4G13130",0.003926161
"359",359,"AT4G13570",0.496794953
"360",360,"AT4G14713",0.049785075
"361",361,"AT4G15360",0.003926161
"362",362,"AT4G15870",0.67585379
"363",363,"AT4G16015",0.67585379
"364",364,"AT4G16200",0.377724156
"365",365,"AT4G17860",0.003926161
"366",366,"AT4G18090",1
"367",367,"AT4G18610",1
"368",368,"AT4G18990",0.003926161
"369",369,"AT4G19130",0.190163803
"370",370,"AT4G20350",0.563340379
"371",371,"AT4G21230",0.377724156
"372",372,"AT4G22250",0.377724156
"373",373,"AT4G22860",0.496794953
"374",374,"AT4G23240",0.049785075
"375",375,"AT4G26260",0.049785075
"376",376,"AT4G26820",0.377724156
"377",377,"AT4G28280",0.409744225
"378",378,"AT4G28520",1
"379",379,"AT4G32490",0.030356687
"380",380,"AT4G33120",0.67585379
"381",381,"AT4G33710",0.67585379
"382",382,"AT4G33925",0.022988249
"383",383,"AT4G35680",0.409727689
"384",384,"AT4G37682",0.049785075
"385",385,"AT4G37690",0.190163803
"386",386,"AT4G37720",0.010276772
"387",387,"AT4G37895",0.003926161
"388",388,"AT4G38092",0.003926161
"389",389,"AT4G38330",0.496794953
"390",390,"AT4G38590",0.377724156
"391",391,"AT4G39000",0.003926161
"392",392,"AT4G39020",0.377724156
"393",393,"AT5G01360",0.003926161
"394",394,"AT5G02520",0.563340379
"395",395,"AT5G02660",0.377724156
"396",396,"AT5G03285",0.409748158
"397",397,"AT5G03680",1
"398",398,"AT5G04190",0.190163803
"399",399,"AT5G05630",0.377724156
"400",400,"AT5G06278",0.003926161
"401",401,"AT5G06590",0.496794953
"402",402,"AT5G07850",0.377724156
"403",403,"AT5G08350",0.087984059
"404",404,"AT5G10280",0.049785075
"405",405,"AT5G10580",0.377724156
"406",406,"AT5G11870",0.409744225
"407",407,"AT5G13580",0.049785075
"408",408,"AT5G13655",0.377724156
"409",409,"AT5G13825",0.377724156
"410",410,"AT5G14020",0.003926161
"411",411,"AT5G14360",0.67585379
"412",412,"AT5G14870",0.496794953
"413",413,"AT5G15150",0.67585379
"414",414,"AT5G15160",0.190163803
"415",415,"AT5G15720",1
"416",416,"AT5G15830",0.049785075
"417",417,"AT5G15890",0.003926161
"418",418,"AT5G16100",0.67585379
"419",419,"AT5G17220",0.022988249
"420",420,"AT5G17680",0.114275753
"421",421,"AT5G17847",0.190163803
"422",422,"AT5G20450",0.030356687
"423",423,"AT5G21140",1
"424",424,"AT5G22490",0.003926161
"425",425,"AT5G23260",0.67585379
"426",426,"AT5G23650",0.67585379
"427",427,"AT5G23800",0.022988249
"428",428,"AT5G23930",0.003926161
"429",429,"AT5G23940",0.087982859
"430",430,"AT5G24900",0.049785075
"431",431,"AT5G25425",0.003926161
"432",432,"AT5G26692",0.190163803
"433",433,"AT5G26805",0.377724156
"434",434,"AT5G27500",0.003926161
"435",435,"AT5G27925",0.003926161
"436",436,"AT5G28010",0.496794953
"437",437,"AT5G28053",0.67585379
"438",438,"AT5G28330",0.409748158
"439",439,"AT5G28430",0.377724156
"440",440,"AT5G28464",0.003926161
"441",441,"AT5G28491",0.496794953
"442",442,"AT5G28760",0.40973865
"443",443,"AT5G29975",0.003926161
"444",444,"AT5G31999",0.003926161
"445",445,"AT5G32035",0.67585379
"446",446,"AT5G32070",0.003926161
"447",447,"AT5G32623",0.377724156
"448",448,"AT5G33234",0.003926161
"449",449,"AT5G34871",0.377724156
"450",450,"AT5G35413",0.377724156
"451",451,"AT5G37665",0.003926161
"452",452,"AT5G38393",0.67585379
"453",453,"AT5G38790",0.003926161
"454",454,"AT5G39160",1
"455",455,"AT5G39560",0.003926161
"456",456,"AT5G40630",0.030356687
"457",457,"AT5G41470",0.563340379
"458",458,"AT5G42210",0.496794953
"459",459,"AT5G42500",0.377724156
"460",460,"AT5G42760",0.030356687
"461",461,"AT5G43401",0.003926161
"462",462,"AT5G44770",0.67585379
"463",463,"AT5G45070",0.003926161
"464",464,"AT5G45080",0.049785075
"465",465,"AT5G45440",0.409748158
"466",466,"AT5G45580",0.377724156
"467",467,"AT5G46013",0.67585379
"468",468,"AT5G46460",0.087984059
"469",469,"AT5G47130",1
"470",470,"AT5G47510",0.049785075
"471",471,"AT5G49040",0.003926161
"472",472,"AT5G49390",0.377724156
"473",473,"AT5G49780",0.496794953
"474",474,"AT5G50260",1
"475",475,"AT5G51900",0.496794953
"476",476,"AT5G53660",0.003926161
"477",477,"AT5G53810",0.003926161
"478",478,"AT5G54450",0.67585379
"479",479,"AT5G57080",0.377724156
"480",480,"AT5G57320",0.377724156
"481",481,"AT5G57620",0.003926161
"482",482,"AT5G57750",0.003926161
"483",483,"AT5G57760",0.409744225
"484",484,"AT5G57810",0.377724156
"485",485,"AT5G58050",1
"486",486,"AT5G59845",0.049785075
"487",487,"AT5G60320",0.003926161
"488",488,"AT5G61490",0.409724654
"489",489,"AT5G61680",0.67585379
"490",490,"AT5G63300",1
"491",491,"AT5G63590",0.377724156
"492",492,"AT5G63900",0.030356687
"493",493,"AT5G64520",0.087984059
"494",494,"AT5G65158",0.114275753
"495",495,"AT5G65320",0.496794953
"496",496,"AT5G65790",0.67585379
"497",497,"AT5G65850",0.190163803
"498",498,"AT5G66670",0.67585379
"499",499,"AT5G67110",0.087984059
"500",500,"AT5G67488",1
"501",501,"AT1G04360",0.420318232
"502",502,"AT1G04470",0.001838473
"503",503,"AT1G04540",0.866331732
"504",504,"AT1G06250",0.801582308
"505",505,"AT1G06440",0.176007536
"506",506,"AT1G07780",0.046531557
"507",507,"AT1G07800",0.176007536
"508",508,"AT1G08860",0.001838473
"509",509,"AT1G08990",0.051084902
"510",510,"AT1G09155",0.351234317
"511",511,"AT1G09170",0.176007536
"512",512,"AT1G09610",0.065707128
"513",513,"AT1G10710",0.704978917
"514",514,"AT1G11362",0.065707128
"515",515,"AT1G11735",0.001838473
"516",516,"AT1G12630",0.001838473
"517",517,"AT1G13410",0.249116534
"518",518,"AT1G13448",0.320770725
"519",519,"AT1G13630",0.088765238
"520",520,"AT1G13970",0.249116534
"521",521,"AT1G15015",0.602286795
"522",522,"AT1G15165",0.025405971
"523",523,"AT1G15900",0.176007536
"524",524,"AT1G16770",0.351234317
"525",525,"AT1G16930",0.025405971
"526",526,"AT1G18120",0.004529119
"527",527,"AT1G18250",0.088765238
"528",528,"AT1G19394",0.351234317
"529",529,"AT1G19900",0.320770725
"530",530,"AT1G20180",0.001838473
"531",531,"AT1G20870",0.033594195
"532",532,"AT1G21430",0.001838473
"533",533,"AT1G21620",0.704988744
"534",534,"AT1G21890",0.001838473
"535",535,"AT1G26530",0.001838473
"536",536,"AT1G27420",0.704983802
"537",537,"AT1G29450",0.176007536
"538",538,"AT1G30050",0.764687037
"539",539,"AT1G30670",0.866331732
"540",540,"AT1G30990",0.866331732
"541",541,"AT1G31450",0.866331732
"542",542,"AT1G32140",0.001838473
"543",543,"AT1G33090",0.351234317
"544",544,"AT1G33100",0.025405971
"545",545,"AT1G33430",0.324351177
"546",546,"AT1G33870",0.351234317
"547",547,"AT1G34140",0.001838473
"548",548,"AT1G34310",0.866331732
"549",549,"AT1G34480",0.051084902
"550",550,"AT1G35146",0.001838473
"551",551,"AT1G35513",0.001838473
"552",552,"AT1G37020",0.001838473
"553",553,"AT1G40087",0.001838473
"554",554,"AT1G40105",0.866331732
"555",555,"AT1G42130",0.324351177
"556",556,"AT1G42450",0.420318232
"557",557,"AT1G42460",0.792385014
"558",558,"AT1G42740",0.602286795
"559",559,"AT1G43210",0.001838473
"560",560,"AT1G43830",0.051084902
"561",561,"AT1G44180",0.351234317
"562",562,"AT1G47390",0.001838473
"563",563,"AT1G47565",0.704983802
"564",564,"AT1G47980",0.866331732
"565",565,"AT1G48290",0.001838473
"566",566,"AT1G49030",0.003291913
"567",567,"AT1G49320",0.324351177
"568",568,"AT1G49830",0.001838473
"569",569,"AT1G50190",0.320770725
"570",570,"AT1G50310",0.792385014
"571",571,"AT1G52130",0.001838473
"572",572,"AT1G53140",0.033594195
"573",573,"AT1G53541",0.249128124
"574",574,"AT1G53990",0.420318232
"575",575,"AT1G54000",0.116545293
"576",576,"AT1G54095",0.033594195
"577",577,"AT1G54890",0.249116534
"578",578,"AT1G55560",0.602286795
"579",579,"AT1G56320",0.704983802
"580",580,"AT1G56570",0.801582308
"581",581,"AT1G57780",0.866331732
"582",582,"AT1G58037",0.001838473
"583",583,"AT1G58150",0.176007536
"584",584,"AT1G58235",0.116545293
"585",585,"AT1G58390",0.866331732
"586",586,"AT1G60090",0.088765238
"587",587,"AT1G60130",0.866331732
"588",588,"AT1G61920",0.001838473
"589",589,"AT1G62010",0.249128124
"590",590,"AT1G62090",0.351234317
"591",591,"AT1G62400",0.004529119
"592",592,"AT1G63040",0.602286795
"593",593,"AT1G63390",0.764687037
"594",594,"AT1G63930",0.801582308
"595",595,"AT1G65780",0.602286795
"596",596,"AT1G65985",0.004529119
"597",597,"AT1G66560",0.764687037
"598",598,"AT1G66800",0.351234317
"599",599,"AT1G67370",0.065707128
"600",600,"AT1G68040",0.866331732
"601",601,"AT1G68320",0.176007536
"602",602,"AT1G69150",0.033594195
"603",603,"AT1G69350",0.088765238
"604",604,"AT1G70450",0.602286795
"605",605,"AT1G70985",0.065707128
"606",606,"AT1G71120",0.249116534
"607",607,"AT1G71290",0.602286795
"608",608,"AT1G71490",0.704959222
"609",609,"AT1G72220",0.792385014
"610",610,"AT1G72230",0.351234317
"611",611,"AT1G72350",0.602286795
"612",612,"AT1G72530",0.088765238
"613",613,"AT1G73860",0.001838473
"614",614,"AT1G73910",0.320770725
"615",615,"AT1G74620",0.351234317
"616",616,"AT1G75880",0.116545293
"617",617,"AT1G76470",0.176007536
"618",618,"AT1G76952",0.051084902
"619",619,"AT1G77405",0.320770725
"620",620,"AT1G77720",0.249128124
"621",621,"AT1G77730",0.001838473
"622",622,"AT1G80060",0.249116534
"623",623,"AT1G80170",0.792385014
"624",624,"AT1G80570",0.025405971
"625",625,"AT1G80800",0.351234317
"626",626,"AT2G01029",0.351234317
"627",627,"AT2G02540",0.756087244
"628",628,"AT2G02750",0.602286795
"629",629,"AT2G02930",0.866331732
"630",630,"AT2G05430",0.033594195
"631",631,"AT2G05680",0.602286795
"632",632,"AT2G05700",0.001838473
"633",633,"AT2G06120",0.033594195
"634",634,"AT2G06260",0.001838473
"635",635,"AT2G06335",0.351234317
"636",636,"AT2G06580",0.351234317
"637",637,"AT2G06900",0.792385014
"638",638,"AT2G07040",0.866331732
"639",639,"AT2G07685",0.033594195
"640",640,"AT2G07751",0.704983802
"641",641,"AT2G10070",0.801582308
"642",642,"AT2G10465",0.351234317
"643",643,"AT2G10557",0.001838473
"644",644,"AT2G10606",0.001838473
"645",645,"AT2G10760",0.756087244
"646",646,"AT2G11330",0.033594195
"647",647,"AT2G11450",0.602286795
"648",648,"AT2G11780",0.602286795
"649",649,"AT2G12460",0.051084902
"650",650,"AT2G12500",0.001838473
"651",651,"AT2G12940",0.001838473
"652",652,"AT2G13170",0.866331732
"653",653,"AT2G13750",0.001838473
"654",654,"AT2G14200",0.420318232
"655",655,"AT2G15550",0.051084902
"656",656,"AT2G15650",0.602286795
"657",657,"AT2G16260",0.866331732
"658",658,"AT2G16790",0.764687037
"659",659,"AT2G16910",0.866331732
"660",660,"AT2G17470",0.866331732
"661",661,"AT2G18600",0.602286795
"662",662,"AT2G18980",0.764687037
"663",663,"AT2G19200",0.866331732
"664",664,"AT2G19410",0.801582308
"665",665,"AT2G19530",0.046531415
"666",666,"AT2G21400",0.025405971
"667",667,"AT2G21740",0.001838473
"668",668,"AT2G21800",0.704983802
"669",669,"AT2G21910",0.602286795
"670",670,"AT2G22320",0.324351177
"671",671,"AT2G24350",0.420318232
"672",672,"AT2G24960",0.046531557
"673",673,"AT2G25090",0.351234317
"674",674,"AT2G25260",0.051084902
"675",675,"AT2G26180",0.176007536
"676",676,"AT2G26700",0.051084902
"677",677,"AT2G26860",0.176007536
"678",678,"AT2G28280",0.351234317
"679",679,"AT2G29610",0.001838473
"680",680,"AT2G30300",0.004529119
"681",681,"AT2G30630",0.051084902
"682",682,"AT2G30640",0.801582308
"683",683,"AT2G31520",0.001838473
"684",684,"AT2G31751",0.249128124
"685",685,"AT2G32180",0.001838473
"686",686,"AT2G32275",0.051084902
"687",687,"AT2G33980",0.704988744
"688",688,"AT2G34700",0.001838473
"689",689,"AT2G34870",0.351234317
"690",690,"AT2G34980",0.324351177
"691",691,"AT2G35580",0.351234317
"692",692,"AT2G35637",0.351234317
"693",693,"AT2G36180",0.351234317
"694",694,"AT2G36760",0.866331732
"695",695,"AT2G36854",0.351234317
"696",696,"AT2G37960",0.866331732
"697",697,"AT2G38490",0.065707128
"698",698,"AT2G38590",0.602286795
"699",699,"AT2G38995",0.002234801
"700",700,"AT2G39560",0.249116534
"701",701,"AT2G40170",0.033594195
"702",702,"AT2G40711",0.001838473
"703",703,"AT2G41690",0.116545293
"704",704,"AT2G42800",0.420318232
"705",705,"AT2G43230",0.602286795
"706",706,"AT2G43990",0.792385014
"707",707,"AT2G45120",0.602286795
"708",708,"AT2G46760",0.320770725
"709",709,"AT2G47660",0.866331732
"710",710,"AT3G01345",0.602286795
"711",711,"AT3G02240",0.002234801
"712",712,"AT3G02970",0.764687037
"713",713,"AT3G03170",0.792385014
"714",714,"AT3G04700",0.602286795
"715",715,"AT3G04860",0.704983802
"716",716,"AT3G06560",0.351234317
"717",717,"AT3G07260",0.001838473
"718",718,"AT3G08490",0.351234317
"719",719,"AT3G08500",0.764687037
"720",720,"AT3G10150",0.351234317
"721",721,"AT3G10290",0.792385014
"722",722,"AT3G10595",0.351234317
"723",723,"AT3G10845",0.176007536
"724",724,"AT3G12820",0.602286795
"725",725,"AT3G13229",0.001838473
"726",726,"AT3G13784",0.324351177
"727",727,"AT3G13840",0.001838473
"728",728,"AT3G14520",0.001838473
"729",729,"AT3G15130",0.420318232
"730",730,"AT3G15420",0.249110928
"731",731,"AT3G15605",0.764687037
"732",732,"AT3G15620",0.046531557
"733",733,"AT3G15830",0.351234317
"734",734,"AT3G15930",0.866331732
"735",735,"AT3G16440",0.001838473
"736",736,"AT3G17500",0.001838473
"737",737,"AT3G18010",0.351234317
"738",738,"AT3G18700",0.001838473
"739",739,"AT3G19610",0.866331732
"740",740,"AT3G19940",0.033594195
"741",741,"AT3G20200",0.320770725
"742",742,"AT3G20362",0.478409587
"743",743,"AT3G20880",0.001838473
"744",744,"AT3G21030",0.24912674
