"","Subject","Gender","AFQT","Educ","Income2005"
"180",456,"male",48.986,18,50000
"181",457,"male",78.555,16,53000
"182",458,"female",86.548,18,65000
"183",459,"female",85.905,20,10000
"184",460,"female",31.254,13,21400
"185",461,"male",90.491,16,85000
"186",464,"male",79.33,14,78000
"187",465,"female",85.844,12,12000
"188",467,"female",95.508,16,20000
"189",470,"male",11.35,12,46000
"190",479,"male",76.189,16,86000
"191",480,"male",51.896,18,60000
"192",481,"male",93.653,19,388725
"193",482,"male",77.991,19,122000
"194",484,"male",13.303,12,30000
"195",485,"female",8.229,12,12000
"196",486,"male",50.498,12,196424
"197",489,"male",59.586,14,85000
"198",491,"female",13.761,12,20000
"199",495,"female",69.07,14,29821
"200",496,"female",92.866,16,25000
"201",499,"female",39.163,13,36000
"202",500,"female",64.295,14,53000
"203",501,"female",78.966,19,25000
"204",502,"male",71.792,12,90000
"205",503,"female",56.773,12,23000
"206",505,"male",26.498,12,28000
"207",506,"female",43.741,16,43000
"208",520,"male",26.381,16,73000
"209",521,"male",37.473,17,80000
"210",527,"female",61.184,13,50000
"211",533,"female",55.185,15,5000
"212",535,"male",33.208,12,20000
"213",540,"male",16.138,12,60000
"214",543,"male",21.108,12,98000
"215",547,"male",45.744,11,69000
"216",548,"female",72.071,12,15000
"217",550,"female",81.039,12,22000
"218",553,"male",99.154,16,10000
"219",554,"male",91.427,19,1100
"220",556,"male",86.423,18,147000
"221",557,"female",99.324,17,1200
"222",558,"female",83.317,17,36000
"223",560,"male",62.344,14,78500
"224",561,"female",76.633,20,42000
"225",562,"male",64.432,20,55000
"226",564,"male",33.668,14,5000
"227",565,"male",35.041,13,55000
"228",583,"male",73.326,13,36000
"229",585,"female",25.699,9,25000
"230",594,"male",53.342,12,80000
"231",597,"male",2.826,11,500
"232",604,"female",62.762,15,40000
"233",606,"male",72.782,13,35000
"234",608,"female",88.693,16,27000
"235",609,"female",45.803,16,32000
"236",612,"female",48.877,16,46136
"237",613,"male",35.747,12,95000
"238",616,"male",9.141,12,25000
"239",622,"female",52.674,15,36500
"240",631,"male",22.379,11,18000
"241",632,"female",1.31,12,4000
"242",636,"female",34.526,12,40000
"243",639,"male",60.396,12,35000
"244",640,"female",77.715,12,42000
"245",645,"male",86.137,16,163172
"246",646,"female",1.79,12,12500
"247",647,"male",43.472,12,61000
"248",649,"male",85.54,17,110000
"249",650,"female",77.736,16,58000
"250",653,"male",90.095,18,96000
"251",659,"male",39.786,14,75000
"252",662,"female",70.5,12,22000
"253",663,"male",76.234,16,85000
"254",664,"female",47.912,17,43000
"255",665,"female",59.991,16,30000
"256",667,"male",70.912,14,58000
"257",669,"male",79.232,12,29000
"258",671,"male",79.303,16,10000
"259",674,"male",2.926,12,50000
"260",675,"male",3.663,11,8400
"261",679,"male",8.563,12,20000
"262",681,"male",6.381,12,5000
"263",683,"female",45.808,18,52000
"264",684,"male",29.001,12,72000
"265",686,"male",79.313,18,57000
"266",688,"female",41.58,14,23000
"267",692,"female",36.055,13,45000
"268",697,"male",14.729,12,50000
"269",701,"male",10.566,9,9800
"270",703,"female",40.97,12,3000
"271",704,"female",46.092,13,56000
"272",707,"male",31.469,14,48000
"273",709,"male",26.594,12,41167
"274",711,"male",38.582,12,40000
"275",712,"female",80.637,13,41000
"276",713,"female",14.274,12,11000
"277",714,"male",26.688,11,20000
"278",717,"male",30.429,12,40000
"279",719,"male",6.818,12,48000
"280",720,"female",36.158,12,35000
"281",721,"female",24.725,13,22000
"282",722,"male",38.013,11,57500
"283",723,"female",26.792,12,25000
"284",724,"female",78.513,15,20000
"285",725,"male",97.319,20,74000
"286",728,"male",20.133,12,30000
"287",730,"male",70.604,15,100000
"288",731,"male",46.018,12,40000
"289",732,"male",51.017,12,35000
"290",733,"female",27.489,13,28820
"291",745,"female",31.508,12,41000
"292",746,"female",65.278,13,35500
"293",747,"male",70.368,12,50300
"294",748,"female",23.929,13,34000
"295",751,"male",28.746,16,55000
"296",752,"female",80.463,19,120000
"297",755,"female",54.906,12,37000
"298",756,"female",20.084,12,26000
"299",757,"female",31.118,14,35000
"300",758,"female",11.905,12,20000
"301",761,"female",55.614,15,25000
"302",762,"male",48.786,12,12000
"303",763,"male",34.18,12,23000
"304",764,"female",31.809,14,21000
"305",769,"male",34.236,12,3000
"306",772,"male",52.482,12,74000
"307",774,"male",53.534,14,35000
"308",776,"male",97.088,17,115000
"309",777,"male",79.85,16,85000
"310",778,"male",89.794,17,30000
"311",779,"female",60.353,14,26000
"312",784,"male",49.537,13,30000
"313",789,"female",42.361,12,15000
"314",792,"female",28.537,16,30000
"315",793,"male",61.347,16,30000
"316",796,"male",94.119,16,58000
"317",797,"male",68.375,12,72000
"318",799,"male",34.051,12,53000
"319",800,"male",32.078,14,54000
"320",801,"female",25.324,14,19327
"321",802,"male",17.362,12,30000
"322",804,"female",40.982,19,16000
"323",806,"male",13.465,12,35000
"324",807,"male",76.332,16,70000
"325",810,"female",91.719,16,115000
"326",811,"female",63.642,15,16000
"327",812,"female",86.99,16,10500
"328",813,"male",85.915,20,33000
"329",814,"female",19.541,12,16000
"330",815,"male",66.54,12,23400
"331",816,"female",39.343,16,29000
"332",817,"male",81.325,16,117000
"333",818,"male",35.569,13,85000
"334",820,"female",49.039,16,85000
"335",821,"female",99.18,18,34000
"336",825,"male",89.264,17,73000
"337",827,"male",92.042,20,169541
"338",829,"female",38.888,19,66000
"339",832,"male",38.997,12,20000
"340",835,"female",25.338,13,25000
"341",839,"female",4.208,15,30000
"342",843,"female",34.453,12,3000
"343",847,"male",22.976,16,67500
"344",849,"female",36.881,12,20000
"345",850,"male",82.62,13,85000
"346",851,"male",55.782,12,48000
"347",854,"female",50.954,12,22000
"348",856,"female",83.737,13,25000
"349",859,"male",23.25,12,46000
"350",860,"male",69.283,12,37500
"351",861,"female",49.173,12,29000
"352",862,"female",41.383,11,25000
"353",863,"male",38.088,12,125000
"354",866,"female",27.315,12,36000
"355",872,"male",71.872,16,176354
"356",874,"male",94.976,19,90000
"357",875,"female",25.657,12,40000
"358",878,"female",68.575,12,50000
"359",879,"female",79.765,20,52900
"360",881,"male",80.898,16,8000
"361",882,"male",64.498,16,42000
"362",883,"female",75.516,15,30000
"363",884,"female",98.089,18,52000
"364",885,"male",81.33,16,37000
"365",888,"male",21.826,12,50000
"366",889,"female",45.056,15,24000
"367",890,"male",82.756,19,183306
"368",891,"male",42.935,12,36000
"369",896,"female",98.804,16,15000
"370",898,"female",79.576,16,40000
"371",899,"male",83.208,15,31000
"372",902,"male",82.49,17,64320
"373",906,"female",93.511,19,90000
"374",907,"male",93.432,19,7000
"375",908,"male",82.465,16,37000
"376",909,"female",61.363,15,31330
"377",912,"female",91.404,16,34000
"378",914,"female",75.363,12,71500
"379",915,"female",92.122,14,57000
"380",916,"male",82.189,16,20000
"381",920,"male",86.877,16,120000
"382",921,"male",7.983,14,65000
"383",922,"male",55.885,12,90000
"384",929,"male",75.258,12,42000
"385",932,"female",26.769,12,30000
"386",935,"female",34.62,12,9800
"387",936,"female",58.404,15,15000
"388",937,"male",84.974,14,75000
"389",938,"male",21.712,12,38500
"390",941,"male",44.224,13,80000
"391",942,"female",55.978,12,43000
"392",944,"male",97.299,18,54000
"393",945,"male",51.523,16,37300
"394",947,"male",77.263,13,64000
"395",949,"female",64.067,12,70000
"396",950,"female",91.63,12,30000
"397",951,"male",52.109,12,72000
"398",952,"female",63.71,12,23600
"399",955,"male",45.546,12,40000
"400",956,"male",55.543,13,15000
"401",958,"male",41.439,12,35000
"402",959,"male",96.442,14,170247
"403",960,"male",88.979,15,150000
"404",961,"male",88.914,16,140000
"405",962,"female",67.25,14,45500
"406",963,"female",51.978,12,65000
"407",964,"female",28.308,12,48000
"408",966,"female",18.824,12,44000
"409",967,"female",17.834,12,56000
"410",968,"male",43.365,12,65000
"411",969,"female",44.379,12,31000
"412",970,"male",57.553,12,110000
"413",971,"female",53.275,12,3000
"414",972,"female",57.315,12,38000
"415",973,"male",65.073,12,42000
"416",974,"female",66.668,20,55000
"417",976,"female",62.466,18,51000
"418",990,"male",60.136,12,39000
"419",996,"male",30.891,12,60000
"420",997,"male",78.723,12,46000
"421",999,"female",67.602,16,27000
"422",1003,"male",61.145,16,70000
"423",1004,"female",27.973,14,56000
"424",1007,"male",47.45,12,125000
"425",1011,"male",34.339,12,45000
"426",1013,"male",91.199,14,25000
"427",1019,"female",100,17,29000
"428",1020,"female",98.236,17,84000
"429",1029,"female",26.365,12,17000
"430",1034,"female",12.727,7,23000
"431",1038,"female",64.065,14,24000
"432",1039,"female",71.23,15,44000
"433",1042,"male",28.954,12,26000
"434",1043,"male",3.732,12,16000
"435",1044,"male",4.871,12,25000
"436",1046,"male",70.337,19,63
"437",1048,"female",3.156,12,13000
"438",1049,"female",84.635,18,51000
"439",1051,"male",87.785,18,67000
"440",1052,"male",89.341,18,183467
"441",1053,"male",73.413,16,394058
"442",1056,"female",15.555,12,24000
"443",1058,"male",34.012,14,47000
"444",1060,"male",33.045,12,12000
"445",1062,"male",58.977,12,115000
"446",1063,"female",45.58,12,20518
"447",1065,"female",70.03,12,20160
"448",1068,"male",0.958,9,12000
"449",1071,"female",8.758,12,12649
"450",1072,"male",35.78,18,65000
"451",1076,"female",43.456,14,40000
"452",1078,"female",88.023,16,61000
"453",1080,"female",68.497,12,7500
"454",1081,"male",76.163,14,38262
"455",1082,"female",71.597,16,70000
"456",1085,"male",65.317,12,36000
"457",1086,"female",77.119,18,67500
"458",1089,"male",1.672,9,35000
"459",1090,"female",12.621,9,1300
"460",1091,"male",51.083,10,24000
"461",1092,"male",59.139,12,15000
"462",1093,"female",50.614,16,35000
"463",1096,"male",15.428,12,48000
"464",1097,"male",97.926,14,59000
"465",1098,"male",98.356,20,108000
"466",1101,"female",89.998,19,50000
"467",1102,"male",44.711,15,429
"468",1104,"female",55.829,15,90000
"469",1105,"female",65.903,18,61000
"470",1106,"female",87.203,16,35000
"471",1111,"female",44.401,12,44000
"472",1114,"female",31.751,12,50000
"473",1116,"female",31.89,14,30000
"474",1118,"female",22.955,12,80000
"475",1122,"male",99.147,16,37000
"476",1130,"female",50.405,12,5000
"477",1134,"male",65.998,11,53000
"478",1138,"male",58.192,16,58000
"479",1139,"female",72.569,16,60000
"480",1141,"female",17.614,12,30000
"481",1143,"male",83.528,16,180124
"482",1144,"male",79.836,16,248713
"483",1147,"female",58.247,12,6500
"484",1148,"male",2.509,11,31000
"485",1153,"male",4.843,10,2300
"486",1155,"female",25.334,14,52000
"487",1156,"male",39.245,12,25000
"488",1157,"female",70.82,16,63000
"489",1158,"female",27.018,14,31000
"490",1159,"female",45.679,15,30000
"491",1160,"female",34.867,14,20000
"492",1163,"female",20.274,14,25000
"493",1166,"female",42.776,13,20609
"494",1169,"male",53.364,12,130000
"495",1176,"male",62.064,16,77000
"496",1179,"female",74.366,12,35000
"497",1181,"female",64.846,13,150000
"498",1182,"female",91.545,18,48000
"499",1184,"female",90.731,16,95000
"500",1185,"male",100,20,268384
"501",1186,"male",58.93,16,140000
"502",1187,"female",86.394,19,39000
"503",1188,"male",79.064,15,130000
"504",1200,"female",49.449,16,9000
"505",1208,"female",82.941,20,120000
"506",1221,"female",0.899,12,16200
"507",1222,"male",7.51,12,38000
"508",1223,"female",1.552,13,15000
"509",1224,"female",15.04,13,12000
"510",1233,"female",36.925,14,42000
"511",1237,"male",29.091,12,24000
"512",1238,"female",54.782,13,62000
"513",1240,"female",70.563,18,52000
"514",1247,"male",12.838,12,8000
"515",1249,"male",64.562,12,80000
"516",1250,"female",31.365,12,17000
"517",1251,"female",36.464,12,31000
"518",1252,"female",54.28,17,16000
"519",1253,"female",52.948,12,21600
"520",1255,"female",93.903,18,87000
"521",1256,"male",17.735,13,50000
"522",1257,"male",34.121,12,23000
"523",1258,"female",62.762,14,3000
"524",1260,"male",10.889,9,35000
"525",1261,"female",66.079,14,50000
"526",1268,"male",98.102,16,90000
"527",1272,"male",37.465,12,39000
"528",1273,"male",68.375,13,24000
"529",1276,"female",92.033,16,46000
"530",1279,"female",81.419,15,24000
"531",1286,"female",6.841,16,32000
"532",1287,"male",7.088,14,50000
"533",1288,"male",10.393,14,21000
"534",1290,"female",38.983,14,36000
"535",1291,"male",8.107,13,16000
"536",1293,"female",35.191,16,36000
"537",1294,"male",51.781,15,209138
"538",1301,"male",27.851,14,25000
"539",1311,"male",46.54,16,130000
"540",1312,"female",41.138,12,18000
"541",1315,"male",70.51,15,257286
"542",1318,"male",22.661,8,37000
"543",1319,"male",6.629,12,43000
"544",1320,"male",100,13,78000
"545",1321,"male",51.798,13,56000
"546",1323,"female",85.328,17,42000
"547",1325,"male",82.181,16,80000
"548",1327,"female",59.279,12,53000
"549",1338,"male",66.383,13,42000
"550",1344,"female",67.442,18,72000
"551",1347,"female",50.056,16,157280
"552",1351,"male",54.619,12,13000
"553",1353,"male",50.963,12,20000
"554",1357,"male",5.401,12,38000
"555",1359,"female",61.346,18,40000
"556",1360,"female",28.956,12,27000
"557",1362,"female",96.033,17,70000
"558",1366,"female",36.305,12,29800
"559",1367,"male",85.66,16,16000
"560",1368,"male",96.899,16,39000
"561",1374,"female",69.216,16,15700
"562",1383,"male",2.991,12,80000
"563",1384,"male",13.4,12,26000
"564",1385,"female",44.576,13,34000
"565",1386,"male",24.991,12,52000
"566",1393,"male",66.493,15,79000
"567",1394,"female",67.269,16,62000
"568",1395,"female",45.317,20,63000
"569",1397,"male",26.78,12,45000
"570",1399,"female",74.636,14,45000
"571",1411,"female",45.789,14,16000
"572",1413,"male",1.65,11,19000
"573",1416,"female",20.731,12,12000
"574",1417,"male",24.893,12,31000
"575",1418,"male",61.57,12,41000
"576",1419,"female",4.111,12,22000
"577",1425,"male",77.186,12,38000
"578",1426,"female",54.506,12,38685
"579",1429,"male",82.219,16,30000
"580",1432,"male",18.811,16,42000
"581",1433,"male",36.667,17,50000
"582",1434,"male",1.985,11,31980
"583",1436,"female",8.681,11,10000
"584",1438,"female",4.199,12,27000
"585",1440,"female",10.283,13,22000
"586",1455,"female",14.511,7,25000
"587",1459,"female",85.258,14,40000
"588",1462,"male",33.171,12,28600
"589",1468,"male",36.634,12,29000
"590",1470,"female",64.514,18,35000
"591",1471,"male",15.586,8,50000
"592",1477,"male",48.936,16,70000
"593",1479,"male",97.372,18,100000
"594",1481,"male",49.641,16,71000
"595",1484,"female",2.513,13,40000
"596",1487,"female",42.852,13,45000
"597",1490,"female",19.642,12,25000
"598",1491,"female",14.083,13,39000
"599",1492,"male",82.535,14,45000
"600",1493,"female",65.038,12,245549
"601",1495,"female",19.342,12,15000
"602",1499,"female",47.406,12,16000
"603",1500,"male",24.715,12,50000
"604",1501,"male",97.458,17,60000
"605",1502,"female",98.242,16,12000
"606",1503,"male",84.661,20,58000
"607",1506,"male",88.937,12,42000
"608",1507,"female",60.833,12,22000
"609",1508,"male",96.289,14,35000
"610",1509,"male",90.493,17,25000
"611",1510,"female",66.956,16,26000
"612",1512,"female",80.758,15,15000
"613",1514,"female",45.16,13,51000
"614",1515,"male",44.773,12,67000
"615",1516,"female",8.674,12,23300
"616",1521,"male",21.457,12,41000
"617",1522,"female",67.176,16,51300
"618",1527,"male",2.099,12,28000
"619",1529,"female",35.947,13,23000
"620",1530,"female",30.909,15,28000
"621",1531,"female",44.428,12,26000
"622",1532,"female",57.544,12,17407
"623",1534,"female",27.174,12,52000
"624",1538,"female",30.59,18,45000
"625",1539,"female",77.51,12,30000
"626",1541,"female",22.337,12,41400
"627",1547,"male",43.214,11,85000
"628",1548,"female",40.716,10,4000
"629",1551,"female",25.797,12,19000
"630",1552,"female",24.669,16,9200
"631",1553,"female",79.584,12,40000
"632",1554,"male",52.176,12,59000
"633",1555,"male",69.185,14,28352
"634",1556,"male",69.556,12,32176
"635",1558,"female",60.233,14,12000
"636",1560,"male",21.06,12,19000
"637",1564,"female",84.972,16,3400
"638",1566,"female",65.249,15,39100
"639",1568,"female",79.707,14,6000
"640",1569,"male",72.895,16,63000
"641",1571,"female",77.537,15,45000
"642",1574,"male",90.317,16,47000
"643",1575,"male",33.184,14,171551
"644",1577,"male",60.11,12,59000
"645",1580,"male",21.756,12,56000
"646",1585,"male",54.802,12,60000
"647",1586,"female",69.894,15,54000
"648",1587,"female",92.892,16,27300
"649",1590,"male",22.782,12,16000
"650",1591,"male",33.418,12,7000
"651",1592,"female",27.228,12,10000
"652",1593,"female",14.232,12,17000
"653",1595,"male",44.794,12,120000
"654",1597,"male",67.922,12,52000
"655",1598,"female",70.988,14,35000
"656",1599,"female",43.417,12,24000
"657",1601,"male",53.921,16,368302
"658",1602,"male",54.571,12,90000
"659",1603,"male",45.157,17,20000
"660",1605,"female",40.773,12,40000
"661",1607,"female",48.83,12,19200
"662",1608,"female",58.11,12,11040
"663",1610,"female",29.107,12,18000
"664",1617,"female",21.965,12,20000
"665",1619,"male",58.937,18,65000
"666",1621,"female",87.899,17,35942
"667",1622,"male",55.357,16,60000
"668",1626,"male",96.046,16,73000
"669",1627,"male",36.485,12,20000
"670",1629,"female",65.439,12,100000
"671",1631,"male",96.226,16,85000
"672",1632,"male",98.63,18,100035
"673",1633,"female",86.213,20,100000
"674",1635,"male",53.399,12,40000
"675",1636,"male",49.697,12,56000
"676",1637,"male",60.861,12,15000
"677",1640,"female",51.871,12,48000
"678",1641,"male",62.029,12,110000
"679",1642,"female",1.532,14,75000
"680",1644,"male",43.409,15,9400
"681",1651,"male",71.136,12,153334
"682",1656,"female",51.885,12,33000
"683",1659,"male",61.986,14,26000
"684",1670,"male",96.168,16,105000
"685",1719,"female",48.05,18,60000
"686",1720,"female",25.265,14,45000
"687",1721,"male",7.672,12,80000
"688",1725,"female",7.182,11,25000
"689",1729,"female",30.508,12,24000
"690",1730,"female",66.596,17,52000
"691",1733,"female",84.465,16,115000
"692",1735,"female",63.611,17,3000
"693",1739,"male",95.901,15,10000
"694",1740,"female",49.857,16,19000
"695",1744,"male",67.544,13,60000
"696",1746,"male",96.851,19,116000
"697",1750,"male",47.189,12,44000
"698",1751,"female",4.888,13,35000
"699",1758,"female",5.654,15,13000
"700",1763,"male",69.733,16,22000
"701",1766,"female",78.662,16,12000
"702",1768,"female",36.71,12,8000
"703",1769,"female",27.375,12,29515
"704",1775,"female",35.079,13,34000
"705",1778,"female",46.099,14,8000
"706",1779,"male",28.861,11,74000
"707",1780,"male",73.734,14,40000
"708",1781,"male",39.081,15,100000
"709",1784,"male",81.518,15,45000
"710",1785,"female",9.875,15,29000
"711",1786,"female",37.054,12,46800
"712",1787,"female",47.805,17,52000
"713",1788,"male",77.653,12,56856
"714",1790,"male",71.533,12,34000
"715",1792,"male",87.518,14,15000
"716",1795,"female",40.415,20,108888
"717",1797,"female",56.703,9,3040
"718",1798,"female",85.903,15,27100
"719",1802,"male",77.562,12,27915
"720",1803,"female",70.548,19,36000
"721",1804,"female",91.449,17,12000
"722",1808,"female",89.408,16,125000
"723",1810,"male",53.687,13,155867
"724",1819,"male",79.036,15,29000
"725",1820,"male",13.65,8,8000
"726",1824,"female",6.023,9,19000
"727",1826,"female",62.879,12,45000
"728",1831,"female",24.374,15,64000
"729",1835,"male",30.175,12,40000
"730",1836,"male",51.237,14,50000
"731",1837,"male",17.492,13,32000
"732",1838,"female",13.046,12,17000
"733",1839,"female",6.12,12,18000
"734",1841,"female",92.678,20,85000
"735",1844,"female",87.281,18,188404
"736",1846,"male",73.252,18,192896
"737",1847,"female",74.288,14,68000
"738",1848,"female",29.189,13,46000
"739",1858,"female",75.798,18,68000
"740",1860,"female",40.414,12,29000
"741",1862,"female",31.547,12,900
"742",1863,"female",61.428,12,20000
"743",1865,"female",27.567,12,28000
"744",1866,"female",42.755,12,25000
"745",1867,"male",89.968,12,52000
"746",1868,"female",35.098,13,26500
"747",1869,"male",26.004,12,14000
"748",1872,"male",18.192,12,35000
"749",1873,"male",16.817,12,22000
"750",1875,"male",90.923,18,130000
"751",1878,"female",29.321,12,8000
"752",1880,"female",88.272,20,30000
"753",1881,"male",42.474,12,40000
"754",1884,"male",42.428,12,12500
"755",1885,"female",65.232,16,35000
"756",1887,"male",9.128,12,11000
"757",1889,"male",42.279,13,35675
"758",1890,"male",13.298,12,18000
"759",1891,"male",46.449,12,26800
"760",1895,"male",84.709,14,83000
"761",1896,"female",85.085,18,28000
"762",1899,"male",24.004,12,32000
"763",1902,"female",48.953,12,40574
"764",1904,"female",86.141,12,26000
"765",1905,"female",58.233,12,45000
"766",1906,"female",97.146,18,25000
"767",1910,"male",55.765,12,55000
"768",1912,"female",49.375,14,25000
"769",1913,"female",41.544,14,14103
"770",1914,"male",95.324,19,48000
"771",1916,"male",66.692,19,74481
"772",1917,"male",27.775,12,48000
"773",1918,"male",74.519,12,68000
"774",1920,"male",57.75,14,2000
"775",1924,"male",39.286,16,65000
"776",1925,"male",66.523,12,44000
"777",1926,"female",31.904,12,16000
"778",1927,"female",53.586,12,21455
"779",1929,"female",95.734,14,81000
"780",1930,"male",95.174,16,45000
"781",1944,"male",82.351,14,86000
"782",1947,"female",41.857,12,16000
"783",1950,"male",63.15,16,22000
"784",1951,"female",45.219,18,42000
"785",1952,"male",46.049,17,85000
"786",1953,"female",87.413,19,24000
"787",1954,"female",87.743,16,4000
"788",1955,"male",79.36,14,60000
"789",1957,"male",10.797,12,47000
"790",1958,"male",79.33,15,45000
"791",1959,"male",29.263,12,36000
"792",1961,"male",48.541,12,100000
"793",1962,"female",10.28,12,25000
"794",1963,"male",63.4,12,67000
"795",1964,"male",29.838,12,30000
"796",1965,"female",52.187,12,25000
"797",1966,"male",85.623,12,42000
"798",1967,"female",61.486,16,40000
"799",1971,"male",51.182,12,65000
