"","Rank","Country","PerCapitaGDP"
"196",196,"Bangladesh",1700
"197",197,"Lesotho",1700
"198",198,"Chad",1600
"199",199,"Kenya",1600
"200",200,"Benin",1500
"201",201,"Zambia",1500
"202",202,"Tanzania",1400
"203",203,"Burma",1400
"204",204,"Uganda",1300
"205",205,"Nepal",1200
"206",206,"Burkina Faso",1200
"207",207,"Haiti",1200
"208",208,"Mali",1200
"209",209,"Rwanda",1100
"210",210,"Guinea-Bissau",1100
"211",211,"Mozambique",1000
"212",212,"Comoros",1000
"213",213,"Ethiopia",1000
"214",214,"Guinea",1000
"215",215,"Tokelau",1000
"216",216,"Togo",900
"217",217,"Afghanistan",900
"218",218,"Madagascar",900
"219",219,"Sierra Leone",900
"220",220,"Malawi",800
"221",221,"Central African Republic",700
"222",222,"Niger",700
"223",223,"Eritrea",600
"224",224,"Somalia",600
"225",225,"Zimbabwe",500
"226",226,"Liberia",500
"227",227,"Congo, Democratic Republic of the",300
"228",228,"Burundi",300
