"","Gender","Arith","Word","Parag","Math","AFQT"
"67","male",10,11,7,7,10.8
"68","female",12,26,15,6,44.2
"69","female",15,19,11,9,33.6
"70","female",28,29,14,18,77.3
"71","male",11,29,13,9,44.7
"72","female",23,31,12,16,61.1
"73","female",10,12,3,8,8.5
"74","female",15,30,13,10,58.3
"75","female",15,27,9,7,26.6
"76","female",9,22,11,9,18.2
"77","female",16,31,11,12,56.7
"78","female",6,12,8,6,5.7
"79","female",25,35,14,17,79.8
"80","female",20,29,12,10,62.4
"81","female",24,34,15,13,85
"82","female",18,23,10,12,29.9
"83","female",25,33,13,13,62.7
"84","female",11,26,9,9,27.4
"85","female",20,22,13,14,61.7
"86","female",20,34,14,13,63.9
"87","female",21,29,12,15,58.4
"88","female",14,32,12,8,50.7
"89","female",9,29,11,10,44.9
"90","female",7,13,5,2,1.3
"91","female",15,26,11,11,40.7
"92","female",24,35,14,19,87.7
"93","female",30,26,14,22,89.3
"94","female",12,29,12,10,51.6
"95","female",14,28,12,11,37.7
"96","female",30,32,12,20,68.9
"97","female",21,27,14,20,69.2
"98","male",0,0,0,0,0
"99","male",15,30,10,8,33.6
"100","male",26,28,14,17,77.6
"101","female",13,26,12,10,39
"102","female",16,22,6,8,26.8
"103","female",15,31,12,10,44.3
"104","female",24,34,14,17,73.8
"105","female",16,30,15,7,55.2
"106","male",14,32,10,11,33.7
"107","male",8,9,6,7,6.4
"108","female",13,34,13,6,50.4
"109","female",11,16,7,6,17.1
"110","female",14,16,9,9,28.4
"111","female",10,16,8,2,8.2
"112","female",20,27,14,20,75
"113","female",25,32,13,22,80.7
"114","male",12,15,8,9,16.2
"115","female",15,14,6,7,23.2
"116","male",8,8,4,8,6.6
"117","female",7,23,5,6,14.4
"118","male",16,32,13,16,67
"119","male",28,28,12,24,73.3
"120","female",21,32,14,17,63.9
"121","female",19,29,14,9,55
"122","female",15,32,13,6,42.2
"123","female",7,14,6,5,7.4
"124","female",8,15,6,6,6.8
"125","female",22,32,14,20,77.2
"126","female",7,12,4,5,2.5
"127","female",21,28,13,16,59.1
"128","female",17,35,15,16,79.7
"129","female",24,34,14,24,91.2
"130","female",8,10,8,9,13.1
"131","female",7,9,3,6,2.1
"132","female",8,29,8,10,21.3
"133","female",14,33,12,9,50.8
"134","male",10,8,5,10,15.4
"135","female",26,32,15,18,84.6
"136","male",12,30,11,12,48.2
"137","female",9,18,9,11,30.7
"138","female",18,34,13,19,81.8
"139","male",26,29,14,16,70.1
"140","male",21,29,13,17,72.3
"141","male",13,31,11,10,42.7
"142","female",13,16,12,10,32.4
"143","female",19,29,13,17,58.5
"144","female",23,33,13,14,76.7
"145","female",21,27,13,15,58.2
"146","female",8,13,4,5,4.9
"147","female",19,31,15,22,81.3
"148","female",11,21,11,10,29.7
"149","male",27,35,13,25,93.4
"150","male",16,24,9,7,33.4
"151","female",22,30,14,8,52.9
"152","female",18,33,11,19,54.6
"153","female",17,25,11,9,37.1
"154","female",16,24,11,10,35.2
"155","female",23,31,14,10,76.5
"156","female",6,9,4,5,1.3
"157","female",8,12,6,7,6.1
"158","female",9,13,6,3,8.8
"159","female",19,23,13,19,68.5
"160","female",15,23,4,12,32.8
"161","female",19,27,14,17,72.4
"162","female",11,27,9,7,18.9
"163","male",30,29,13,24,72.3
"164","female",24,30,14,23,88.3
"165","male",25,33,14,18,80.9
"166","male",10,18,6,2,12.8
"167","female",14,27,11,11,36.7
"168","female",21,23,12,13,46.1
"169","male",11,27,1,4,13.7
"170","female",15,27,12,9,29.3
"171","female",6,14,6,9,13
"172","female",26,34,12,20,77.6
"173","male",10,10,4,5,4
"174","female",8,11,6,7,8
"175","female",15,25,13,13,49.7
"176","male",13,26,9,11,41.5
"177","female",0,0,0,0,0
"178","female",21,31,9,18,65.4
"179","male",7,26,5,8,21
"180","female",12,31,9,12,49.7
"181","female",12,29,11,16,56.3
"182","female",16,31,14,12,67.3
"183","female",12,21,7,8,20.1
"184","female",5,7,2,6,0.8
"185","female",14,16,12,10,32.9
"186","female",21,24,15,15,59
"187","male",10,6,3,3,3.7
"188","female",8,15,9,5,8.6
"189","female",24,35,14,19,85.9
"190","female",21,19,10,13,45.1
"191","male",7,30,12,5,31
"192","female",12,20,6,7,19.9
"193","female",11,29,10,10,41.2
"194","female",16,25,5,13,39.7
"195","female",11,32,14,8,54.5
"196","female",6,14,4,12,13.3
"197","female",9,21,10,5,11.8
"198","female",13,31,11,15,49.4
"199","female",30,33,15,23,93.3
"200","female",11,25,10,7,31
"201","female",25,28,14,18,60.3
"202","female",17,30,11,8,36.6
"203","female",18,30,12,12,55.9
"204","female",17,26,15,14,69.5
"205","female",11,24,13,7,38.5
"206","male",16,25,12,10,38.3
"207","female",28,32,10,21,76.7
"208","female",8,7,3,6,2.3
"209","female",9,25,13,5,24.7
"210","female",28,33,14,19,86.6
"211","female",13,14,10,10,31.4
"212","male",12,26,13,8,43.4
"213","male",11,12,5,9,12.4
"214","female",23,34,12,15,66
"215","male",9,12,9,5,8.5
"216","female",8,18,8,3,9.1
"217","male",7,15,9,6,10.3
"218","male",21,29,11,11,59.5
"219","male",4,21,8,4,10.6
"220","female",14,25,13,11,34.6
"221","male",10,17,8,8,13.8
"222","male",16,31,12,13,62.6
"223","female",20,27,14,18,62.7
"224","male",15,32,6,7,32.9
"225","female",30,29,12,25,85.9
"226","male",30,35,14,24,99.2
"227","male",24,29,13,21,79.3
"228","female",9,10,5,8,8.7
"229","female",14,17,9,7,27.2
"230","male",30,32,15,25,95.9
"231","female",10,10,7,5,9.6
"232","female",14,23,6,7,19.7
"233","female",14,25,9,8,30.4
"234","female",14,20,9,10,28
"235","female",29,35,13,22,87.7
"236","female",19,26,9,20,59.7
"237","male",17,25,9,11,32.2
"238","female",13,26,13,9,39.2
"239","female",28,33,13,22,93.7
"240","female",10,24,13,7,26.4
"241","female",16,26,14,6,53.7
"242","female",18,34,13,9,60.7
"243","female",18,33,14,19,74.5
"244","male",12,29,6,9,22
"245","female",14,18,5,5,17.5
"246","female",16,29,13,5,34.4
"247","female",8,22,8,8,20.1
"248","male",15,23,10,15,46.9
"249","male",17,25,9,7,24.6
"250","female",20,35,15,18,79.2
"251","female",8,15,4,6,4
"252","female",4,19,6,9,9.8
"253","female",8,13,9,8,14.7
"254","female",27,34,14,24,96.2
"255","female",28,34,14,22,91.9
"256","female",6,16,8,9,18.3
"257","female",29,25,15,24,87
"258","female",30,33,13,21,84.3
"259","female",11,28,11,12,47.1
"260","female",14,31,13,16,60.4
"261","male",19,29,9,11,38.3
"262","female",21,34,14,18,81.3
"263","female",11,17,6,8,14.3
"264","male",7,12,4,9,9.1
"265","female",11,23,12,8,34.9
"266","female",9,21,10,7,13.7
"267","female",23,33,13,18,65.8
"268","female",28,33,13,23,86.3
"269","female",10,22,10,8,27.6
"270","female",21,32,13,13,57.3
"271","female",17,29,13,15,57.5
"272","female",7,18,5,4,4.2
"273","female",6,16,3,7,6.1
"274","female",24,26,13,20,73
"275","female",16,33,13,11,58.1
"276","female",12,21,11,7,24.8
"277","female",19,25,14,9,45.7
"278","female",25,34,14,10,75.3
"279","female",12,15,7,7,14.2
"280","male",8,22,6,11,23
"281","female",15,28,11,8,30.8
"282","male",7,31,13,7,27.7
"283","female",10,23,10,9,22.5
"284","female",12,33,14,12,62.2
"285","female",29,33,14,24,91
"286","female",29,30,12,25,85.8
"287","female",9,18,7,7,8.2
"288","male",15,22,14,12,48.8
"289","male",15,30,10,8,33
"290","male",7,7,2,6,1
"291","female",12,19,10,6,15
"292","female",10,13,11,8,20.7
"293","female",29,32,14,24,98.2
"294","female",27,21,12,10,60.2
"295","female",25,34,13,22,78.7
"296","female",29,34,14,20,91.4
"297","female",15,25,12,6,35.1
"298","male",21,34,14,19,75.4
"299","female",17,24,10,13,37.2
"300","female",9,27,12,7,26.6
"301","male",10,14,0,2,5.5
"302","female",28,35,15,18,92.5
"303","female",29,35,15,24,99.5
"304","female",24,32,12,14,50.9
"305","female",20,28,11,17,65.4
"306","female",5,11,5,5,3
"307","female",9,11,8,10,17
"308","female",16,20,8,9,23.5
"309","male",7,19,6,5,11
"310","female",15,24,12,14,53.9
"311","female",6,17,9,7,13.3
"312","female",29,35,13,18,87.1
"313","female",23,32,14,13,83.9
"314","female",9,7,6,7,5.3
"315","female",10,29,12,14,45.4
"316","female",5,11,2,6,1.8
"317","male",11,28,12,6,42.4
"318","female",25,33,13,18,79.7
"319","female",10,20,9,4,9.1
"320","male",11,20,8,10,29.2
"321","female",9,8,10,5,8.8
"322","female",18,31,13,10,62.9
"323","female",4,17,5,5,3.2
"324","male",12,25,6,15,54.6
"325","female",6,16,5,5,5.7
"326","male",15,21,13,12,42.7
"327","female",8,17,12,6,18.6
"328","female",14,21,13,9,41.4
"329","male",30,34,13,25,93.4
"330","female",14,22,11,17,48.5
"331","female",14,19,9,8,21.1
"332","female",14,19,9,4,44.3
"333","female",24,32,13,19,80
"334","female",11,19,4,3,12.6
"335","male",19,25,6,15,36
"336","female",20,24,12,15,60.8
"337","female",16,34,13,10,63.8
"338","male",6,10,4,5,1.7
"339","female",11,12,3,7,6.2
"340","female",4,7,5,9,7.2
"341","male",11,13,2,5,5
"342","male",26,30,12,16,56.3
"343","female",25,27,14,24,85.4
"344","female",19,30,13,9,47.6
"345","male",15,25,6,4,26
"346","female",17,33,13,9,55.7
"347","female",7,8,5,3,1.9
"348","female",0,0,0,0,0
"349","female",8,15,11,5,18.7
"350","male",10,32,12,5,50.2
"351","female",12,28,13,6,34.2
"352","male",18,31,14,14,71.7
"353","female",14,28,13,14,62.5
"354","female",8,17,10,4,13.2
"355","female",19,24,11,16,55.3
"356","female",14,21,11,10,37.7
"357","female",22,30,13,13,56
"358","female",12,34,13,11,60.5
"359","female",16,31,13,14,48.7
"360","female",15,24,8,9,41.5
"361","female",7,11,3,6,2.1
"362","female",25,35,14,21,85.3
"363","female",18,24,12,9,39.4
"364","male",24,32,15,13,85.9
"365","female",7,22,11,4,12
"366","female",13,32,14,15,64.2
"367","female",22,31,12,15,72.1
"368","female",14,23,14,9,42.4
"369","female",30,34,14,25,98.8
"370","female",15,26,14,18,58.4
"371","male",14,25,13,10,55.5
"372","male",13,33,12,15,59.1
"373","female",8,8,2,5,1.6
"374","female",11,24,11,6,19.3
"375","female",29,33,12,19,80.8
"376","male",24,25,12,13,60.9
"377","male",26,32,13,20,87.5
"378","female",10,22,7,8,20.5
"379","male",7,16,1,7,5
"380","female",11,15,9,9,21.9
"381","female",14,14,10,12,35.1
"382","male",20,29,13,14,57.5
"383","female",27,31,13,24,86
"384","male",9,22,12,12,36.4
"385","female",11,31,10,6,29.4
"386","female",19,25,11,16,45.5
"387","female",8,14,8,9,11.3
"388","female",20,35,14,17,86.5
"389","female",20,23,14,12,53.1
"390","female",7,13,10,8,20.1
"391","female",17,31,11,22,60.4
"392","male",14,23,9,12,35.3
"393","female",17,29,11,9,46.7
"394","female",15,30,11,18,63
"395","male",30,32,13,22,83.8
"396","female",24,34,15,19,83.3
"397","male",11,15,8,8,13.2
"398","male",25,29,7,17,45.7
"399","female",25,33,14,23,86.5
"400","male",8,28,11,2,17.8
"401","female",22,33,12,14,62.9
"402","male",29,34,15,23,97.9
"403","male",9,15,4,9,14.1
"404","female",22,33,15,17,77.7
"405","female",4,11,7,7,9.3
"406","male",12,31,12,6,44
"407","female",27,35,14,24,92.3
"408","male",10,25,9,9,27.1
"409","female",27,32,11,18,75.9
"410","female",15,28,12,8,37.6
"411","female",15,29,13,18,69.2
"412","female",22,26,13,16,64.7
"413","male",29,35,13,23,86.6
"414","male",10,20,7,7,18.2
"415","female",14,21,11,9,41
"416","female",22,30,14,16,63.6
"417","female",9,28,11,6,19.5
"418","male",7,9,5,5,3.7
"419","female",20,26,14,18,54.3
"420","male",9,20,4,2,8.1
"421","male",26,35,13,21,85.7
"422","female",15,32,10,12,45.8
"423","female",16,27,15,13,47.4
"424","male",10,21,10,7,22.8
"425","female",12,25,14,6,31.9
"426","female",15,26,11,10,41.9
"427","female",18,28,9,12,30.6
"428","female",23,33,11,11,56.9
"429","female",20,34,13,19,81.9
"430","female",11,23,10,5,18.2
"431","male",10,31,10,12,32.8
"432","male",17,28,10,12,45.7
"433","female",19,29,14,16,68.6
"434","female",14,26,12,7,33.4
"435","male",18,18,4,5,18.7
"436","female",14,24,14,15,63.7
"437","female",17,21,10,9,35.7
"438","female",11,33,10,5,28
"439","female",14,34,13,9,52.2
"440","female",14,18,9,5,16.9
"441","male",10,28,13,13,42.9
"442","female",16,29,12,8,51.1
"443","female",3,4,4,4,0.9
"444","female",15,20,9,11,34.1
"445","female",10,30,10,6,28.8
"446","female",27,33,13,24,93.7
"447","female",12,35,13,11,63.8
"448","male",9,5,5,8,12.5
"449","female",11,16,6,9,17.1
"450","female",12,14,9,9,26.4
"451","female",15,27,12,14,31.4
"452","female",10,24,9,7,14.2
"453","female",6,15,11,7,13
"454","male",26,30,12,17,60
"455","female",17,33,12,19,76.1
"456","female",12,9,8,7,16.6
"457","female",17,22,12,9,42
"458","female",16,23,13,17,47.1
"459","female",11,34,13,6,43.4
"460","female",7,8,6,7,4.9
"461","female",10,32,13,13,63.2
"462","female",6,31,13,11,45.1
"463","male",25,28,12,23,59.1
"464","female",15,14,15,18,57.5
"465","male",13,10,7,7,11.4
"466","female",14,31,12,10,49.7
"467","male",12,20,10,11,22.4
"468","female",14,31,13,6,41.1
"469","female",10,25,10,13,29.1
"470","female",12,11,3,4,6.1
"471","male",7,13,9,4,13.3
"472","female",10,24,12,5,23
"473","male",12,7,8,1,9.3
"474","female",15,24,4,6,25.7
"475","female",20,30,13,11,56.2
"476","female",7,26,13,4,19.5
"477","female",14,27,14,8,42.7
"478","female",30,32,15,25,94.3
"479","female",22,34,14,18,79.1
"480","female",7,24,6,10,21.7
"481","female",15,17,6,10,29.7
"482","female",14,18,10,14,34.9
"483","male",9,15,6,8,13.3
"484","male",7,16,1,4,1.6
"485","male",30,34,15,24,98.7
"486","male",6,20,7,5,9.6
"487","male",7,6,3,9,4.9
"488","female",22,23,8,23,63.7
"489","female",7,25,13,7,26.9
"490","female",29,35,14,21,93.2
"491","male",4,7,6,7,4.1
"492","male",11,8,5,12,34.3
"493","female",17,26,11,6,25.8
"494","male",18,23,10,19,53
"495","female",10,24,12,11,32.8
"496","female",13,23,13,13,43.1
"497","female",14,35,12,13,63.2
"498","male",24,29,15,19,85.7
"499","male",8,22,1,4,7.4
"500","female",16,28,11,6,41.8
"501","male",14,27,8,11,47.4
"502","female",9,11,7,6,11.1
"503","male",7,11,6,5,1.7
"504","female",9,29,11,9,25.8
"505","male",18,19,9,4,21.1
"506","female",12,31,14,12,49.9
"507","female",8,10,5,7,6
"508","female",24,29,13,18,70.6
"509","male",22,30,14,9,72.2
"510","female",10,10,2,5,4.6
"511","female",27,31,12,21,82.6
"512","female",8,7,5,7,6.8
"513","female",22,27,13,18,61.7
"514","female",23,31,11,10,48.8
"515","female",8,22,10,12,25.2
"516","female",28,34,15,24,97.1
"517","female",13,29,8,6,25.3
"518","female",23,32,13,16,77
"519","female",28,33,12,22,78.6
"520","female",14,23,6,2,22.4
"521","female",11,21,9,4,24.5
"522","male",15,23,3,10,34.7
"523","female",28,35,13,22,89.9
"524","female",28,33,15,24,95.5
"525","female",14,13,4,7,13.8
"526","male",11,23,10,6,33.2
"527","male",13,12,5,5,8.6
"528","male",14,19,5,9,26.7
"529","female",16,34,15,21,78.5
"530","female",10,12,7,7,11.9
"531","male",12,22,10,11,39
"532","female",15,24,9,13,36.9
"533","male",27,33,13,23,82.2
"534","female",8,22,9,14,34.9
"535","male",13,29,11,12,51
"536","male",18,28,14,10,45.2
"537","female",13,27,9,5,22
"538","male",15,22,10,7,36.5
"539","female",20,31,15,10,61.4
"540","male",19,31,13,13,72.8
"541","male",9,16,4,3,6.9
"542","female",7,11,3,9,9.4
"543","female",23,33,13,10,62.3
"544","female",5,14,9,14,38.3
"545","male",7,10,5,6,4.1
"546","female",7,23,5,9,17.9
"547","female",15,33,12,19,52.5
"548","male",10,16,6,13,21.3
"549","female",9,14,7,11,20.3
"550","female",21,21,10,11,44.8
"551","female",11,17,4,11,16.4
"552","male",27,34,14,24,93.6
"553","male",28,35,13,18,91.2
"554","female",18,22,13,11,43.4
"555","female",10,24,11,9,30.6
"556","male",14,29,14,19,67
"557","male",21,28,10,16,45.2
"558","male",17,30,9,9,39.2
"559","female",17,32,14,13,51.4
"560","female",15,29,9,8,44.9
"561","female",6,19,6,10,15.9
"562","male",26,30,11,22,73.8
"563","female",26,32,15,10,75.3
"564","female",28,30,13,23,72.4
"565","female",14,25,7,13,28.6
"566","male",27,34,10,21,75.7
"567","female",11,17,10,8,21
"568","female",7,18,8,7,11.3
"569","male",10,7,5,7,8.3
"570","male",22,34,13,17,86.8
"571","female",6,18,0,0,1.4
"572","male",15,22,4,4,16.5
"573","male",7,21,10,10,23.2
"574","female",21,31,14,22,70
"575","female",18,26,12,12,37.1
"576","female",8,18,8,8,11.8
"577","female",8,23,9,8,22.7
"578","female",19,29,12,6,45.6
"579","female",10,29,12,15,42.8
"580","female",18,32,11,19,73.4
"581","female",12,18,11,8,31.8
"582","male",10,11,9,7,10.4
"583","male",9,17,6,7,16.6
"584","female",11,7,3,5,12.6
"585","male",7,12,2,5,1.1
"586","female",25,35,12,12,64.8
"587","male",27,28,9,20,70.6
"588","male",28,33,13,18,82
"589","female",9,14,6,6,10.7
"590","female",10,22,13,12,40.3
"591","female",19,31,12,19,78.1
"592","female",9,28,10,12,31.3
"593","male",12,24,7,4,19.2
"594","female",17,22,14,12,53.6
"595","male",4,11,7,3,1.6
"596","female",19,16,13,12,52.9
"597","male",24,30,13,14,75
"598","female",11,25,14,9,52.6
"599","male",16,24,12,12,58.2
"600","female",19,29,15,17,71.5
"601","female",25,35,13,19,81
"602","female",20,28,12,20,70.5
"603","female",13,21,5,9,24.7
"604","female",12,32,11,11,51
"605","female",9,7,5,6,4.1
"606","female",8,15,7,7,10.3
"607","female",13,31,14,11,60.8
"608","male",19,30,13,21,69.7
"609","male",10,20,5,5,16.8
"610","male",15,34,11,19,63.2
"611","female",26,33,14,21,85.9
"612","male",27,29,14,13,73.9
"613","male",13,14,7,8,19.5
"614","male",8,21,7,3,7.2
"615","female",11,28,10,7,30.4
"616","female",16,25,12,8,32.8
"617","female",17,25,11,17,65.3
"618","male",12,15,9,7,16.1
"619","male",7,20,4,6,9.2
"620","female",24,35,14,19,87.2
"621","female",5,14,6,3,1.8
"622","female",11,23,10,14,38.2
"623","male",9,14,6,6,11.9
"624","male",15,32,12,11,58.6
"625","male",27,33,10,19,68.3
"626","female",27,35,15,20,93.7
"627","female",12,26,9,9,34.1
"628","female",18,26,13,7,38.6
"629","male",11,17,5,8,22.1
"630","male",6,7,5,8,7.1
"631","female",22,29,13,19,74.7
"632","male",13,19,6,5,21.7
"633","female",18,14,7,11,31.7
"634","male",23,32,13,17,72
"635","female",8,24,11,10,39.4
"636","male",22,28,14,15,65.5
"637","female",11,29,13,8,42.2
"638","female",7,10,9,8,10.8
"639","female",14,22,12,14,39.1
"640","female",11,15,10,7,14.7
"641","female",17,24,6,9,26.9
"642","male",11,23,8,10,25.3
"643","female",12,29,11,10,43.5
"644","male",11,11,4,7,10.4
"645","female",14,23,15,15,56.8
"646","female",13,27,12,7,41.6
"647","male",19,21,13,7,34.2
"648","female",12,10,6,7,12.7
"649","male",16,20,7,10,34.1
"650","female",12,27,12,7,35.9
"651","female",20,28,13,15,69.9
"652","male",24,32,13,20,78.9
"653","female",22,21,11,19,40
"654","male",7,4,3,6,2.4
"655","female",19,32,13,16,68.1
"656","male",25,34,11,23,73.7
"657","female",15,28,10,18,53.7
"658","male",14,23,9,8,32.6
"659","female",19,35,13,11,73.8
"660","male",27,27,12,17,57.5
"661","female",7,21,7,6,8.7
"662","male",27,25,13,20,66.5
"663","male",5,9,4,8,6.3
"664","female",10,21,12,10,30.1
"665","female",24,19,12,20,63.7
"666","female",29,32,13,21,71.1
"667","female",21,29,12,16,57.8
"668","female",18,29,13,12,45.1
"669","female",19,25,11,21,64.1
"670","female",6,17,11,8,15.6
"671","male",13,33,13,9,51.1
"672","male",14,24,9,9,29.1
"673","male",26,30,11,14,68.4
"674","female",24,35,13,22,81.4
"675","female",20,31,12,14,43.4
"676","female",20,17,11,8,30.5
"677","female",26,32,13,20,87.4
"678","female",10,16,5,6,27.2
"679","female",10,29,14,9,41.5
"680","male",10,31,13,8,37.9
"681","female",28,32,14,22,88.4
"682","male",10,23,9,7,21.4
"683","male",6,12,6,9,12.3
"684","female",10,28,13,9,28.1
"685","female",19,29,14,21,82.2
"686","female",8,11,5,10,10.5
"687","female",7,19,6,6,6.9
"688","female",19,33,13,15,74.2
"689","male",15,32,13,10,54.6
"690","male",14,21,10,7,31.8
"691","male",24,29,13,16,66.4
"692","male",17,22,11,11,36.4
"693","female",21,28,8,14,45.1
"694","male",22,27,13,16,46.7
"695","female",6,15,7,8,10.2
"696","female",20,34,12,11,59.9
"697","male",27,34,14,23,97.1
"698","female",13,30,12,8,37.3
"699","male",8,20,7,6,16.9
"700","female",12,16,7,1,10.6
"701","female",10,15,7,5,14.2
"702","female",11,21,12,6,28
"703","female",23,33,14,19,83.2
"704","male",23,34,11,13,61.3
"705","male",27,30,12,25,84.4
"706","female",13,18,11,8,17.5
"707","female",13,17,4,11,24.3
"708","female",12,28,13,13,48.8
"709","male",29,34,12,24,81.9
"710","female",20,31,14,13,63.8
"711","female",29,34,14,23,92.5
"712","female",29,30,13,23,81.9
"713","male",8,18,7,4,12.4
"714","female",28,34,14,19,92.9
"715","female",20,35,15,10,79
"716","female",10,21,9,11,25.7
"717","male",9,8,5,8,9.1
"718","female",12,24,11,6,26.8
"719","female",15,34,13,8,55.6
"720","female",10,19,10,8,25.3
"721","female",26,32,13,19,83.7
"722","female",22,30,11,9,41.4
"723","male",25,29,15,24,91.2
"724","male",7,9,4,7,4.9
"725","male",20,27,13,12,39.2
"726","female",11,20,10,11,20.3
"727","male",14,27,9,8,27.9
"728","female",8,15,10,9,14.5
"729","female",7,17,7,9,19.6
"730","male",28,35,15,15,90.5
"731","female",7,16,8,5,7.2
"732","female",21,22,12,11,42.8
"733","female",29,34,14,25,97.1
"734","female",12,30,10,16,49.4
"735","female",8,16,9,7,10.3
"736","female",16,26,13,15,52.2
"737","female",10,29,14,14,60
"738","female",19,30,14,14,70.2
"739","female",16,32,14,16,78.1
"740","male",15,20,10,4,23.7
"741","female",15,32,12,10,49.8
"742","male",18,29,13,18,69.5
"743","male",12,23,9,10,30.2
"744","male",29,32,13,24,76.8
"745","male",30,32,13,18,82
"746","male",20,31,13,13,57.7
"747","male",12,17,5,7,13.4
"748","female",8,14,3,9,8.1
"749","male",10,23,6,8,24.3
"750","female",7,17,7,7,10.2
"751","male",15,25,10,11,58.9
"752","female",24,33,13,23,87.5
"753","female",15,33,11,18,56.1
"754","male",15,14,7,9,18
"755","female",7,26,7,9,27.6
"756","male",28,25,12,16,62.6
"757","female",24,33,12,13,64.9
"758","male",30,30,13,25,91.4
"759","male",23,28,9,18,68.1
"760","female",15,32,12,13,57.9
"761","male",22,34,15,13,79.9
"762","female",11,23,9,11,28.6
"763","female",17,22,12,13,42.4
"764","female",13,22,9,4,21.4
"765","female",4,18,10,8,22.2
"766","female",18,23,10,10,35.8
"767","female",4,9,3,6,1.3
"768","female",15,22,13,7,49.2
"769","female",13,22,12,10,34.1
"770","female",18,34,13,19,79
"771","female",19,26,12,16,69.4
"772","female",12,19,8,8,23.9
"773","female",21,19,15,20,77.2
"774","male",20,27,14,20,70.5
"775","female",18,31,14,16,75.7
"776","female",24,31,15,20,83.4
"777","male",11,12,4,8,15.3
"778","male",30,35,15,25,99.5
"779","male",26,25,11,19,82.9
"780","female",12,26,13,11,39.6
"781","male",7,29,12,9,26.8
"782","male",12,11,4,8,13.7
"783","female",30,33,13,23,87.6
"784","male",9,10,4,6,6.2
"785","female",20,31,12,22,80.5
"786","female",9,23,10,6,16.2
"787","female",11,17,9,6,20.1
"788","female",14,26,11,17,60.4
"789","male",15,25,8,11,29
"790","male",9,17,8,7,13.4
"791","female",23,24,13,15,67
"792","female",21,18,11,17,44.4
"793","male",22,26,10,16,62
"794","female",27,30,15,23,86.1
"795","female",26,32,12,22,63.3
"796","male",8,20,9,8,23.8
"797","female",29,35,15,19,94.9
"798","male",13,13,5,3,9.5
"799","female",26,31,14,22,96.7
"800","male",11,33,13,16,65.8
"801","female",7,14,5,6,6.7
"802","male",27,35,13,22,92.1
"803","male",17,24,11,10,51.8
"804","male",26,29,14,15,74.9
"805","female",12,18,6,6,14.1
"806","female",8,17,8,9,18.3
"807","female",12,31,13,12,38.7
"808","female",24,33,14,22,92.2
"809","male",25,20,13,8,51
"810","female",3,17,3,5,1.2
"811","female",17,26,13,16,65.8
"812","male",30,34,13,24,90.9
"813","female",7,18,8,13,29.2
"814","female",13,21,9,5,23.7
"815","male",18,27,11,12,41.1
"816","female",18,24,12,19,55.1
"817","female",7,8,4,4,0.8
"818","female",6,19,8,7,18.2
"819","female",11,17,7,8,20.9
"820","female",24,30,12,13,61.7
"821","female",22,35,14,12,80.9
"822","male",26,35,15,23,98.3
"823","female",12,28,12,11,35.1
"824","male",20,33,14,16,66
"825","female",16,25,12,17,48
"826","male",25,35,12,15,71.9
"827","male",23,25,12,10,46.4
"828","female",19,22,14,15,67.6
"829","female",23,33,15,24,88.7
