"","Sex","Background","Score"
"227","male","b",11
"228","male","b",15
"229","male","b",15
"230","male","b",13
"231","male","b",7
"232","male","b",17
"233","male","b",20
"234","male","b",15
"235","male","b",16
"236","male","b",10
"237","male","b",22
"238","male","b",17
"239","male","b",16
"240","male","b",14
"241","male","b",17
"242","male","b",16
"243","male","b",17
"244","male","b",13
"245","male","b",16
"246","male","b",22
"247","male","b",14
"248","male","b",15
"249","male","b",18
"250","male","b",20
"251","male","b",17
"252","male","b",17
"253","male","b",18
"254","male","b",20
"255","male","b",15
"256","male","b",22
"257","male","b",26
"258","male","b",14
"259","male","b",27
"260","male","b",13
"261","male","b",14
"262","male","b",16
"263","male","b",13
"264","male","b",14
"265","male","b",5
"266","male","b",13
"267","male","b",20
"268","male","b",19
"269","male","b",18
"270","male","b",23
"271","male","b",6
"272","male","b",11
"273","male","b",18
"274","male","b",15
"275","male","b",12
"276","male","b",15
"277","male","b",24
"278","male","b",19
"279","male","b",12
"280","male","b",18
"281","male","b",14
"282","male","b",11
"283","male","b",11
"284","male","b",11
"285","male","b",17
"286","male","b",10
"287","male","b",26
"288","male","b",15
"289","male","b",9
"290","male","b",11
"291","male","b",10
"292","male","b",20
"293","male","b",12
"294","male","b",10
"295","male","b",21
"296","male","b",15
"297","male","b",28
"298","male","b",18
"299","male","b",19
"300","male","b",8
"301","male","b",20
"302","male","b",23
"303","male","b",20
"304","male","b",16
"305","male","b",14
"306","male","b",17
"307","male","b",18
"308","male","b",17
"309","male","b",5
"310","male","b",13
"311","male","b",7
"312","male","b",11
"313","male","b",19
"314","male","b",8
"315","male","b",2
"316","male","b",14
"317","male","b",15
"318","male","b",18
"319","male","b",10
"320","male","b",21
"321","male","b",24
"322","male","b",7
"323","male","b",19
"324","male","b",24
"325","male","b",13
"326","male","b",21
"327","male","b",16
"328","male","b",14
"329","male","b",17
"330","male","b",14
"331","male","b",11
"332","male","b",10
"333","male","b",21
"334","male","b",13
"335","male","b",29
"336","male","b",15
"337","male","b",15
"338","male","b",20
"339","male","b",23
"340","male","b",16
"341","male","b",17
"342","male","b",14
"343","male","b",22
"344","male","b",12
"345","male","b",20
"346","male","b",28
"347","male","b",15
"348","male","b",12
"349","male","b",26
"350","male","b",18
"351","male","b",22
"352","male","b",19
"353","male","b",15
"354","female","b",12
"355","female","b",15
"356","female","b",14
"357","female","b",15
"358","female","b",20
"359","female","b",21
"360","female","b",21
"361","female","b",13
"362","female","b",7
"363","female","b",11
"364","female","b",13
"365","female","b",16
"366","female","b",10
"367","female","b",25
"368","female","b",13
"369","female","b",13
"370","female","b",6
"371","female","b",19
"372","female","b",8
"373","female","b",7
"374","female","b",3
"375","female","b",22
"376","female","b",18
"377","female","b",19
"378","female","b",14
"379","female","b",22
"380","female","b",11
"381","female","b",20
"382","female","b",11
"383","female","b",14
"384","female","b",24
"385","female","b",16
"386","female","b",15
"387","female","b",24
"388","female","b",18
"389","female","b",9
"390","female","b",22
"391","female","b",11
"392","female","b",12
"393","female","b",16
"394","female","b",14
"395","female","b",16
"396","female","b",14
"397","female","b",21
"398","female","b",13
"399","female","b",17
"400","female","b",9
"401","female","b",15
"402","female","b",17
"403","female","b",22
"404","female","b",20
"405","female","b",16
"406","female","b",15
"407","female","b",11
"408","female","b",14
"409","female","b",16
"410","female","b",11
"411","female","b",17
"412","female","b",11
"413","female","b",16
"414","female","b",5
"415","female","b",9
"416","female","b",7
"417","female","b",7
"418","female","b",25
"419","female","b",23
"420","female","b",9
"421","female","b",10
"422","female","b",18
"423","female","b",11
"424","female","b",16
"425","female","b",21
"426","female","b",20
"427","female","b",15
"428","female","b",18
"429","female","b",12
"430","female","b",21
"431","female","b",21
"432","female","b",15
"433","female","b",8
"434","female","b",8
"435","female","b",8
"436","female","b",10
"437","female","b",16
"438","female","b",16
"439","female","b",18
"440","female","b",15
"441","female","b",19
"442","female","b",14
"443","female","b",16
"444","female","b",8
"445","female","b",4
"446","female","b",11
"447","female","b",17
"448","female","b",13
"449","female","b",22
"450","female","b",12
"451","female","b",14
"452","female","b",12
"453","female","b",15
"454","female","b",17
"455","female","b",8
"456","female","b",14
"457","female","b",13
"458","female","b",11
"459","female","b",14
"460","female","b",16
"461","female","b",9
"462","female","b",17
"463","female","b",17
"464","female","b",13
"465","female","b",21
"466","female","b",12
"467","female","b",15
"468","female","b",6
"469","female","b",17
"470","female","b",12
"471","female","b",18
"472","female","b",14
"473","female","b",14
"474","female","b",8
"475","female","b",13
"476","female","b",11
"477","female","b",17
"478","female","b",11
"479","female","b",10
"480","female","b",8
"481","female","b",16
"482","female","b",10
"483","female","b",11
"484","female","b",4
"485","female","b",14
"486","female","b",10
"487","female","b",13
"488","female","b",22
"489","female","b",9
"490","female","b",7
"491","female","b",11
"492","female","b",10
"493","female","b",19
"494","female","b",16
"495","female","b",8
"496","female","b",14
"497","female","b",10
"498","female","b",18
"499","female","b",9
"500","female","b",25
"501","female","b",13
"502","female","b",22
"503","female","b",16
"504","female","b",13
"505","female","b",19
"506","female","b",14
"507","female","b",18
"508","female","b",12
"509","female","b",12
"510","female","b",10
"511","female","b",0
"512","female","b",14
"513","female","b",15
"514","female","b",13
"515","female","b",11
"516","female","b",9
"517","female","b",12
"518","female","b",15
"519","female","b",14
"520","female","b",8
"521","female","b",20
"522","female","b",16
"523","female","b",10
"524","female","b",22
"525","female","b",23
"526","female","b",20
"527","female","b",11
"528","female","b",12
"529","female","b",20
"530","female","b",0
"531","female","b",14
"532","female","b",15
"533","female","b",13
"534","female","b",9
"535","female","b",15
"536","female","b",19
"537","female","b",9
"538","female","b",13
"539","female","b",17
"540","female","b",17
"541","female","b",23
"542","female","b",14
"543","female","b",18
"544","female","b",13
"545","female","b",14
"546","female","b",3
"547","female","b",15
"548","female","b",13
"549","female","b",14
"550","female","b",11
"551","female","b",21
"552","female","b",14
"553","female","b",18
"554","female","b",22
"555","female","b",20
"556","female","b",12
"557","female","b",20
"558","female","b",19
"559","female","b",14
"560","female","b",14
"561","female","b",15
"562","female","b",12
"563","female","b",17
"564","female","b",11
"565","female","b",12
"566","female","b",22
"567","female","b",10
"568","female","b",9
"569","female","b",15
"570","female","b",21
"571","female","b",19
"572","female","b",11
"573","female","b",15
"574","female","b",19
"575","female","b",13
"576","female","b",12
"577","female","b",19
"578","female","b",11
"579","female","b",15
"580","female","b",16
"581","female","b",22
"582","female","b",7
"583","female","b",22
"584","female","b",11
"585","female","b",14
"586","female","b",11
"587","female","b",10
"588","female","b",20
"589","female","b",17
"590","female","b",16
"591","female","b",11
"592","female","b",17
"593","female","b",4
"594","female","b",4
"595","female","b",25
"596","female","b",9
"597","female","b",18
"598","female","b",15
"599","female","b",11
"600","female","b",14
"601","female","b",9
"602","female","b",22
"603","female","b",13
"604","female","b",11
"605","female","b",17
"606","female","b",6
"607","female","b",22
"608","female","b",16
"609","female","b",16
"610","female","b",14
"611","female","b",11
"612","female","b",14
"613","female","b",11
"614","female","b",7
"615","female","b",13
"616","female","b",7
"617","female","b",4
"618","female","b",8
"619","female","b",16
"620","female","b",18
"621","female","b",18
"622","female","b",7
"623","female","b",14
"624","female","b",5
"625","female","b",12
"626","female","b",22
"627","female","b",21
"628","female","b",10
"629","female","b",17
"630","female","b",15
"631","female","b",20
"632","female","b",20
"633","female","b",11
"634","female","b",14
"635","female","b",10
"636","female","b",18
"637","female","b",17
"638","female","b",14
"639","female","b",18
"640","female","b",16
"641","female","b",17
"642","female","b",13
"643","female","b",6
"644","female","b",12
"645","female","b",21
"646","female","b",20
"647","female","b",28
"648","female","b",22
"649","female","b",14
"650","female","b",10
"651","female","b",12
"652","female","b",12
"653","female","b",9
"654","female","b",16
"655","female","b",9
"656","female","b",14
"657","female","b",18
"658","female","b",15
"659","female","b",26
"660","female","b",6
"661","female","b",16
"662","female","b",13
"663","female","b",12
"664","female","b",20
"665","female","b",2
"666","female","b",9
"667","female","b",20
"668","female","b",16
"669","female","b",14
"670","female","b",20
"671","female","b",8
"672","female","b",14
"673","female","b",11
"674","female","b",12
"675","female","b",4
"676","female","b",27
"677","female","b",17
"678","female","b",19
"679","female","b",17
"680","female","b",9
"681","female","b",1
"682","female","b",15
"683","female","b",11
"684","female","b",15
"685","female","b",18
"686","female","b",16
"687","female","b",11
"688","female","b",6
"689","female","b",15
"690","female","b",10
"691","female","b",17
"692","female","b",12
"693","female","b",13
"694","female","b",20
"695","female","b",21
"696","female","b",11
"697","female","b",15
"698","female","b",11
"699","female","b",10
"700","female","b",14
"701","female","b",13
"702","female","b",12
"703","female","b",17
"704","female","b",7
"705","female","b",17
"706","female","b",16
"707","female","b",20
"708","female","b",17
"709","female","b",15
"710","female","b",19
"711","female","b",5
"712","female","b",17
"713","female","b",22
"714","female","b",12
"715","female","b",2
"716","female","b",14
"717","female","b",1
"718","female","b",9
"719","female","b",9
"720","female","b",13
"721","female","b",14
"722","female","b",18
"723","female","b",10
"724","female","b",9
"725","female","b",5
"726","female","b",13
"727","female","b",7
"728","female","b",10
"729","female","b",13
"730","female","b",13
"731","female","b",9
"732","female","b",15
"733","female","b",8
"734","female","b",17
"735","female","b",19
"736","female","b",17
"737","female","b",11
"738","female","b",10
"739","female","b",10
"740","female","b",8
"741","male","c",32
"742","male","c",20
"743","male","c",18
"744","male","c",22
"745","male","c",27
"746","male","c",24
"747","male","c",30
"748","male","c",25
"749","male","c",24
"750","male","c",36
"751","male","c",24
"752","male","c",24
"753","male","c",26
"754","male","c",23
"755","male","c",13
"756","male","c",17
"757","male","c",27
"758","male","c",17
"759","male","c",26
"760","male","c",26
"761","male","c",26
"762","male","c",31
"763","male","c",32
"764","male","c",31
"765","male","c",36
"766","male","c",24
"767","male","c",33
"768","male","c",19
"769","male","c",22
"770","male","c",28
"771","male","c",31
"772","male","c",21
"773","male","c",32
"774","male","c",22
"775","male","c",20
"776","male","c",27
"777","male","c",34
"778","male","c",27
"779","male","c",21
"780","male","c",32
"781","male","c",25
"782","male","c",28
"783","male","c",22
"784","male","c",25
"785","male","c",17
"786","male","c",23
"787","male","c",25
"788","male","c",30
"789","male","c",34
"790","male","c",18
"791","male","c",18
"792","male","c",23
"793","male","c",32
"794","male","c",24
"795","male","c",30
"796","male","c",35
"797","male","c",24
"798","male","c",33
"799","male","c",23
"800","male","c",18
"801","male","c",31
"802","male","c",26
"803","male","c",18
"804","male","c",20
"805","male","c",24
"806","male","c",16
"807","male","c",32
"808","female","c",20
"809","female","c",22
"810","female","c",32
"811","female","c",28
"812","female","c",16
"813","female","c",21
"814","female","c",27
"815","female","c",34
"816","female","c",28
"817","female","c",22
"818","female","c",23
"819","female","c",30
"820","female","c",32
"821","female","c",21
"822","female","c",27
"823","female","c",33
"824","female","c",32
"825","female","c",21
"826","female","c",29
"827","female","c",31
"828","female","c",22
"829","female","c",25
"830","female","c",24
"831","female","c",29
"832","female","c",29
"833","female","c",24
"834","female","c",27
"835","female","c",18
"836","female","c",17
"837","female","c",26
"838","female","c",28
"839","female","c",25
"840","female","c",29
"841","female","c",18
"842","female","c",27
"843","female","c",27
"844","female","c",22
"845","female","c",25
"846","female","c",24
"847","female","c",30
"848","female","c",15
"849","female","c",18
"850","female","c",26
"851","female","c",23
"852","female","c",24
"853","female","c",19
"854","female","c",25
"855","female","c",21
"856","female","c",19
"857","female","c",18
"858","female","c",22
"859","female","c",31
"860","female","c",27
"861","female","c",17
