"","Subject","Educ","Income2005"
"120",872,"16",176354
"121",874,">16",90000
"122",879,">16",52900
"123",881,"16",8000
"124",882,"16",42000
"125",884,">16",52000
"126",885,"16",37000
"127",890,">16",183306
"128",896,"16",15000
"129",898,"16",40000
"130",902,">16",64320
"131",906,">16",90000
"132",907,">16",7000
"133",908,"16",37000
"134",912,"16",34000
"135",916,"16",20000
"136",920,"16",120000
"137",944,">16",54000
"138",945,"16",37300
"139",961,"16",140000
"140",974,">16",55000
"141",976,">16",51000
"142",999,"16",27000
"143",1003,"16",70000
"144",1019,">16",29000
"145",1020,">16",84000
"146",1046,">16",63
"147",1049,">16",51000
"148",1051,">16",67000
"149",1052,">16",183467
"150",1053,"16",394058
"151",1072,">16",65000
"152",1078,"16",61000
"153",1082,"16",70000
"154",1086,">16",67500
"155",1093,"16",35000
"156",1098,">16",108000
"157",1101,">16",50000
"158",1105,">16",61000
"159",1106,"16",35000
"160",1122,"16",37000
"161",1138,"16",58000
"162",1139,"16",60000
"163",1143,"16",180124
"164",1144,"16",248713
"165",1157,"16",63000
"166",1176,"16",77000
"167",1182,">16",48000
"168",1184,"16",95000
"169",1185,">16",268384
"170",1186,"16",140000
"171",1187,">16",39000
"172",1200,"16",9000
"173",1208,">16",120000
"174",1240,">16",52000
"175",1252,">16",16000
"176",1255,">16",87000
"177",1268,"16",90000
"178",1276,"16",46000
"179",1286,"16",32000
"180",1293,"16",36000
"181",1311,"16",130000
"182",1323,">16",42000
"183",1325,"16",80000
"184",1344,">16",72000
"185",1347,"16",157280
"186",1359,">16",40000
"187",1362,">16",70000
"188",1367,"16",16000
"189",1368,"16",39000
"190",1374,"16",15700
"191",1394,"16",62000
"192",1395,">16",63000
"193",1429,"16",30000
"194",1432,"16",42000
"195",1433,">16",50000
"196",1470,">16",35000
"197",1477,"16",70000
"198",1479,">16",100000
"199",1481,"16",71000
"200",1501,">16",60000
"201",1502,"16",12000
"202",1503,">16",58000
"203",1509,">16",25000
"204",1510,"16",26000
"205",1522,"16",51300
"206",1538,">16",45000
"207",1552,"16",9200
"208",1564,"16",3400
"209",1569,"16",63000
"210",1574,"16",47000
"211",1587,"16",27300
"212",1601,"16",368302
"213",1603,">16",20000
"214",1619,">16",65000
"215",1621,">16",35942
"216",1622,"16",60000
"217",1626,"16",73000
"218",1631,"16",85000
"219",1632,">16",100035
"220",1633,">16",100000
"221",1670,"16",105000
"222",1719,">16",60000
"223",1730,">16",52000
"224",1733,"16",115000
"225",1735,">16",3000
"226",1740,"16",19000
"227",1746,">16",116000
"228",1763,"16",22000
"229",1766,"16",12000
"230",1787,">16",52000
"231",1795,">16",108888
"232",1803,">16",36000
"233",1804,">16",12000
"234",1808,"16",125000
"235",1841,">16",85000
"236",1844,">16",188404
"237",1846,">16",192896
"238",1858,">16",68000
"239",1875,">16",130000
"240",1880,">16",30000
"241",1885,"16",35000
"242",1896,">16",28000
"243",1906,">16",25000
"244",1914,">16",48000
"245",1916,">16",74481
"246",1924,"16",65000
"247",1930,"16",45000
"248",1950,"16",22000
"249",1951,">16",42000
"250",1952,">16",85000
"251",1953,">16",24000
"252",1954,"16",4000
"253",1967,"16",40000
"254",1976,"16",36000
"255",1999,">16",46000
"256",2005,"16",78000
"257",2010,">16",12000
"258",2027,">16",9000
"259",2029,">16",135000
"260",2030,">16",5500
"261",2034,"16",52000
"262",2037,">16",2700
"263",2038,">16",162919
"264",2042,">16",6000
"265",2049,"16",33000
"266",2056,"16",135000
"267",2061,"16",50000
"268",2062,">16",110000
"269",2068,"16",35000
"270",2083,"16",26000
"271",2096,"16",92000
"272",2113,">16",100000
"273",2123,">16",33600
"274",2124,"16",115000
"275",2126,">16",42000
"276",2136,">16",34500
"277",2144,"16",57000
"278",2159,"16",70000
"279",2164,">16",69000
"280",2167,"16",48000
"281",2168,"16",57600
"282",2178,"16",44000
"283",2200,">16",65000
"284",2202,"16",35000
"285",2218,"16",70000
"286",2220,"16",82000
"287",2222,"16",46000
"288",2230,"16",40000
"289",2237,">16",64000
"290",2243,"16",30000
"291",2285,">16",55000
"292",2286,"16",26000
"293",2291,"16",60200
"294",2299,"16",47000
"295",2301,"16",71500
"296",2302,">16",112000
"297",2323,"16",100000
"298",2324,"16",102000
"299",2328,"16",31000
"300",2329,"16",40000
"301",2339,">16",235236
"302",2360,">16",18500
"303",2372,"16",65000
"304",2438,">16",90000
"305",2442,">16",79000
"306",2444,"16",50000
"307",2461,">16",61000
"308",2494,"16",72000
"309",2526,">16",80000
"310",2544,"16",98000
"311",2545,"16",103000
"312",2549,">16",38000
"313",2550,"16",36660
"314",2551,"16",39500
"315",2552,"16",33500
"316",2557,"16",96000
"317",2558,">16",61000
"318",2565,"16",44000
"319",2569,">16",24000
"320",2570,"16",15300
"321",2572,"16",70500
"322",2588,">16",70000
"323",2589,">16",125000
"324",2590,"16",60000
"325",2603,">16",41000
"326",2606,"16",51000
"327",2607,"16",35000
"328",2622,">16",33000
"329",2626,">16",38000
"330",2628,">16",8000
"331",2630,">16",70000
"332",2633,"16",92000
"333",2636,">16",40500
"334",2637,"16",48000
"335",2642,">16",68000
"336",2646,">16",90000
"337",2649,">16",37000
"338",2684,">16",40000
"339",2685,">16",58000
"340",2695,">16",80000
"341",2701,"16",88000
"342",2702,"16",91500
"343",2703,"16",125000
"344",2714,"16",45000
"345",2723,"16",62000
"346",2724,">16",167252
"347",2730,"16",10000
"348",2770,"16",57000
"349",2771,"16",10000
"350",2800,">16",35000
"351",2804,"16",52000
"352",2809,">16",15000
"353",2813,"16",75000
"354",2823,">16",50000
"355",2838,"16",69500
"356",2840,">16",88000
"357",2845,">16",70000
"358",2847,">16",48000
"359",2848,"16",19285
"360",2851,">16",357310
"361",2861,">16",124000
"362",2868,"16",74000
"363",2870,">16",126000
"364",2871,">16",80000
"365",2894,"16",166924
"366",2895,"16",194031
"367",2896,">16",162733
"368",2899,"16",30000
"369",2900,">16",500
"370",2902,">16",33000
"371",2906,">16",85000
"372",2910,">16",35000
"373",2928,"16",10088
"374",2929,">16",46000
"375",2930,"16",32000
"376",2936,">16",40000
"377",2941,">16",180621
"378",2946,"16",62000
"379",2948,"16",12500
"380",2949,"16",20000
"381",2950,"16",93000
"382",2957,">16",35000
"383",2959,">16",110000
"384",2961,">16",68000
"385",2962,"16",140000
"386",2980,">16",170
"387",2984,"16",359118
"388",2985,"16",100000
"389",2988,"16",100000
"390",2991,"16",45000
"391",3016,"16",85000
"392",3019,">16",85000
"393",3033,">16",150000
"394",3062,"16",282588
"395",3084,"16",183223
"396",3085,"16",25000
"397",3109,">16",58000
"398",3111,">16",43000
"399",3112,">16",105000
"400",3137,">16",120000
"401",3141,"16",80000
"402",3142,">16",106000
"403",3143,"16",53000
"404",3145,"16",5000
"405",3146,">16",62000
"406",3150,"16",138000
"407",3153,"16",151083
"408",3154,"16",10000
"409",3157,"16",60000
"410",3159,"16",40000
"411",3168,">16",115000
"412",3170,">16",268323
"413",3171,">16",152840
"414",3173,">16",125000
"415",3198,">16",53600
"416",3205,"16",90000
"417",3208,"16",135000
"418",3224,">16",130000
"419",3238,">16",28000
"420",3239,">16",30000
"421",3240,">16",46000
"422",3243,"16",50000
"423",3244,">16",24000
"424",3256,">16",80000
"425",3257,">16",75000
"426",3263,"16",89000
"427",3266,"16",250
"428",3278,">16",147
"429",3289,"16",140000
"430",3290,">16",150000
"431",3303,"16",18000
"432",3309,">16",54000
"433",3337,">16",89000
"434",3338,"16",2000
"435",3341,">16",39000
"436",3352,"16",1200
"437",3357,">16",150490
"438",3360,"16",32000
"439",3361,">16",703637
"440",3376,">16",73000
"441",3378,"16",8220
"442",3379,">16",99000
"443",3387,"16",45000
"444",3390,">16",80000
"445",3391,">16",30824
"446",3393,">16",25000
"447",3394,">16",85000
"448",3406,">16",38500
"449",3410,"16",65000
"450",3422,">16",2000
"451",3423,"16",27000
"452",3429,"16",200
"453",3431,">16",171428
"454",3433,"16",4000
"455",3463,"16",57000
"456",3464,"16",96000
"457",3466,"16",60000
"458",3506,"16",18000
"459",3515,">16",97000
"460",3530,"16",62000
"461",3535,">16",82376
"462",3551,"16",65000
"463",3558,">16",96000
"464",3581,"16",129000
"465",3582,">16",150000
"466",3583,">16",100000
"467",3585,"16",159168
"468",3588,">16",60000
"469",3601,"16",40000
"470",3608,"16",69000
"471",3614,">16",10180
"472",3617,"16",89000
"473",3619,">16",32500
"474",3623,"16",35000
"475",3625,"16",26000
"476",3628,">16",189210
"477",3641,">16",51000
"478",3643,">16",38000
"479",3651,"16",65000
"480",3664,">16",68000
"481",3669,"16",10000
"482",3676,"16",74000
"483",3677,"16",60000
"484",3686,"16",69000
"485",3690,">16",138000
"486",3709,"16",30000
"487",3745,"16",32089
"488",3757,">16",95000
"489",3771,">16",32253
"490",3775,"16",53000
"491",3792,">16",88000
"492",3800,">16",8000
"493",3803,">16",69000
"494",3804,">16",40000
"495",3805,"16",95000
"496",3809,"16",100000
"497",3812,"16",100000
"498",3815,"16",263445
"499",3836,">16",110000
"500",3854,">16",169884
"501",3855,">16",16500
"502",3860,">16",55000
"503",3861,"16",25000
"504",3863,">16",157957
"505",3865,">16",176431
"506",3866,">16",35000
"507",3868,">16",43450
"508",3872,"16",30000
"509",3873,">16",50000
"510",3874,"16",519340
"511",3875,"16",92000
"512",3884,"16",74000
"513",3886,">16",101000
"514",3889,"16",15000
"515",3890,">16",150000
"516",3892,"16",102000
"517",3894,">16",62000
"518",3895,">16",20000
"519",3897,">16",90000
"520",3898,"16",110000
"521",3903,">16",5200
"522",3904,">16",51000
"523",3910,"16",40000
"524",3911,">16",29000
"525",3916,">16",97000
"526",3922,"16",22000
"527",3952,"16",50000
"528",3964,">16",39500
"529",3966,">16",155485
"530",3967,"16",125000
"531",3972,">16",28500
"532",3980,"16",444624
"533",4010,">16",50000
"534",4019,">16",99000
"535",4023,"16",65000
"536",4030,"16",15000
"537",4045,"16",50000
"538",4053,">16",50000
"539",4055,">16",206869
"540",4056,"16",50000
"541",4057,"16",35000
"542",4092,">16",42000
"543",4093,">16",65000
"544",4106,"16",62000
"545",4107,">16",52000
"546",4108,"16",23900
"547",4124,">16",61000
"548",4147,"16",32624
"549",4164,"16",20000
"550",4171,"16",90000
"551",4172,"16",34900
"552",4191,">16",85300
"553",4225,"16",20000
"554",4226,">16",85605
"555",4227,">16",47000
"556",4257,"16",34000
"557",4280,"16",49000
"558",4285,"16",40000
"559",4289,">16",162660
"560",4290,">16",75419
"561",4296,"16",40000
"562",4298,">16",91000
"563",4299,"16",42000
"564",4302,">16",53000
"565",4306,">16",32000
"566",4350,"16",26000
"567",4352,"16",30000
"568",4353,"16",120000
"569",4355,"16",22000
"570",4372,">16",102500
"571",4382,"16",18000
"572",4392,"16",37000
"573",4407,"16",185662
"574",4408,">16",92000
"575",4410,"16",63000
"576",4413,"16",30000
"577",4424,">16",93000
"578",4425,">16",22000
"579",4426,"16",211052
"580",4428,">16",42000
"581",4429,">16",49938
"582",4448,"16",95000
"583",4466,"16",80000
"584",4470,">16",75000
"585",4471,">16",140000
"586",4480,"16",202617
"587",4508,"16",72000
"588",4517,"16",146000
"589",4531,"16",113000
"590",4532,"16",73000
"591",4540,"16",57000
"592",4548,"16",100000
"593",4565,"16",98000
"594",4570,">16",72000
"595",4576,">16",16000
"596",4590,">16",58000
"597",4592,">16",48000
"598",4606,"16",15000
"599",4607,">16",55000
"600",4609,">16",194757
"601",4626,">16",130000
"602",4632,"16",45000
"603",4634,">16",355767
"604",4635,">16",70000
"605",4652,"16",60000
"606",4662,"16",52000
"607",4668,"16",209400
"608",4683,">16",10000
"609",4686,">16",84000
"610",4692,">16",29000
"611",4695,"16",91500
"612",4698,"16",108000
"613",4742,"16",30000
"614",4753,"16",33000
"615",4754,">16",67000
"616",4756,">16",163271
"617",4758,">16",60000
"618",4760,">16",34000
"619",4767,">16",40000
"620",4793,"16",115000
"621",4795,"16",70000
"622",4798,">16",90000
"623",4799,">16",40500
"624",4812,"16",80000
"625",4820,"16",25000
"626",4826,">16",57000
"627",4828,"16",66768
"628",4829,"16",126000
"629",4830,"16",344856
"630",4831,">16",54500
"631",4834,"16",80000
"632",4842,">16",37000
"633",4843,"16",45000
"634",4870,">16",6000
"635",4871,"16",34000
"636",4872,">16",56000
"637",4873,"16",55000
"638",4892,"16",72000
"639",4894,"16",81000
"640",4896,"16",90000
"641",4907,">16",188255
"642",4919,">16",52000
"643",4921,">16",92500
"644",4927,"16",159193
"645",4939,"16",41000
"646",4944,"16",75000
"647",4954,">16",78000
"648",4975,">16",60000
"649",4998,">16",69600
"650",5001,">16",30000
"651",5003,">16",228453
"652",5012,">16",215765
"653",5020,">16",39000
"654",5021,">16",44000
"655",5023,">16",39000
"656",5028,">16",153447
"657",5029,"16",120000
"658",5054,">16",34000
"659",5091,">16",56400
"660",5095,">16",20000
"661",5096,">16",30000
"662",5099,"16",40000
"663",5107,">16",152683
"664",5108,"16",33000
"665",5140,"16",10800
"666",5143,">16",62000
"667",5166,"16",75000
"668",5168,">16",23000
"669",5170,">16",55000
"670",5185,">16",57000
"671",5188,"16",46000
"672",5193,"16",56000
"673",5197,">16",123000
"674",5212,">16",20000
"675",5222,">16",80000
"676",5226,"16",85000
"677",5244,"16",60000
"678",5245,">16",200977
"679",5250,"16",55000
"680",5264,"16",65000
"681",5287,"16",3200
"682",5289,"16",40264
"683",5299,">16",45000
"684",5310,">16",59800
"685",5325,">16",600
"686",5326,"16",35000
"687",5334,"16",75000
"688",5341,"16",52000
"689",5342,"16",95000
"690",5351,">16",53000
"691",5352,"16",110000
"692",5372,"16",12000
"693",5373,"16",35000
"694",5374,"16",38400
"695",5381,"16",46000
"696",5388,"16",18000
"697",5389,">16",53000
"698",5391,">16",40000
"699",5393,"16",59850
"700",5394,">16",42000
"701",5395,">16",35000
"702",5398,"16",135000
"703",5406,"16",32000
"704",5410,"16",57000
"705",5416,"16",15000
"706",5418,"16",60000
"707",5419,">16",81000
"708",5420,"16",125000
"709",5430,"16",37000
"710",5439,"16",110000
"711",5474,"16",62000
"712",5485,"16",47000
"713",5489,">16",91000
"714",5504,"16",95000
"715",5513,"16",25000
"716",5543,">16",133000
"717",5565,"16",36000
"718",5590,"16",42000
"719",5591,"16",65000
"720",5592,">16",33000
"721",5594,">16",79000
"722",5599,"16",82000
"723",5618,"16",43000
"724",5621,">16",44000
"725",5623,">16",96000
"726",5624,">16",36000
"727",5655,">16",90000
"728",5666,"16",80000
"729",5667,">16",198032
"730",5675,"16",67500
"731",5676,">16",15000
"732",5690,">16",70000
"733",5701,">16",114000
"734",5710,">16",53000
"735",11758,">16",70000
"736",11779,">16",1500
"737",11791,"16",123000
"738",11796,"16",24000
"739",11809,"16",39000
"740",11820,"16",50000
"741",11835,"16",14000
"742",11848,"16",24500
"743",11854,"16",87000
"744",11867,"16",28000
"745",11868,"16",102831
"746",11870,"16",11000
"747",11881,"16",15000
"748",11889,">16",40000
"749",11894,"16",30330
"750",11898,"16",58500
"751",11902,">16",48000
"752",11905,"16",60000
"753",11916,">16",38000
"754",11918,">16",85000
"755",11920,"16",338101
"756",11929,">16",82000
"757",11936,"16",125000
"758",11937,">16",43000
"759",11955,"16",42000
"760",11972,">16",110500
"761",11990,">16",70000
"762",12006,"16",17000
"763",12010,">16",53000
"764",12014,"16",85000
"765",12016,"16",150000
"766",12023,">16",65000
"767",12034,"16",161182
"768",12044,">16",45000
"769",12045,">16",49000
"770",12064,">16",158730
"771",12068,"16",49000
"772",12088,"16",37000
"773",12089,">16",40000
"774",12092,"16",30000
"775",12102,"16",100000
"776",12106,">16",120000
"777",12110,"16",91000
"778",12116,"16",90000
"779",12119,">16",45000
"780",12129,"16",39500
