"","Subject","AFQT","Educ","Income2005"
"120",310,18.491,12,70000
"121",313,30.794,11,37000
"122",317,78.739,16,31500
"123",321,76.525,16,69000
"124",323,65.825,12,80000
"125",324,10.373,9,23000
"126",327,88.257,16,28000
"127",335,62.746,15,10000
"128",341,46.696,14,125000
"129",342,95.123,17,96000
"130",346,43.221,16,120000
"131",348,36.155,12,164307
"132",350,47.18,17,100000
"133",351,19.021,12,39000
"134",354,65.997,12,9600
"135",355,55.481,13,120000
"136",356,41.794,11,50000
"137",357,68.746,16,80000
"138",358,28.374,16,110000
"139",359,37.74,16,60000
"140",360,80.272,19,34000
"141",362,19.625,12,48000
"142",367,76.624,16,58000
"143",369,91.042,16,12000
"144",370,89.893,16,20000
"145",373,11.771,12,9000
"146",375,11.374,12,17500
"147",376,83.17,18,47000
"148",377,32.899,12,10000
"149",381,49.149,12,105000
"150",385,39.687,12,41500
"151",386,63.197,12,43000
"152",388,78.241,15,70000
"153",391,23.959,12,35000
"154",392,93.142,12,60000
"155",393,76.768,13,68000
"156",399,66.314,18,62500
"157",400,100,16,75000
"158",401,24.833,12,11500
"159",405,16.239,13,26000
"160",408,85.102,12,68000
"161",409,90.513,16,180733
"162",410,68.615,12,31085
"163",411,18.169,12,16000
"164",414,73.351,14,21000
"165",418,60.767,13,28000
"166",422,99.379,19,55000
"167",426,27.838,12,82000
"168",433,1.622,12,21528
"169",434,65.734,12,59000
"170",437,71.472,12,22000
"171",438,79.95,13,36000
"172",439,75.485,16,77000
"173",442,64.195,13,15000
"174",443,97.365,14,47000
"175",444,80.238,16,1500
"176",445,93.639,16,40000
"177",446,25.328,12,32000
"178",449,47.638,12,14000
"179",453,72.199,13,40300
"180",456,48.986,18,50000
"181",457,78.555,16,53000
"182",458,86.548,18,65000
"183",459,85.905,20,10000
"184",460,31.254,13,21400
"185",461,90.491,16,85000
"186",464,79.33,14,78000
"187",465,85.844,12,12000
"188",467,95.508,16,20000
"189",470,11.35,12,46000
"190",479,76.189,16,86000
"191",480,51.896,18,60000
"192",481,93.653,19,388725
"193",482,77.991,19,122000
"194",484,13.303,12,30000
"195",485,8.229,12,12000
"196",486,50.498,12,196424
"197",489,59.586,14,85000
"198",491,13.761,12,20000
"199",495,69.07,14,29821
"200",496,92.866,16,25000
"201",499,39.163,13,36000
"202",500,64.295,14,53000
"203",501,78.966,19,25000
"204",502,71.792,12,90000
"205",503,56.773,12,23000
"206",505,26.498,12,28000
"207",506,43.741,16,43000
"208",520,26.381,16,73000
"209",521,37.473,17,80000
"210",527,61.184,13,50000
"211",533,55.185,15,5000
"212",535,33.208,12,20000
"213",540,16.138,12,60000
"214",543,21.108,12,98000
"215",547,45.744,11,69000
"216",548,72.071,12,15000
"217",550,81.039,12,22000
"218",553,99.154,16,10000
"219",554,91.427,19,1100
"220",556,86.423,18,147000
"221",557,99.324,17,1200
"222",558,83.317,17,36000
"223",560,62.344,14,78500
"224",561,76.633,20,42000
"225",562,64.432,20,55000
"226",564,33.668,14,5000
"227",565,35.041,13,55000
"228",583,73.326,13,36000
"229",585,25.699,9,25000
"230",594,53.342,12,80000
"231",597,2.826,11,500
"232",604,62.762,15,40000
"233",606,72.782,13,35000
"234",608,88.693,16,27000
"235",609,45.803,16,32000
"236",612,48.877,16,46136
"237",613,35.747,12,95000
"238",616,9.141,12,25000
"239",622,52.674,15,36500
"240",631,22.379,11,18000
"241",632,1.31,12,4000
"242",636,34.526,12,40000
"243",639,60.396,12,35000
"244",640,77.715,12,42000
"245",645,86.137,16,163172
"246",646,1.79,12,12500
"247",647,43.472,12,61000
"248",649,85.54,17,110000
"249",650,77.736,16,58000
"250",653,90.095,18,96000
"251",659,39.786,14,75000
"252",662,70.5,12,22000
"253",663,76.234,16,85000
"254",664,47.912,17,43000
"255",665,59.991,16,30000
"256",667,70.912,14,58000
"257",669,79.232,12,29000
"258",671,79.303,16,10000
"259",674,2.926,12,50000
"260",675,3.663,11,8400
"261",679,8.563,12,20000
"262",681,6.381,12,5000
"263",683,45.808,18,52000
"264",684,29.001,12,72000
"265",686,79.313,18,57000
"266",688,41.58,14,23000
"267",692,36.055,13,45000
"268",697,14.729,12,50000
"269",701,10.566,9,9800
"270",703,40.97,12,3000
"271",704,46.092,13,56000
"272",707,31.469,14,48000
"273",709,26.594,12,41167
"274",711,38.582,12,40000
"275",712,80.637,13,41000
"276",713,14.274,12,11000
"277",714,26.688,11,20000
"278",717,30.429,12,40000
"279",719,6.818,12,48000
"280",720,36.158,12,35000
"281",721,24.725,13,22000
"282",722,38.013,11,57500
"283",723,26.792,12,25000
"284",724,78.513,15,20000
"285",725,97.319,20,74000
"286",728,20.133,12,30000
"287",730,70.604,15,100000
"288",731,46.018,12,40000
"289",732,51.017,12,35000
"290",733,27.489,13,28820
"291",745,31.508,12,41000
"292",746,65.278,13,35500
"293",747,70.368,12,50300
"294",748,23.929,13,34000
"295",751,28.746,16,55000
"296",752,80.463,19,120000
"297",755,54.906,12,37000
"298",756,20.084,12,26000
"299",757,31.118,14,35000
"300",758,11.905,12,20000
"301",761,55.614,15,25000
"302",762,48.786,12,12000
"303",763,34.18,12,23000
"304",764,31.809,14,21000
"305",769,34.236,12,3000
"306",772,52.482,12,74000
"307",774,53.534,14,35000
"308",776,97.088,17,115000
"309",777,79.85,16,85000
"310",778,89.794,17,30000
"311",779,60.353,14,26000
"312",784,49.537,13,30000
"313",789,42.361,12,15000
"314",792,28.537,16,30000
"315",793,61.347,16,30000
"316",796,94.119,16,58000
"317",797,68.375,12,72000
"318",799,34.051,12,53000
"319",800,32.078,14,54000
"320",801,25.324,14,19327
"321",802,17.362,12,30000
"322",804,40.982,19,16000
"323",806,13.465,12,35000
"324",807,76.332,16,70000
"325",810,91.719,16,115000
"326",811,63.642,15,16000
"327",812,86.99,16,10500
"328",813,85.915,20,33000
"329",814,19.541,12,16000
"330",815,66.54,12,23400
"331",816,39.343,16,29000
"332",817,81.325,16,117000
"333",818,35.569,13,85000
"334",820,49.039,16,85000
"335",821,99.18,18,34000
"336",825,89.264,17,73000
"337",827,92.042,20,169541
"338",829,38.888,19,66000
"339",832,38.997,12,20000
"340",835,25.338,13,25000
"341",839,4.208,15,30000
"342",843,34.453,12,3000
"343",847,22.976,16,67500
"344",849,36.881,12,20000
"345",850,82.62,13,85000
"346",851,55.782,12,48000
"347",854,50.954,12,22000
"348",856,83.737,13,25000
"349",859,23.25,12,46000
"350",860,69.283,12,37500
"351",861,49.173,12,29000
"352",862,41.383,11,25000
"353",863,38.088,12,125000
"354",866,27.315,12,36000
"355",872,71.872,16,176354
"356",874,94.976,19,90000
"357",875,25.657,12,40000
"358",878,68.575,12,50000
"359",879,79.765,20,52900
"360",881,80.898,16,8000
"361",882,64.498,16,42000
"362",883,75.516,15,30000
"363",884,98.089,18,52000
"364",885,81.33,16,37000
"365",888,21.826,12,50000
"366",889,45.056,15,24000
"367",890,82.756,19,183306
"368",891,42.935,12,36000
"369",896,98.804,16,15000
"370",898,79.576,16,40000
"371",899,83.208,15,31000
"372",902,82.49,17,64320
"373",906,93.511,19,90000
"374",907,93.432,19,7000
"375",908,82.465,16,37000
"376",909,61.363,15,31330
"377",912,91.404,16,34000
"378",914,75.363,12,71500
"379",915,92.122,14,57000
"380",916,82.189,16,20000
"381",920,86.877,16,120000
"382",921,7.983,14,65000
"383",922,55.885,12,90000
"384",929,75.258,12,42000
"385",932,26.769,12,30000
"386",935,34.62,12,9800
"387",936,58.404,15,15000
"388",937,84.974,14,75000
"389",938,21.712,12,38500
"390",941,44.224,13,80000
"391",942,55.978,12,43000
"392",944,97.299,18,54000
"393",945,51.523,16,37300
"394",947,77.263,13,64000
"395",949,64.067,12,70000
"396",950,91.63,12,30000
"397",951,52.109,12,72000
"398",952,63.71,12,23600
"399",955,45.546,12,40000
"400",956,55.543,13,15000
"401",958,41.439,12,35000
"402",959,96.442,14,170247
"403",960,88.979,15,150000
"404",961,88.914,16,140000
"405",962,67.25,14,45500
"406",963,51.978,12,65000
"407",964,28.308,12,48000
"408",966,18.824,12,44000
"409",967,17.834,12,56000
"410",968,43.365,12,65000
"411",969,44.379,12,31000
"412",970,57.553,12,110000
"413",971,53.275,12,3000
"414",972,57.315,12,38000
"415",973,65.073,12,42000
"416",974,66.668,20,55000
"417",976,62.466,18,51000
"418",990,60.136,12,39000
"419",996,30.891,12,60000
"420",997,78.723,12,46000
"421",999,67.602,16,27000
"422",1003,61.145,16,70000
"423",1004,27.973,14,56000
"424",1007,47.45,12,125000
"425",1011,34.339,12,45000
"426",1013,91.199,14,25000
"427",1019,100,17,29000
"428",1020,98.236,17,84000
"429",1029,26.365,12,17000
"430",1034,12.727,7,23000
"431",1038,64.065,14,24000
"432",1039,71.23,15,44000
"433",1042,28.954,12,26000
"434",1043,3.732,12,16000
"435",1044,4.871,12,25000
"436",1046,70.337,19,63
"437",1048,3.156,12,13000
"438",1049,84.635,18,51000
"439",1051,87.785,18,67000
"440",1052,89.341,18,183467
"441",1053,73.413,16,394058
"442",1056,15.555,12,24000
"443",1058,34.012,14,47000
"444",1060,33.045,12,12000
"445",1062,58.977,12,115000
"446",1063,45.58,12,20518
"447",1065,70.03,12,20160
"448",1068,0.958,9,12000
"449",1071,8.758,12,12649
"450",1072,35.78,18,65000
"451",1076,43.456,14,40000
"452",1078,88.023,16,61000
"453",1080,68.497,12,7500
"454",1081,76.163,14,38262
"455",1082,71.597,16,70000
"456",1085,65.317,12,36000
"457",1086,77.119,18,67500
"458",1089,1.672,9,35000
"459",1090,12.621,9,1300
"460",1091,51.083,10,24000
"461",1092,59.139,12,15000
"462",1093,50.614,16,35000
"463",1096,15.428,12,48000
"464",1097,97.926,14,59000
"465",1098,98.356,20,108000
"466",1101,89.998,19,50000
"467",1102,44.711,15,429
"468",1104,55.829,15,90000
"469",1105,65.903,18,61000
"470",1106,87.203,16,35000
"471",1111,44.401,12,44000
"472",1114,31.751,12,50000
"473",1116,31.89,14,30000
"474",1118,22.955,12,80000
"475",1122,99.147,16,37000
"476",1130,50.405,12,5000
"477",1134,65.998,11,53000
"478",1138,58.192,16,58000
"479",1139,72.569,16,60000
"480",1141,17.614,12,30000
"481",1143,83.528,16,180124
"482",1144,79.836,16,248713
"483",1147,58.247,12,6500
"484",1148,2.509,11,31000
"485",1153,4.843,10,2300
"486",1155,25.334,14,52000
"487",1156,39.245,12,25000
"488",1157,70.82,16,63000
"489",1158,27.018,14,31000
"490",1159,45.679,15,30000
"491",1160,34.867,14,20000
"492",1163,20.274,14,25000
"493",1166,42.776,13,20609
"494",1169,53.364,12,130000
"495",1176,62.064,16,77000
"496",1179,74.366,12,35000
"497",1181,64.846,13,150000
"498",1182,91.545,18,48000
"499",1184,90.731,16,95000
"500",1185,100,20,268384
"501",1186,58.93,16,140000
"502",1187,86.394,19,39000
"503",1188,79.064,15,130000
"504",1200,49.449,16,9000
"505",1208,82.941,20,120000
"506",1221,0.899,12,16200
"507",1222,7.51,12,38000
"508",1223,1.552,13,15000
"509",1224,15.04,13,12000
"510",1233,36.925,14,42000
"511",1237,29.091,12,24000
"512",1238,54.782,13,62000
"513",1240,70.563,18,52000
"514",1247,12.838,12,8000
"515",1249,64.562,12,80000
"516",1250,31.365,12,17000
"517",1251,36.464,12,31000
"518",1252,54.28,17,16000
"519",1253,52.948,12,21600
"520",1255,93.903,18,87000
"521",1256,17.735,13,50000
"522",1257,34.121,12,23000
"523",1258,62.762,14,3000
"524",1260,10.889,9,35000
"525",1261,66.079,14,50000
"526",1268,98.102,16,90000
"527",1272,37.465,12,39000
"528",1273,68.375,13,24000
"529",1276,92.033,16,46000
"530",1279,81.419,15,24000
"531",1286,6.841,16,32000
"532",1287,7.088,14,50000
"533",1288,10.393,14,21000
"534",1290,38.983,14,36000
"535",1291,8.107,13,16000
"536",1293,35.191,16,36000
"537",1294,51.781,15,209138
"538",1301,27.851,14,25000
"539",1311,46.54,16,130000
"540",1312,41.138,12,18000
"541",1315,70.51,15,257286
"542",1318,22.661,8,37000
"543",1319,6.629,12,43000
"544",1320,100,13,78000
"545",1321,51.798,13,56000
"546",1323,85.328,17,42000
"547",1325,82.181,16,80000
"548",1327,59.279,12,53000
"549",1338,66.383,13,42000
"550",1344,67.442,18,72000
"551",1347,50.056,16,157280
"552",1351,54.619,12,13000
"553",1353,50.963,12,20000
"554",1357,5.401,12,38000
"555",1359,61.346,18,40000
"556",1360,28.956,12,27000
"557",1362,96.033,17,70000
"558",1366,36.305,12,29800
"559",1367,85.66,16,16000
"560",1368,96.899,16,39000
"561",1374,69.216,16,15700
"562",1383,2.991,12,80000
"563",1384,13.4,12,26000
"564",1385,44.576,13,34000
"565",1386,24.991,12,52000
"566",1393,66.493,15,79000
"567",1394,67.269,16,62000
"568",1395,45.317,20,63000
"569",1397,26.78,12,45000
"570",1399,74.636,14,45000
"571",1411,45.789,14,16000
"572",1413,1.65,11,19000
"573",1416,20.731,12,12000
"574",1417,24.893,12,31000
"575",1418,61.57,12,41000
"576",1419,4.111,12,22000
"577",1425,77.186,12,38000
"578",1426,54.506,12,38685
"579",1429,82.219,16,30000
"580",1432,18.811,16,42000
"581",1433,36.667,17,50000
"582",1434,1.985,11,31980
"583",1436,8.681,11,10000
"584",1438,4.199,12,27000
"585",1440,10.283,13,22000
"586",1455,14.511,7,25000
"587",1459,85.258,14,40000
"588",1462,33.171,12,28600
"589",1468,36.634,12,29000
"590",1470,64.514,18,35000
"591",1471,15.586,8,50000
"592",1477,48.936,16,70000
"593",1479,97.372,18,100000
"594",1481,49.641,16,71000
"595",1484,2.513,13,40000
"596",1487,42.852,13,45000
"597",1490,19.642,12,25000
"598",1491,14.083,13,39000
"599",1492,82.535,14,45000
"600",1493,65.038,12,245549
"601",1495,19.342,12,15000
"602",1499,47.406,12,16000
"603",1500,24.715,12,50000
"604",1501,97.458,17,60000
"605",1502,98.242,16,12000
"606",1503,84.661,20,58000
"607",1506,88.937,12,42000
"608",1507,60.833,12,22000
"609",1508,96.289,14,35000
"610",1509,90.493,17,25000
"611",1510,66.956,16,26000
"612",1512,80.758,15,15000
"613",1514,45.16,13,51000
"614",1515,44.773,12,67000
"615",1516,8.674,12,23300
"616",1521,21.457,12,41000
"617",1522,67.176,16,51300
"618",1527,2.099,12,28000
"619",1529,35.947,13,23000
"620",1530,30.909,15,28000
"621",1531,44.428,12,26000
"622",1532,57.544,12,17407
"623",1534,27.174,12,52000
"624",1538,30.59,18,45000
"625",1539,77.51,12,30000
"626",1541,22.337,12,41400
"627",1547,43.214,11,85000
"628",1548,40.716,10,4000
"629",1551,25.797,12,19000
"630",1552,24.669,16,9200
"631",1553,79.584,12,40000
"632",1554,52.176,12,59000
"633",1555,69.185,14,28352
"634",1556,69.556,12,32176
"635",1558,60.233,14,12000
"636",1560,21.06,12,19000
"637",1564,84.972,16,3400
"638",1566,65.249,15,39100
"639",1568,79.707,14,6000
"640",1569,72.895,16,63000
"641",1571,77.537,15,45000
"642",1574,90.317,16,47000
"643",1575,33.184,14,171551
"644",1577,60.11,12,59000
"645",1580,21.756,12,56000
"646",1585,54.802,12,60000
"647",1586,69.894,15,54000
"648",1587,92.892,16,27300
"649",1590,22.782,12,16000
"650",1591,33.418,12,7000
"651",1592,27.228,12,10000
"652",1593,14.232,12,17000
"653",1595,44.794,12,120000
"654",1597,67.922,12,52000
"655",1598,70.988,14,35000
"656",1599,43.417,12,24000
"657",1601,53.921,16,368302
"658",1602,54.571,12,90000
"659",1603,45.157,17,20000
"660",1605,40.773,12,40000
"661",1607,48.83,12,19200
"662",1608,58.11,12,11040
"663",1610,29.107,12,18000
"664",1617,21.965,12,20000
"665",1619,58.937,18,65000
"666",1621,87.899,17,35942
"667",1622,55.357,16,60000
"668",1626,96.046,16,73000
"669",1627,36.485,12,20000
"670",1629,65.439,12,100000
"671",1631,96.226,16,85000
"672",1632,98.63,18,100035
"673",1633,86.213,20,100000
"674",1635,53.399,12,40000
"675",1636,49.697,12,56000
"676",1637,60.861,12,15000
"677",1640,51.871,12,48000
"678",1641,62.029,12,110000
"679",1642,1.532,14,75000
"680",1644,43.409,15,9400
"681",1651,71.136,12,153334
"682",1656,51.885,12,33000
"683",1659,61.986,14,26000
"684",1670,96.168,16,105000
"685",1719,48.05,18,60000
"686",1720,25.265,14,45000
"687",1721,7.672,12,80000
"688",1725,7.182,11,25000
"689",1729,30.508,12,24000
"690",1730,66.596,17,52000
"691",1733,84.465,16,115000
"692",1735,63.611,17,3000
"693",1739,95.901,15,10000
"694",1740,49.857,16,19000
"695",1744,67.544,13,60000
"696",1746,96.851,19,116000
"697",1750,47.189,12,44000
"698",1751,4.888,13,35000
"699",1758,5.654,15,13000
"700",1763,69.733,16,22000
"701",1766,78.662,16,12000
"702",1768,36.71,12,8000
"703",1769,27.375,12,29515
"704",1775,35.079,13,34000
"705",1778,46.099,14,8000
"706",1779,28.861,11,74000
"707",1780,73.734,14,40000
"708",1781,39.081,15,100000
"709",1784,81.518,15,45000
"710",1785,9.875,15,29000
"711",1786,37.054,12,46800
"712",1787,47.805,17,52000
"713",1788,77.653,12,56856
"714",1790,71.533,12,34000
"715",1792,87.518,14,15000
"716",1795,40.415,20,108888
"717",1797,56.703,9,3040
"718",1798,85.903,15,27100
"719",1802,77.562,12,27915
"720",1803,70.548,19,36000
"721",1804,91.449,17,12000
"722",1808,89.408,16,125000
"723",1810,53.687,13,155867
"724",1819,79.036,15,29000
"725",1820,13.65,8,8000
"726",1824,6.023,9,19000
"727",1826,62.879,12,45000
"728",1831,24.374,15,64000
"729",1835,30.175,12,40000
"730",1836,51.237,14,50000
"731",1837,17.492,13,32000
"732",1838,13.046,12,17000
"733",1839,6.12,12,18000
"734",1841,92.678,20,85000
"735",1844,87.281,18,188404
"736",1846,73.252,18,192896
"737",1847,74.288,14,68000
"738",1848,29.189,13,46000
"739",1858,75.798,18,68000
"740",1860,40.414,12,29000
"741",1862,31.547,12,900
"742",1863,61.428,12,20000
"743",1865,27.567,12,28000
"744",1866,42.755,12,25000
"745",1867,89.968,12,52000
"746",1868,35.098,13,26500
"747",1869,26.004,12,14000
"748",1872,18.192,12,35000
"749",1873,16.817,12,22000
"750",1875,90.923,18,130000
"751",1878,29.321,12,8000
"752",1880,88.272,20,30000
"753",1881,42.474,12,40000
"754",1884,42.428,12,12500
"755",1885,65.232,16,35000
"756",1887,9.128,12,11000
"757",1889,42.279,13,35675
"758",1890,13.298,12,18000
"759",1891,46.449,12,26800
"760",1895,84.709,14,83000
"761",1896,85.085,18,28000
"762",1899,24.004,12,32000
"763",1902,48.953,12,40574
"764",1904,86.141,12,26000
"765",1905,58.233,12,45000
"766",1906,97.146,18,25000
"767",1910,55.765,12,55000
"768",1912,49.375,14,25000
"769",1913,41.544,14,14103
"770",1914,95.324,19,48000
"771",1916,66.692,19,74481
"772",1917,27.775,12,48000
"773",1918,74.519,12,68000
"774",1920,57.75,14,2000
"775",1924,39.286,16,65000
"776",1925,66.523,12,44000
"777",1926,31.904,12,16000
"778",1927,53.586,12,21455
"779",1929,95.734,14,81000
"780",1930,95.174,16,45000
"781",1944,82.351,14,86000
"782",1947,41.857,12,16000
"783",1950,63.15,16,22000
"784",1951,45.219,18,42000
"785",1952,46.049,17,85000
"786",1953,87.413,19,24000
"787",1954,87.743,16,4000
"788",1955,79.36,14,60000
"789",1957,10.797,12,47000
"790",1958,79.33,15,45000
"791",1959,29.263,12,36000
"792",1961,48.541,12,100000
"793",1962,10.28,12,25000
"794",1963,63.4,12,67000
"795",1964,29.838,12,30000
"796",1965,52.187,12,25000
"797",1966,85.623,12,42000
"798",1967,61.486,16,40000
"799",1971,51.182,12,65000
"800",1975,80.742,12,41000
"801",1976,64.089,16,36000
"802",1977,37.901,12,50000
"803",1978,29.377,14,48000
"804",1985,59.974,12,25000
"805",1986,69.903,14,23000
"806",1988,15.656,12,46000
"807",1990,63.26,12,26000
"808",1992,24.185,13,68000
"809",1994,75.484,13,28000
"810",1995,33.083,15,3000
"811",1996,53.612,12,32000
"812",1998,59.463,12,9724
"813",1999,67.772,19,46000
"814",2002,35.088,12,12000
"815",2003,13.023,12,8000
"816",2005,84.088,16,78000
"817",2007,92.051,14,143000
"818",2010,75.4,19,12000
"819",2011,70.191,15,25000
"820",2012,39.888,12,32000
"821",2013,86.555,12,9200
"822",2014,54.184,12,27000
"823",2018,72.231,12,27640
"824",2020,23.806,12,26000
"825",2024,89.508,15,65000
"826",2027,93.336,19,9000
"827",2029,93.935,20,135000
"828",2030,77.209,18,5500
"829",2031,2.044,11,36000
"830",2032,22.171,12,32000
"831",2033,66.318,12,157117
"832",2034,56.852,16,52000
"833",2035,78.055,12,25000
"834",2037,91.541,19,2700
"835",2038,97.36,18,162919
"836",2040,85.929,14,14969
"837",2041,72.82,14,20000
"838",2042,91.215,18,6000
"839",2045,56.026,12,30000
"840",2046,27.156,12,24000
"841",2047,73.594,13,55000
"842",2049,88.874,16,33000
"843",2051,6.945,11,20000
"844",2055,68.805,12,30000
"845",2056,57.501,16,135000
"846",2057,31.002,15,9000
"847",2061,88.199,16,50000
"848",2062,39.555,18,110000
"849",2066,27.605,12,29000
"850",2067,43.433,12,60000
"851",2068,55.547,16,35000
"852",2070,13.237,12,60000
"853",2071,88.381,14,1000
"854",2072,89.269,12,4000
"855",2073,85.923,12,22000
"856",2074,77.334,12,58000
"857",2075,59.435,12,66000
"858",2076,30.985,12,39144
"859",2079,38.187,12,28000
"860",2080,59.98,12,17000
"861",2081,51.661,12,46000
"862",2083,94.93,16,26000
"863",2086,39.837,12,27000
"864",2087,48.513,12,40000
"865",2088,56.782,14,30000
"866",2089,20.616,12,40000
"867",2090,22.22,12,37000
"868",2093,69.551,12,48000
"869",2094,7.262,12,29000
"870",2096,32.475,16,92000
"871",2097,34.695,12,71000
"872",2099,35.591,13,62000
"873",2100,89.871,12,52000
"874",2101,81.726,12,90000
"875",2102,41.532,12,24000
"876",2104,68.95,12,34500
"877",2106,37.24,12,52000
"878",2107,73.284,14,5100
"879",2113,96.423,19,100000
"880",2119,60.326,14,9000
"881",2120,51.624,14,4000
"882",2122,9.545,12,26000
"883",2123,60.172,18,33600
"884",2124,84.248,16,115000
"885",2126,72.964,17,42000
"886",2132,55.993,14,104000
"887",2133,48.488,15,39400
"888",2134,9.566,9,10000
"889",2135,18.212,12,70000
"890",2136,55.103,17,34500
"891",2138,71.84,12,36000
"892",2140,40.889,12,55000
"893",2144,94.079,16,57000
"894",2145,61.172,13,50000
"895",2146,55.691,12,14000
"896",2147,77.202,14,34000
"897",2148,63.751,15,16557
"898",2152,46.721,12,28000
"899",2153,37.209,12,12000
"900",2156,53.265,12,40500
"901",2157,37.901,12,24000
"902",2158,63.872,12,3600
"903",2159,66.343,16,70000
"904",2163,28.73,14,60000
"905",2164,64.628,18,69000
"906",2165,26.635,12,12000
"907",2167,31.225,16,48000
"908",2168,88.021,16,57600
"909",2169,68.018,13,57000
"910",2172,35.637,14,63000
"911",2173,61.735,12,52000
"912",2178,72.005,16,44000
"913",2180,45.257,12,40000
"914",2182,75.725,12,65000
"915",2187,36.06,13,90000
"916",2188,17.457,14,36000
"917",2190,22.95,13,18000
"918",2194,13.425,9,30000
"919",2196,42.225,12,5280
"920",2200,96.691,17,65000
"921",2201,36.411,12,32000
"922",2202,81.08,16,35000
"923",2203,26.932,12,22500
"924",2204,61.699,15,26074
"925",2205,53.188,14,52000
"926",2207,70.593,14,30000
"927",2208,23.7,12,25000
"928",2209,18.385,13,36000
"929",2214,34.895,15,11000
"930",2216,49.406,12,43000
"931",2218,63.184,16,70000
"932",2220,97.867,16,82000
"933",2222,92.442,16,46000
"934",2223,39.914,12,55000
"935",2224,17.081,10,5000
"936",2225,16.597,12,56000
"937",2227,36.775,12,28263
"938",2229,64.933,12,33000
"939",2230,88.797,16,40000
"940",2237,92.195,18,64000
"941",2243,68.307,16,30000
"942",2247,68.218,12,58000
"943",2250,9.393,12,20000
"944",2251,6.124,12,7225
"945",2254,5.171,10,30000
"946",2255,16.2,8,45000
"947",2261,7.878,12,32000
"948",2264,42.749,12,13000
"949",2265,20.49,14,15000
"950",2266,5.007,12,15000
"951",2270,21.855,12,15000
"952",2271,18.606,12,13000
"953",2278,77.514,15,49000
"954",2284,95.913,13,50000
"955",2285,72.013,20,55000
"956",2286,96.655,16,26000
"957",2291,95.949,16,60200
"958",2299,97.706,16,47000
"959",2301,86.817,16,71500
